Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Молотки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;223 364;0,0028;
февраль 2018;233 827;0,0030;
март 2018;251 729;0,0029;
апрель 2018;228 826;0,0030;
май 2018;229 289;0,0030;
июнь 2018;212 068;0,0030;
июль 2018;213 400;0,0030;
август 2018;223 981;0,0031;
сентябрь 2018;244 092;0,0030;
октябрь 2018;289 675;0,0031;
ноябрь 2018;273 216;0,0032;
декабрь 2018;252 050;0,0029;
январь 2019;257 417;0,0029;
февраль 2019;267 046;0,0031;
март 2019;268 231;0,0030;
апрель 2019;260 776;0,0031;
май 2019;240 888;0,0030;
июнь 2019;223 028;0,0030;
июль 2019;230 439;0,0031;
август 2019;242 745;0,0033;
сентябрь 2019;257 022;0,0032;
октябрь 2019;291 949;0,0032;
ноябрь 2019;290 423;0,0032;
декабрь 2019;296 692;0,0031;
январь 2020;300 093;0,0030;
февраль 2020;300 272;0,0032;
март 2020;295 671;0,0030;
апрель 2020;383 406;0,0032;
май 2020;383 211;0,0035;
июнь 2020;298 637;0,0033;
июль 2020;305 418;0,0036;
август 2020;275 458;0,0032;
сентябрь 2020;333 761;0,0035;
октябрь 2020;370 411;0,0034;
ноябрь 2020;386 428;0,0033;
декабрь 2020;377 132;0,0034;
январь 2021;321 131;0,0030;
февраль 2021;333 947;0,0033;
март 2021;389 674;0,0035;
апрель 2021;426 736;0,0039;
май 2021;344 550;0,0033;
июнь 2021;332 930;0,0033;
июль 2021;311 178;0,0032;
август 2021;334 152;0,0033;
сентябрь 2021;363 200;0,0033;
октябрь 2021;402 319;0,0035;
ноябрь 2021;409 819;0,0035;
декабрь 2021;398 281;0,0033;
январь 2022;400 795;0,0033;
февраль 2022;385 927;0,0032;
март 2022;389 880;0,0030;
апрель 2022;381 063;0,0031;
май 2022;392 949;0,0032;
июнь 2022;351 464;0,0032;
июль 2022;345 561;0,0033;
август 2022;361 889;0,0033;
сентябрь 2022;370 052;0,0031;
октябрь 2022;401 600;0,0032;
ноябрь 2022;422 295;0,0033;
декабрь 2022;416 101;0,0033;
январь 2023;403 819;0,0032;
февраль 2023;403 830;0,0035;
март 2023;472 947;0,0038;
апрель 2023;448 480;0,0038;
май 2023;443 199;0,0039;
июнь 2023;371 175;0,0036;
июль 2023;390 167;0,0038;
август 2023;355 605;0,0035;
сентябрь 2023;390 323;0,0036;
октябрь 2023;457 242;0,0038;
ноябрь 2023;448 811;0,0038;
декабрь 2023;442 885;0,0037;
январь 2024;426 523;0,0035;
февраль 2024;435 399;0,0038;
март 2024;428 254;0,0037;
апрель 2024;457 037;0,0042;
май 2024;400 950;0,0037;
июнь 2024;329 812;0,0035;
июль 2024;342 026;0,0036;
август 2024;330 913;0,0035;
сентябрь 2024;420 470;0,0042;
октябрь 2024;430 303;0,0038;
ноябрь 2024;434 032;0,0037;
декабрь 2024;436 586;0,0036;
январь 2025;434 696;0,0036;
февраль 2025;428 644;0,0037;
март 2025;435 942;0,0036;
апрель 2025;454 935;0,0039;
май 2025;392 456;0,0036;
июнь 2025;374 736;0,0035;
