Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Ключи», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;7 703 013;0,099;
февраль 2018;7 094 315;0,091;
март 2018;7 863 550;0,093;
апрель 2018;7 091 202;0,093;
май 2018;7 046 193;0,093;
июнь 2018;6 624 607;0,095;
июль 2018;6 951 981;0,099;
август 2018;7 414 511;0,105;
сентябрь 2018;7 417 312;0,093;
октябрь 2018;8 649 664;0,093;
ноябрь 2018;7 625 406;0,089;
декабрь 2018;7 151 924;0,083;
январь 2019;7 857 557;0,089;
февраль 2019;7 508 228;0,089;
март 2019;7 708 260;0,087;
апрель 2019;6 994 953;0,084;
май 2019;6 839 160;0,086;
июнь 2019;6 588 395;0,090;
июль 2019;6 888 749;0,093;
август 2019;6 667 253;0,091;
сентябрь 2019;6 484 731;0,082;
октябрь 2019;7 275 160;0,082;
ноябрь 2019;7 257 308;0,081;
декабрь 2019;7 474 296;0,080;
январь 2020;8 414 518;0,086;
февраль 2020;7 862 788;0,085;
март 2020;7 959 612;0,080;
апрель 2020;9 275 088;0,077;
май 2020;9 527 725;0,088;
июнь 2020;8 341 963;0,093;
июль 2020;8 157 358;0,096;
август 2020;7 991 213;0,095;
сентябрь 2020;7 984 242;0,084;
октябрь 2020;8 562 410;0,079;
ноябрь 2020;8 926 820;0,077;
декабрь 2020;8 512 910;0,077;
январь 2021;9 501 364;0,091;
февраль 2021;8 739 213;0,087;
март 2021;9 647 939;0,088;
апрель 2021;9 221 493;0,085;
май 2021;9 076 731;0,087;
июнь 2021;8 747 681;0,088;
июль 2021;8 865 478;0,091;
август 2021;9 025 144;0,090;
сентябрь 2021;8 873 732;0,082;
октябрь 2021;9 240 427;0,081;
ноябрь 2021;9 638 740;0,083;
декабрь 2021;10 258 580;0,086;
январь 2022;10 026 779;0,084;
февраль 2022;9 120 532;0,077;
март 2022;9 670 412;0,075;
апрель 2022;9 690 396;0,081;
май 2022;9 693 240;0,081;
июнь 2022;9 107 533;0,084;
июль 2022;9 350 576;0,089;
август 2022;9 630 496;0,089;
сентябрь 2022;8 869 226;0,075;
октябрь 2022;9 113 220;0,073;
ноябрь 2022;9 478 164;0,075;
декабрь 2022;8 909 652;0,070;
январь 2023;10 204 560;0,082;
февраль 2023;9 346 543;0,081;
март 2023;10 256 647;0,082;
апрель 2023;9 428 657;0,081;
май 2023;9 283 574;0,082;
июнь 2023;8 775 088;0,085;
июль 2023;9 047 792;0,089;
август 2023;9 186 984;0,091;
сентябрь 2023;8 911 101;0,082;
октябрь 2023;9 654 276;0,080;
ноябрь 2023;9 265 518;0,078;
декабрь 2023;8 991 582;0,075;
январь 2024;10 165 156;0,084;
февраль 2024;9 704 042;0,086;
март 2024;9 632 675;0,083;
апрель 2024;9 211 912;0,084;
май 2024;9 125 575;0,085;
июнь 2024;8 326 286;0,089;
июль 2024;9 330 312;0,100;
август 2024;9 468 795;0,101;
сентябрь 2024;9 171 097;0,092;
октябрь 2024;9 888 042;0,088;
ноябрь 2024;9 959 865;0,085;
декабрь 2024;10 121 041;0,084;
январь 2025;10 679 814;0,089;
февраль 2025;10 058 420;0,088;
март 2025;10 810 916;0,090;
апрель 2025;9 934 575;0,087;
май 2025;9 827 767;0,092;
июнь 2025;10 215 678;0,096;
