Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Щетки металлические», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;5 719;0,000073;
февраль 2018;6 968;0,000089;
март 2018;7 644;0,000090;
апрель 2018;9 032;0,000119;
май 2018;8 280;0,000110;
июнь 2018;7 913;0,000114;
июль 2018;7 865;0,000112;
август 2018;7 235;0,000102;
сентябрь 2018;7 424;0,000093;
октябрь 2018;8 714;0,000094;
ноябрь 2018;7 203;0,000084;
декабрь 2018;6 611;0,000077;
январь 2019;6 854;0,000077;
февраль 2019;7 687;0,000091;
март 2019;8 841;0,000100;
апрель 2019;9 504;0,000114;
май 2019;8 375;0,000105;
июнь 2019;7 822;0,000107;
июль 2019;8 404;0,000114;
август 2019;7 909;0,000108;
сентябрь 2019;7 632;0,000097;
октябрь 2019;8 553;0,000096;
ноябрь 2019;8 124;0,000091;
декабрь 2019;7 536;0,000081;
январь 2020;8 260;0,000084;
февраль 2020;9 214;0,000100;
март 2020;10 025;0,000102;
апрель 2020;10 641;0,000089;
май 2020;12 859;0,000119;
июнь 2020;12 218;0,000136;
июль 2020;10 989;0,000130;
август 2020;10 310;0,000122;
сентябрь 2020;10 337;0,000108;
октябрь 2020;10 248;0,000095;
ноябрь 2020;9 878;0,000086;
декабрь 2020;9 497;0,000085;
январь 2021;8 511;0,000081;
февраль 2021;9 970;0,000099;
март 2021;11 713;0,000107;
апрель 2021;14 303;0,000132;
май 2021;12 620;0,000122;
июнь 2021;13 499;0,000136;
июль 2021;12 034;0,000124;
август 2021;12 841;0,000128;
сентябрь 2021;11 947;0,000111;
октябрь 2021;11 063;0,000097;
ноябрь 2021;11 408;0,000098;
декабрь 2021;10 736;0,000090;
январь 2022;10 731;0,000090;
февраль 2022;12 269;0,000103;
март 2022;13 754;0,000107;
апрель 2022;16 411;0,000137;
май 2022;16 454;0,000137;
июнь 2022;16 163;0,000150;
июль 2022;15 212;0,000145;
август 2022;15 482;0,000143;
сентябрь 2022;12 701;0,000108;
октябрь 2022;13 032;0,000105;
ноябрь 2022;13 868;0,000109;
декабрь 2022;11 709;0,000093;
январь 2023;12 082;0,000098;
февраль 2023;13 615;0,000119;
март 2023;17 297;0,000139;
апрель 2023;18 795;0,000162;
май 2023;18 004;0,000159;
июнь 2023;16 897;0,000164;
июль 2023;16 078;0,000159;
август 2023;16 100;0,000160;
сентябрь 2023;16 268;0,000151;
октябрь 2023;16 366;0,000137;
ноябрь 2023;15 001;0,000127;
декабрь 2023;12 827;0,000107;
январь 2024;12 812;0,000106;
февраль 2024;15 650;0,000139;
март 2024;16 382;0,000142;
апрель 2024;20 414;0,000188;
май 2024;19 113;0,000179;
июнь 2024;16 414;0,000175;
июль 2024;16 301;0,000175;
август 2024;15 496;0,000165;
сентябрь 2024;14 392;0,000144;
октябрь 2024;15 361;0,000136;
ноябрь 2024;15 896;0,000136;
декабрь 2024;13 709;0,000114;
январь 2025;13 932;0,000117;
февраль 2025;16 241;0,000142;
март 2025;17 671;0,000147;
апрель 2025;19 806;0,000173;
май 2025;17 726;0,000166;
июнь 2025;17 728;0,000167;
