Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Отвесы, разметка», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;11 953;0,00015;
февраль 2018;10 689;0,00013;
март 2018;13 378;0,00015;
апрель 2018;12 120;0,00015;
май 2018;11 816;0,00015;
июнь 2018;11 534;0,00016;
июль 2018;11 205;0,00016;
август 2018;12 805;0,00018;
сентябрь 2018;15 767;0,00019;
октябрь 2018;17 837;0,00019;
ноябрь 2018;13 413;0,00015;
декабрь 2018;12 323;0,00014;
январь 2019;12 648;0,00014;
февраль 2019;12 165;0,00014;
март 2019;12 604;0,00014;
апрель 2019;11 805;0,00014;
май 2019;11 567;0,00014;
июнь 2019;11 564;0,00015;
июль 2019;12 125;0,00016;
август 2019;11 777;0,00016;
сентябрь 2019;14 443;0,00018;
октябрь 2019;15 693;0,00017;
ноябрь 2019;13 976;0,00015;
декабрь 2019;14 991;0,00016;
январь 2020;13 522;0,00013;
февраль 2020;13 954;0,00015;
март 2020;12 903;0,00013;
апрель 2020;19 080;0,00015;
май 2020;21 811;0,00020;
июнь 2020;16 984;0,00019;
июль 2020;14 659;0,00017;
август 2020;15 038;0,00017;
сентябрь 2020;21 250;0,00022;
октябрь 2020;27 294;0,00025;
ноябрь 2020;21 629;0,00018;
декабрь 2020;18 656;0,00016;
январь 2021;14 852;0,00014;
февраль 2021;14 872;0,00014;
март 2021;16 178;0,00014;
апрель 2021;17 467;0,00016;
май 2021;16 868;0,00016;
июнь 2021;16 223;0,00016;
июль 2021;15 209;0,00015;
август 2021;16 348;0,00016;
сентябрь 2021;22 073;0,00020;
октябрь 2021;21 234;0,00018;
ноябрь 2021;19 567;0,00016;
декабрь 2021;17 573;0,00014;
январь 2022;16 526;0,00013;
февраль 2022;17 582;0,00014;
март 2022;15 860;0,00012;
апрель 2022;18 507;0,00015;
май 2022;19 679;0,00016;
июнь 2022;18 682;0,00017;
июль 2022;17 050;0,00016;
август 2022;16 755;0,00015;
сентябрь 2022;20 293;0,00017;
октябрь 2022;19 002;0,00015;
ноябрь 2022;19 016;0,00015;
декабрь 2022;17 035;0,00013;
январь 2023;15 562;0,00012;
февраль 2023;15 414;0,00013;
март 2023;20 051;0,00016;
апрель 2023;18 362;0,00015;
май 2023;20 062;0,00017;
июнь 2023;17 666;0,00017;
июль 2023;17 183;0,00017;
август 2023;16 240;0,00016;
сентябрь 2023;19 477;0,00018;
октябрь 2023;19 914;0,00016;
ноябрь 2023;18 836;0,00016;
декабрь 2023;16 055;0,00013;
январь 2024;15 295;0,00012;
февраль 2024;16 100;0,00014;
март 2024;18 222;0,00015;
апрель 2024;17 706;0,00016;
май 2024;17 652;0,00016;
июнь 2024;15 448;0,00016;
июль 2024;15 270;0,00016;
август 2024;15 749;0,00016;
сентябрь 2024;21 190;0,00021;
октябрь 2024;21 819;0,00019;
ноябрь 2024;22 521;0,00019;
декабрь 2024;20 102;0,00016;
январь 2025;18 738;0,00015;
февраль 2025;18 419;0,00016;
март 2025;24 160;0,00020;
апрель 2025;26 401;0,00023;
май 2025;18 886;0,00017;
июнь 2025;20 630;0,00019;
