Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Дальномеры», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;85 604;0,00110;
февраль 2018;93 814;0,00121;
март 2018;98 500;0,00117;
апрель 2018;87 452;0,00115;
май 2018;82 284;0,00109;
июнь 2018;77 633;0,00111;
июль 2018;78 525;0,00112;
август 2018;84 988;0,00120;
сентябрь 2018;87 986;0,00111;
октябрь 2018;94 197;0,00102;
ноябрь 2018;77 161;0,00090;
декабрь 2018;74 498;0,00087;
январь 2019;76 264;0,00086;
февраль 2019;83 420;0,00099;
март 2019;80 880;0,00092;
апрель 2019;71 157;0,00086;
май 2019;61 599;0,00077;
июнь 2019;58 837;0,00081;
июль 2019;61 280;0,00083;
август 2019;59 498;0,00081;
сентябрь 2019;64 364;0,00081;
октябрь 2019;73 479;0,00083;
ноябрь 2019;74 654;0,00084;
декабрь 2019;87 967;0,00094;
январь 2020;83 792;0,00086;
февраль 2020;86 970;0,00094;
март 2020;74 379;0,00075;
апрель 2020;64 776;0,00054;
май 2020;78 054;0,00072;
июнь 2020;78 652;0,00088;
июль 2020;71 033;0,00084;
август 2020;69 675;0,00083;
сентябрь 2020;77 424;0,00081;
октябрь 2020;88 261;0,00082;
ноябрь 2020;106 459;0,00092;
декабрь 2020;100 481;0,00090;
январь 2021;90 683;0,00086;
февраль 2021;97 121;0,00097;
март 2021;98 885;0,00090;
апрель 2021;89 652;0,00083;
май 2021;79 372;0,00076;
июнь 2021;80 536;0,00081;
июль 2021;77 735;0,00080;
август 2021;83 454;0,00083;
сентябрь 2021;88 393;0,00082;
октябрь 2021;93 656;0,00082;
ноябрь 2021;101 499;0,00087;
декабрь 2021;103 204;0,00087;
январь 2022;98 161;0,00082;
февраль 2022;100 988;0,00085;
март 2022;95 456;0,00074;
апрель 2022;91 998;0,00076;
май 2022;92 334;0,00077;
июнь 2022;86 761;0,00080;
июль 2022;81 686;0,00078;
август 2022;85 568;0,00079;
сентябрь 2022;91 699;0,00078;
октябрь 2022;119 755;0,00096;
ноябрь 2022;126 255;0,00100;
декабрь 2022;109 236;0,00086;
январь 2023;107 180;0,00086;
февраль 2023;111 422;0,00097;
март 2023;113 815;0,00091;
апрель 2023;95 851;0,00083;
май 2023;94 885;0,00083;
июнь 2023;92 669;0,00090;
июль 2023;84 444;0,00083;
август 2023;85 464;0,00085;
сентябрь 2023;91 728;0,00085;
октябрь 2023;109 482;0,00091;
ноябрь 2023;111 374;0,00094;
декабрь 2023;102 633;0,00085;
январь 2024;100 257;0,00083;
февраль 2024;110 791;0,00098;
март 2024;101 578;0,00088;
апрель 2024;93 731;0,00086;
май 2024;91 280;0,00085;
июнь 2024;77 353;0,00082;
июль 2024;74 037;0,00079;
август 2024;80 850;0,00086;
сентябрь 2024;80 806;0,00081;
октябрь 2024;94 976;0,00084;
ноябрь 2024;102 201;0,00087;
декабрь 2024;105 461;0,00087;
январь 2025;97 497;0,00082;
февраль 2025;103 055;0,00090;
март 2025;98 191;0,00081;
апрель 2025;89 882;0,00078;
май 2025;79 760;0,00074;
июнь 2025;85 914;0,00081;
