Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Толщиномеры», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;88 443;0,00113;
февраль 2018;100 579;0,00129;
март 2018;107 180;0,00127;
апрель 2018;87 957;0,00116;
май 2018;78 157;0,00104;
июнь 2018;73 705;0,00106;
июль 2018;75 535;0,00108;
август 2018;83 704;0,00118;
сентябрь 2018;86 624;0,00109;
октябрь 2018;101 167;0,00109;
ноябрь 2018;90 797;0,00106;
декабрь 2018;74 801;0,00087;
январь 2019;79 764;0,00090;
февраль 2019;86 286;0,00102;
март 2019;88 295;0,00100;
апрель 2019;82 385;0,00099;
май 2019;70 335;0,00088;
июнь 2019;68 178;0,00094;
июль 2019;74 035;0,00100;
август 2019;74 122;0,00101;
сентябрь 2019;74 318;0,00094;
октябрь 2019;82 624;0,00093;
ноябрь 2019;82 431;0,00092;
декабрь 2019;84 440;0,00091;
январь 2020;88 818;0,00091;
февраль 2020;89 736;0,00097;
март 2020;89 418;0,00090;
апрель 2020;51 085;0,00042;
май 2020;66 567;0,00062;
июнь 2020;80 606;0,00090;
июль 2020;89 284;0,00106;
август 2020;91 643;0,00109;
сентябрь 2020;93 435;0,00098;
октябрь 2020;95 528;0,00088;
ноябрь 2020;94 857;0,00082;
декабрь 2020;82 053;0,00074;
январь 2021;82 406;0,00078;
февраль 2021;89 987;0,00090;
март 2021;99 939;0,00091;
апрель 2021;97 699;0,00090;
май 2021;82 538;0,00079;
июнь 2021;90 258;0,00090;
июль 2021;82 892;0,00085;
август 2021;96 273;0,00096;
сентябрь 2021;95 019;0,00088;
октябрь 2021;90 771;0,00079;
ноябрь 2021;86 805;0,00074;
декабрь 2021;81 359;0,00068;
январь 2022;75 871;0,00063;
февраль 2022;78 407;0,00066;
март 2022;72 059;0,00056;
апрель 2022;60 447;0,00050;
май 2022;58 033;0,00048;
июнь 2022;61 874;0,00057;
июль 2022;66 851;0,00064;
август 2022;75 953;0,00070;
сентябрь 2022;70 511;0,00060;
октябрь 2022;69 463;0,00056;
ноябрь 2022;79 597;0,00063;
декабрь 2022;70 864;0,00056;
январь 2023;74 919;0,00060;
февраль 2023;80 632;0,00070;
март 2023;92 057;0,00074;
апрель 2023;80 988;0,00070;
май 2023;73 388;0,00064;
июнь 2023;73 103;0,00071;
июль 2023;75 933;0,00075;
август 2023;71 570;0,00071;
сентябрь 2023;67 567;0,00062;
октябрь 2023;72 887;0,00061;
ноябрь 2023;68 563;0,00058;
декабрь 2023;57 167;0,00047;
январь 2024;60 857;0,00050;
февраль 2024;71 225;0,00063;
март 2024;72 222;0,00062;
апрель 2024;67 524;0,00062;
май 2024;59 820;0,00056;
июнь 2024;55 982;0,00059;
июль 2024;58 389;0,00062;
август 2024;55 780;0,00059;
сентябрь 2024;56 203;0,00056;
октябрь 2024;61 080;0,00054;
ноябрь 2024;59 163;0,00050;
декабрь 2024;56 075;0,00046;
январь 2025;57 153;0,00048;
февраль 2025;65 391;0,00057;
март 2025;63 702;0,00053;
апрель 2025;60 027;0,00052;
май 2025;51 969;0,00048;
июнь 2025;53 621;0,00050;
