Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шурупы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;93 842;0,0012;
февраль 2018;100 727;0,0012;
март 2018;118 250;0,0014;
апрель 2018;107 007;0,0014;
май 2018;108 702;0,0014;
июнь 2018;104 316;0,0015;
июль 2018;107 506;0,0015;
август 2018;115 532;0,0016;
сентябрь 2018;115 311;0,0014;
октябрь 2018;138 374;0,0015;
ноябрь 2018;127 689;0,0015;
декабрь 2018;111 681;0,0013;
январь 2019;110 653;0,0012;
февраль 2019;118 052;0,0014;
март 2019;125 842;0,0014;
апрель 2019;124 461;0,0015;
май 2019;118 053;0,0014;
июнь 2019;114 137;0,0015;
июль 2019;126 395;0,0017;
август 2019;119 656;0,0016;
сентябрь 2019;116 586;0,0014;
октябрь 2019;131 919;0,0014;
ноябрь 2019;129 661;0,0014;
декабрь 2019;131 236;0,0014;
январь 2020;127 283;0,0013;
февраль 2020;137 095;0,0014;
март 2020;133 417;0,0013;
апрель 2020;162 569;0,0013;
май 2020;172 309;0,0016;
июнь 2020;153 750;0,0017;
июль 2020;148 173;0,0017;
август 2020;143 157;0,0017;
сентябрь 2020;147 732;0,0015;
октябрь 2020;162 588;0,0015;
ноябрь 2020;179 971;0,0015;
декабрь 2020;164 708;0,0014;
январь 2021;137 388;0,0013;
февраль 2021;139 470;0,0013;
март 2021;163 169;0,0014;
апрель 2021;173 676;0,0016;
май 2021;160 813;0,0015;
июнь 2021;172 690;0,0017;
июль 2021;161 397;0,0016;
август 2021;170 444;0,0017;
сентябрь 2021;168 175;0,0015;
октябрь 2021;170 010;0,0014;
ноябрь 2021;181 483;0,0015;
декабрь 2021;172 003;0,0014;
январь 2022;167 128;0,0014;
февраль 2022;170 406;0,0014;
март 2022;187 640;0,0014;
апрель 2022;188 353;0,0015;
май 2022;194 303;0,0016;
июнь 2022;191 494;0,0017;
июль 2022;187 160;0,0017;
август 2022;192 385;0,0017;
сентябрь 2022;182 787;0,0015;
октябрь 2022;189 241;0,0015;
ноябрь 2022;199 665;0,0015;
декабрь 2022;183 098;0,0014;
январь 2023;176 347;0,0014;
февраль 2023;174 959;0,0015;
март 2023;202 205;0,0016;
апрель 2023;193 504;0,0016;
май 2023;198 435;0,0017;
июнь 2023;194 186;0,0018;
июль 2023;199 689;0,0019;
август 2023;194 641;0,0019;
сентябрь 2023;186 296;0,0017;
октябрь 2023;208 263;0,0017;
ноябрь 2023;204 158;0,0017;
декабрь 2023;188 972;0,0015;
январь 2024;184 892;0,0015;
февраль 2024;192 923;0,0017;
март 2024;201 887;0,0017;
апрель 2024;213 264;0,0019;
май 2024;205 838;0,0019;
июнь 2024;190 343;0,0020;
июль 2024;205 692;0,0022;
август 2024;202 026;0,0021;
сентябрь 2024;194 243;0,0019;
октябрь 2024;219 397;0,0019;
ноябрь 2024;231 325;0,0019;
декабрь 2024;217 812;0,0018;
январь 2025;205 014;0,0017;
февраль 2025;212 644;0,0018;
март 2025;223 981;0,0018;
апрель 2025;230 270;0,0020;
май 2025;215 550;0,0020;
июнь 2025;227 965;0,0021;
