Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Перфорированный крепеж», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 171;0,000040;
февраль 2018;2 564;0,000033;
март 2018;2 859;0,000034;
апрель 2018;2 692;0,000035;
май 2018;2 839;0,000037;
июнь 2018;2 704;0,000038;
июль 2018;2 867;0,000041;
август 2018;2 658;0,000037;
сентябрь 2018;2 621;0,000033;
октябрь 2018;3 146;0,000034;
ноябрь 2018;2 154;0,000025;
декабрь 2018;1 849;0,000021;
январь 2019;1 977;0,000022;
февраль 2019;2 101;0,000025;
март 2019;2 233;0,000025;
апрель 2019;2 167;0,000026;
май 2019;2 145;0,000027;
июнь 2019;2 245;0,000030;
июль 2019;2 397;0,000032;
август 2019;2 230;0,000030;
сентябрь 2019;2 089;0,000026;
октябрь 2019;1 989;0,000022;
ноябрь 2019;1 741;0,000019;
декабрь 2019;1 656;0,000017;
январь 2020;1 833;0,000018;
февраль 2020;1 677;0,000018;
март 2020;1 895;0,000019;
апрель 2020;1 890;0,000015;
май 2020;2 347;0,000021;
июнь 2020;2 266;0,000025;
июль 2020;2 218;0,000026;
август 2020;2 003;0,000023;
сентябрь 2020;2 256;0,000023;
октябрь 2020;2 001;0,000018;
ноябрь 2020;1 842;0,000016;
декабрь 2020;1 673;0,000015;
январь 2021;1 817;0,000017;
февраль 2021;1 942;0,000019;
март 2021;2 052;0,000018;
апрель 2021;2 252;0,000020;
май 2021;2 414;0,000023;
июнь 2021;2 168;0,000021;
июль 2021;2 280;0,000023;
август 2021;2 648;0,000026;
сентябрь 2021;2 237;0,000020;
октябрь 2021;2 541;0,000022;
ноябрь 2021;2 336;0,000020;
декабрь 2021;2 029;0,000017;
январь 2022;1 688;0,000014;
февраль 2022;2 029;0,000017;
март 2022;2 278;0,000017;
апрель 2022;2 307;0,000019;
май 2022;2 267;0,000019;
июнь 2022;2 169;0,000020;
июль 2022;2 415;0,000023;
август 2022;2 443;0,000022;
сентябрь 2022;1 916;0,000016;
октябрь 2022;1 859;0,000015;
ноябрь 2022;1 899;0,000015;
декабрь 2022;1 575;0,000012;
январь 2023;1 595;0,000012;
февраль 2023;1 804;0,000015;
март 2023;2 049;0,000016;
апрель 2023;1 916;0,000016;
май 2023;2 195;0,000019;
июнь 2023;2 291;0,000022;
июль 2023;2 282;0,000022;
август 2023;2 445;0,000024;
сентябрь 2023;2 431;0,000022;
октябрь 2023;2 150;0,000018;
ноябрь 2023;1 620;0,000013;
декабрь 2023;1 356;0,000011;
январь 2024;1 380;0,000011;
февраль 2024;1 710;0,000015;
март 2024;1 905;0,000016;
апрель 2024;2 105;0,000019;
май 2024;2 136;0,000020;
июнь 2024;2 037;0,000021;
июль 2024;2 039;0,000021;
август 2024;1 965;0,000021;
сентябрь 2024;1 935;0,000019;
октябрь 2024;1 930;0,000017;
ноябрь 2024;1 642;0,000014;
декабрь 2024;1 404;0,000011;
январь 2025;1 638;0,000013;
февраль 2025;1 793;0,000015;
март 2025;2 495;0,000020;
апрель 2025;1 759;0,000015;
май 2025;1 859;0,000017;
июнь 2025;1 976;0,000018;
