Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Хомуты», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;288 027;0,0037;
февраль 2018;300 271;0,0038;
март 2018;325 816;0,0038;
апрель 2018;320 860;0,0042;
май 2018;318 228;0,0042;
июнь 2018;297 324;0,0042;
июль 2018;304 711;0,0043;
август 2018;323 439;0,0045;
сентябрь 2018;350 724;0,0044;
октябрь 2018;465 905;0,0050;
ноябрь 2018;422 270;0,0049;
декабрь 2018;345 693;0,0040;
январь 2019;327 895;0,0037;
февраль 2019;348 037;0,0041;
март 2019;364 231;0,0041;
апрель 2019;373 428;0,0045;
май 2019;333 544;0,0042;
июнь 2019;343 151;0,0047;
июль 2019;415 943;0,0056;
август 2019;392 205;0,0053;
сентябрь 2019;428 826;0,0054;
октябрь 2019;434 614;0,0049;
ноябрь 2019;416 931;0,0046;
декабрь 2019;376 082;0,0040;
январь 2020;348 287;0,0035;
февраль 2020;366 672;0,0039;
март 2020;374 606;0,0038;
апрель 2020;355 347;0,0029;
май 2020;401 677;0,0037;
июнь 2020;413 776;0,0046;
июль 2020;411 799;0,0048;
август 2020;397 017;0,0047;
сентябрь 2020;420 803;0,0044;
октябрь 2020;451 815;0,0041;
ноябрь 2020;465 784;0,0040;
декабрь 2020;430 334;0,0038;
январь 2021;390 414;0,0037;
февраль 2021;413 222;0,0041;
март 2021;491 632;0,0045;
апрель 2021;540 016;0,0050;
май 2021;490 975;0,0047;
июнь 2021;513 058;0,0051;
июль 2021;502 166;0,0051;
август 2021;522 094;0,0052;
сентябрь 2021;525 372;0,0049;
октябрь 2021;512 864;0,0045;
ноябрь 2021;530 507;0,0045;
декабрь 2021;499 149;0,0042;
январь 2022;456 625;0,0038;
февраль 2022;472 781;0,0040;
март 2022;518 823;0,0040;
апрель 2022;564 993;0,0047;
май 2022;571 256;0,0047;
июнь 2022;575 667;0,0053;
июль 2022;545 746;0,0052;
август 2022;562 327;0,0052;
сентябрь 2022;528 832;0,0045;
октябрь 2022;544 220;0,0044;
ноябрь 2022;584 403;0,0046;
декабрь 2022;515 335;0,0040;
январь 2023;492 372;0,0039;
февраль 2023;497 715;0,0043;
март 2023;598 491;0,0048;
апрель 2023;597 484;0,0051;
май 2023;621 647;0,0054;
июнь 2023;598 279;0,0058;
июль 2023;581 359;0,0057;
август 2023;588 938;0,0058;
сентябрь 2023;581 925;0,0054;
октябрь 2023;644 836;0,0054;
ноябрь 2023;622 382;0,0053;
декабрь 2023;552 181;0,0046;
январь 2024;548 961;0,0045;
февраль 2024;580 249;0,0051;
март 2024;624 542;0,0054;
апрель 2024;673 829;0,0062;
май 2024;666 549;0,0062;
июнь 2024;614 160;0,0065;
июль 2024;649 894;0,0069;
август 2024;617 047;0,0065;
сентябрь 2024;610 412;0,0061;
октябрь 2024;691 315;0,0061;
ноябрь 2024;674 647;0,0058;
декабрь 2024;626 184;0,0052;
январь 2025;579 599;0,0048;
февраль 2025;649 306;0,0056;
март 2025;693 428;0,0057;
апрель 2025;704 335;0,0061;
май 2025;669 343;0,0062;
июнь 2025;726 224;0,0068;
