Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Болты», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;758 354;0,0097;
февраль 2018;817 585;0,0105;
март 2018;955 077;0,0113;
апрель 2018;1 053 160;0,0138;
май 2018;1 017 936;0,0135;
июнь 2018;960 660;0,0138;
июль 2018;960 292;0,0137;
август 2018;1 000 199;0,0141;
сентябрь 2018;999 200;0,0126;
октябрь 2018;1 258 598;0,0136;
ноябрь 2018;1 082 674;0,0127;
декабрь 2018;907 595;0,0106;
январь 2019;915 546;0,0103;
февраль 2019;965 248;0,0115;
март 2019;1 122 613;0,0127;
апрель 2019;1 290 275;0,0156;
май 2019;1 136 528;0,0143;
июнь 2019;1 272 940;0,0175;
июль 2019;1 156 882;0,0157;
август 2019;1 081 018;0,0148;
сентябрь 2019;1 063 531;0,0135;
октябрь 2019;1 245 430;0,0140;
ноябрь 2019;1 143 510;0,0128;
декабрь 2019;1 076 595;0,0116;
январь 2020;1 066 441;0,0109;
февраль 2020;1 115 033;0,0121;
март 2020;1 268 630;0,0129;
апрель 2020;1 346 692;0,0112;
май 2020;1 414 326;0,0131;
июнь 2020;1 404 189;0,0157;
июль 2020;1 318 040;0,0156;
август 2020;1 253 403;0,0149;
сентябрь 2020;1 264 346;0,0133;
октябрь 2020;1 427 963;0,0132;
ноябрь 2020;1 438 096;0,0125;
декабрь 2020;1 264 219;0,0114;
январь 2021;1 144 776;0,0109;
февраль 2021;1 405 354;0,0140;
март 2021;1 628 802;0,0149;
апрель 2021;1 821 339;0,0168;
май 2021;1 611 400;0,0156;
июнь 2021;1 637 903;0,0165;
июль 2021;1 574 761;0,0162;
август 2021;1 639 380;0,0163;
сентябрь 2021;1 521 324;0,0142;
октябрь 2021;1 618 896;0,0142;
ноябрь 2021;1 658 125;0,0143;
декабрь 2021;1 494 908;0,0126;
январь 2022;1 425 728;0,0119;
февраль 2022;1 478 826;0,0125;
март 2022;1 721 181;0,0135;
апрель 2022;2 019 272;0,0168;
май 2022;1 941 657;0,0162;
июнь 2022;1 864 426;0,0173;
июль 2022;1 787 222;0,0171;
август 2022;1 809 904;0,0167;
сентябрь 2022;1 635 232;0,0139;
октябрь 2022;1 788 246;0,0144;
ноябрь 2022;1 857 419;0,0147;
декабрь 2022;1 633 938;0,0129;
январь 2023;1 586 910;0,0128;
февраль 2023;1 582 928;0,0138;
март 2023;2 026 306;0,0162;
апрель 2023;2 177 975;0,0188;
май 2023;2 091 891;0,0184;
июнь 2023;1 982 282;0,0193;
июль 2023;1 956 888;0,0193;
август 2023;1 924 490;0,0191;
сентябрь 2023;1 847 688;0,0171;
октябрь 2023;2 116 948;0,0177;
ноябрь 2023;1 984 858;0,0169;
декабрь 2023;1 757 842;0,0147;
январь 2024;1 738 199;0,0144;
февраль 2024;1 844 957;0,0164;
март 2024;2 117 712;0,0183;
апрель 2024;2 379 451;0,0219;
май 2024;2 278 817;0,0213;
июнь 2024;2 065 222;0,0221;
июль 2024;2 142 054;0,0230;
август 2024;2 043 212;0,0218;
сентябрь 2024;1 978 424;0,0199;
октябрь 2024;2 327 757;0,0207;
ноябрь 2024;2 297 797;0,0197;
декабрь 2024;2 085 174;0,0173;
январь 2025;1 986 857;0,0167;
февраль 2025;2 072 851;0,0181;
март 2025;2 466 248;0,0205;
апрель 2025;2 533 418;0,0222;
май 2025;2 379 812;0,0222;
июнь 2025;2 484 698;0,0235;
