Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Винты», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;374 081;0,0048;
февраль 2018;405 368;0,0052;
март 2018;441 321;0,0052;
апрель 2018;457 128;0,0060;
май 2018;458 620;0,0061;
июнь 2018;449 646;0,0064;
июль 2018;448 408;0,0064;
август 2018;448 361;0,0063;
сентябрь 2018;456 736;0,0057;
октябрь 2018;517 941;0,0056;
ноябрь 2018;480 776;0,0056;
декабрь 2018;432 585;0,0050;
январь 2019;454 133;0,0051;
февраль 2019;457 102;0,0054;
март 2019;501 842;0,0057;
апрель 2019;507 957;0,0061;
май 2019;478 546;0,0060;
июнь 2019;490 874;0,0067;
июль 2019;490 853;0,0066;
август 2019;460 459;0,0063;
сентябрь 2019;461 463;0,0058;
октябрь 2019;509 611;0,0057;
ноябрь 2019;477 851;0,0053;
декабрь 2019;498 385;0,0053;
январь 2020;492 061;0,0050;
февраль 2020;521 589;0,0056;
март 2020;541 220;0,0055;
апрель 2020;603 828;0,0050;
май 2020;685 460;0,0063;
июнь 2020;659 641;0,0073;
июль 2020;603 346;0,0071;
август 2020;619 564;0,0073;
сентябрь 2020;609 561;0,0064;
октябрь 2020;623 418;0,0057;
ноябрь 2020;614 881;0,0053;
декабрь 2020;597 138;0,0054;
январь 2021;602 348;0,0057;
февраль 2021;1 271 317;0,0127;
март 2021;1 070 315;0,0098;
апрель 2021;956 685;0,0088;
май 2021;849 757;0,0082;
июнь 2021;848 271;0,0085;
июль 2021;763 092;0,0078;
август 2021;766 376;0,0076;
сентябрь 2021;694 874;0,0064;
октябрь 2021;704 547;0,0061;
ноябрь 2021;713 881;0,0061;
декабрь 2021;707 530;0,0059;
январь 2022;680 555;0,0057;
февраль 2022;693 792;0,0058;
март 2022;761 689;0,0059;
апрель 2022;797 180;0,0066;
май 2022;841 802;0,0070;
июнь 2022;862 453;0,0080;
июль 2022;823 037;0,0078;
август 2022;841 699;0,0078;
сентябрь 2022;735 654;0,0062;
октябрь 2022;766 662;0,0061;
ноябрь 2022;783 022;0,0062;
декабрь 2022;746 419;0,0059;
январь 2023;743 643;0,0060;
февраль 2023;768 035;0,0067;
март 2023;892 676;0,0071;
апрель 2023;858 585;0,0074;
май 2023;902 593;0,0079;
июнь 2023;893 627;0,0087;
июль 2023;865 284;0,0085;
август 2023;826 369;0,0082;
сентябрь 2023;792 671;0,0073;
октябрь 2023;845 261;0,0070;
ноябрь 2023;818 274;0,0069;
декабрь 2023;760 875;0,0063;
январь 2024;759 654;0,0063;
февраль 2024;793 261;0,0070;
март 2024;839 141;0,0072;
апрель 2024;885 969;0,0081;
май 2024;880 397;0,0082;
июнь 2024;844 576;0,0090;
июль 2024;868 727;0,0093;
август 2024;812 971;0,0086;
сентябрь 2024;808 185;0,0081;
октябрь 2024;898 532;0,0080;
ноябрь 2024;897 382;0,0077;
декабрь 2024;892 585;0,0074;
январь 2025;874 055;0,0073;
февраль 2025;916 343;0,0080;
март 2025;998 342;0,0083;
апрель 2025;1 009 192;0,0088;
май 2025;986 733;0,0092;
июнь 2025;1 073 240;0,0101;
