Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Гайки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;394 281;0,0050;
февраль 2018;442 614;0,0057;
март 2018;512 546;0,0060;
апрель 2018;607 167;0,0080;
май 2018;548 966;0,0073;
июнь 2018;499 019;0,0071;
июль 2018;497 176;0,0071;
август 2018;513 573;0,0072;
сентябрь 2018;530 450;0,0066;
октябрь 2018;700 345;0,0076;
ноябрь 2018;606 428;0,0071;
декабрь 2018;498 174;0,0058;
январь 2019;485 305;0,0055;
февраль 2019;536 813;0,0064;
март 2019;627 429;0,0071;
апрель 2019;735 010;0,0088;
май 2019;603 075;0,0076;
июнь 2019;569 936;0,0078;
июль 2019;587 948;0,0079;
август 2019;549 411;0,0075;
сентябрь 2019;561 873;0,0071;
октябрь 2019;684 049;0,0077;
ноябрь 2019;631 672;0,0071;
декабрь 2019;574 515;0,0061;
январь 2020;568 148;0,0058;
февраль 2020;635 816;0,0069;
март 2020;705 547;0,0071;
апрель 2020;803 876;0,0067;
май 2020;827 381;0,0077;
июнь 2020;771 292;0,0086;
июль 2020;708 322;0,0084;
август 2020;667 739;0,0079;
сентябрь 2020;689 328;0,0072;
октябрь 2020;805 419;0,0074;
ноябрь 2020;833 109;0,0072;
декабрь 2020;701 962;0,0063;
январь 2021;630 875;0,0060;
февраль 2021;911 887;0,0091;
март 2021;975 790;0,0089;
апрель 2021;1 104 863;0,0102;
май 2021;902 919;0,0087;
июнь 2021;883 994;0,0089;
июль 2021;845 418;0,0087;
август 2021;869 694;0,0086;
сентябрь 2021;862 327;0,0080;
октябрь 2021;933 441;0,0082;
ноябрь 2021;966 465;0,0083;
декабрь 2021;847 215;0,0071;
январь 2022;793 253;0,0066;
февраль 2022;847 618;0,0071;
март 2022;1 017 739;0,0079;
апрель 2022;1 226 868;0,0102;
май 2022;1 124 259;0,0094;
июнь 2022;1 040 938;0,0097;
июль 2022;979 477;0,0093;
август 2022;984 795;0,0091;
сентябрь 2022;907 920;0,0077;
октябрь 2022;1 026 971;0,0083;
ноябрь 2022;1 067 447;0,0084;
декабрь 2022;876 937;0,0069;
январь 2023;851 785;0,0069;
февраль 2023;879 471;0,0077;
март 2023;1 134 019;0,0091;
апрель 2023;1 245 836;0,0107;
май 2023;1 154 873;0,0102;
июнь 2023;1 077 779;0,0105;
июль 2023;1 042 753;0,0103;
август 2023;1 025 267;0,0102;
сентябрь 2023;1 063 706;0,0098;
октябрь 2023;1 230 194;0,0103;
ноябрь 2023;1 118 194;0,0095;
декабрь 2023;945 846;0,0079;
январь 2024;945 522;0,0078;
февраль 2024;1 038 470;0,0092;
март 2024;1 186 262;0,0102;
апрель 2024;1 358 631;0,0125;
май 2024;1 254 058;0,0117;
июнь 2024;1 110 764;0,0118;
июль 2024;1 153 886;0,0123;
август 2024;1 092 108;0,0116;
сентябрь 2024;1 078 339;0,0108;
октябрь 2024;1 335 912;0,0119;
ноябрь 2024;1 295 570;0,0111;
декабрь 2024;1 146 241;0,0095;
январь 2025;1 085 929;0,0091;
февраль 2025;1 173 180;0,0102;
март 2025;1 380 226;0,0115;
апрель 2025;1 438 693;0,0126;
май 2025;1 300 374;0,0121;
июнь 2025;1 341 200;0,0127;
