Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Комплектующие для дрелей», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;26;0,000000334;
февраль 2018;22;0,000000283;
март 2018;32;0,000000380;
апрель 2018;17;0,000000224;
май 2018;32;0,000000425;
июнь 2018;15;0,000000216;
июль 2018;40;0,000000572;
август 2018;22;0,000000311;
сентябрь 2018;30;0,000000378;
октябрь 2018;12;0,000000130;
ноябрь 2018;24;0,000000282;
декабрь 2018;29;0,000000339;
январь 2019;29;0,000000329;
февраль 2019;33;0,000000393;
март 2019;42;0,000000478;
апрель 2019;21;0,000000254;
май 2019;19;0,000000240;
июнь 2019;18;0,000000248;
июль 2019;25;0,000000340;
август 2019;13;0,000000178;
сентябрь 2019;26;0,000000330;
октябрь 2019;34;0,000000384;
ноябрь 2019;28;0,000000315;
декабрь 2019;24;0,000000258;
январь 2020;29;0,000000298;
февраль 2020;29;0,000000315;
март 2020;22;0,000000223;
апрель 2020;17;0,000000142;
май 2020;29;0,000000270;
июнь 2020;23;0,000000257;
июль 2020;20;0,000000237;
август 2020;37;0,000000441;
сентябрь 2020;22;0,000000231;
октябрь 2020;27;0,000000250;
ноябрь 2020;38;0,000000331;
декабрь 2020;28;0,000000253;
январь 2021;22;0,000000210;
февраль 2021;20;0,000000200;
март 2021;42;0,000000385;
апрель 2021;24;0,000000222;
май 2021;27;0,000000261;
июнь 2021;30;0,000000302;
июль 2021;13;0,000000134;
август 2021;16;0,000000159;
сентябрь 2021;19;0,000000177;
октябрь 2021;45;0,000000395;
ноябрь 2021;20;0,000000172;
декабрь 2021;34;0,000000286;
январь 2022;32;0,000000268;
февраль 2022;21;0,000000177;
март 2022;20;0,000000156;
апрель 2022;29;0,000000242;
май 2022;32;0,000000268;
июнь 2022;33;0,000000307;
июль 2022;18;0,000000172;
август 2022;55;0,000000510;
сентябрь 2022;36;0,000000307;
октябрь 2022;40;0,000000323;
ноябрь 2022;68;0,000000538;
декабрь 2022;33;0,000000262;
январь 2023;34;0,000000275;
февраль 2023;30;0,000000262;
март 2023;32;0,000000257;
апрель 2023;34;0,000000294;
май 2023;24;0,000000212;
июнь 2023;35;0,000000341;
июль 2023;84;0,000000832;
август 2023;44;0,000000438;
сентябрь 2023;25;0,000000232;
октябрь 2023;36;0,000000301;
ноябрь 2023;35;0,000000298;
декабрь 2023;46;0,000000385;
январь 2024;23;0,000000190;
февраль 2024;22;0,000000195;
март 2024;27;0,000000234;
апрель 2024;21;0,000000193;
май 2024;28;0,000000262;
июнь 2024;26;0,000000278;
июль 2024;9;0,000000096;
август 2024;19;0,000000203;
сентябрь 2024;16;0,000000161;
октябрь 2024;25;0,000000222;
ноябрь 2024;30;0,000000258;
декабрь 2024;18;0,000000150;
январь 2025;15;0,000000126;
февраль 2025;34;0,000000297;
март 2025;20;0,000000166;
апрель 2025;27;0,000000236;
май 2025;45;0,000000421;
июнь 2025;26;0,000000246;
