Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фрезы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;405 236;0,0052;
февраль 2018;423 761;0,0054;
март 2018;479 506;0,0057;
апрель 2018;454 405;0,0059;
май 2018;480 166;0,0063;
июнь 2018;380 671;0,0054;
июль 2018;353 744;0,0050;
август 2018;380 732;0,0053;
сентябрь 2018;392 134;0,0049;
октябрь 2018;491 134;0,0053;
ноябрь 2018;439 525;0,0051;
декабрь 2018;413 501;0,0048;
январь 2019;470 097;0,0053;
февраль 2019;471 175;0,0056;
март 2019;518 932;0,0059;
апрель 2019;530 836;0,0064;
май 2019;506 762;0,0064;
июнь 2019;403 827;0,0055;
июль 2019;418 934;0,0056;
август 2019;417 556;0,0057;
сентябрь 2019;455 636;0,0057;
октябрь 2019;552 050;0,0062;
ноябрь 2019;558 133;0,0062;
декабрь 2019;525 748;0,0056;
январь 2020;580 850;0,0059;
февраль 2020;602 960;0,0065;
март 2020;569 427;0,0057;
апрель 2020;577 016;0,0048;
май 2020;653 262;0,0060;
июнь 2020;539 694;0,0060;
июль 2020;480 539;0,0057;
август 2020;452 688;0,0053;
сентябрь 2020;486 357;0,0051;
октябрь 2020;546 392;0,0050;
ноябрь 2020;568 563;0,0049;
декабрь 2020;542 765;0,0049;
январь 2021;540 945;0,0051;
февраль 2021;538 208;0,0053;
март 2021;620 549;0,0057;
апрель 2021;651 453;0,0060;
май 2021;671 407;0,0065;
июнь 2021;549 358;0,0055;
июль 2021;475 379;0,0049;
август 2021;509 618;0,0050;
сентябрь 2021;526 114;0,0049;
октябрь 2021;564 453;0,0049;
ноябрь 2021;572 251;0,0049;
декабрь 2021;566 598;0,0047;
январь 2022;590 217;0,0049;
февраль 2022;579 713;0,0049;
март 2022;674 447;0,0052;
апрель 2022;711 641;0,0059;
май 2022;794 483;0,0066;
июнь 2022;604 058;0,0056;
июль 2022;521 107;0,0049;
август 2022;556 784;0,0051;
сентябрь 2022;565 037;0,0048;
октябрь 2022;582 333;0,0047;
ноябрь 2022;594 063;0,0047;
декабрь 2022;553 241;0,0043;
январь 2023;584 029;0,0047;
февраль 2023;586 209;0,0051;
март 2023;698 382;0,0056;
апрель 2023;710 966;0,0061;
май 2023;747 236;0,0066;
июнь 2023;565 086;0,0055;
июль 2023;515 503;0,0051;
август 2023;506 768;0,0050;
сентябрь 2023;525 811;0,0048;
октябрь 2023;591 012;0,0049;
ноябрь 2023;582 046;0,0049;
декабрь 2023;531 722;0,0044;
январь 2024;563 866;0,0046;
февраль 2024;610 010;0,0054;
март 2024;648 384;0,0056;
апрель 2024;696 665;0,0064;
май 2024;738 186;0,0069;
июнь 2024;540 736;0,0057;
июль 2024;494 379;0,0053;
август 2024;473 227;0,0050;
сентябрь 2024;495 715;0,0049;
октябрь 2024;575 626;0,0051;
ноябрь 2024;577 442;0,0049;
декабрь 2024;574 151;0,0047;
январь 2025;579 943;0,0048;
февраль 2025;617 479;0,0054;
март 2025;658 041;0,0054;
апрель 2025;690 270;0,0060;
май 2025;726 658;0,0068;
июнь 2025;593 891;0,0056;
