Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Культиваторы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;164 561;0,0021;
февраль 2018;193 294;0,0024;
март 2018;268 297;0,0031;
апрель 2018;476 335;0,0062;
май 2018;791 478;0,0105;
июнь 2018;306 453;0,0044;
июль 2018;173 237;0,0024;
август 2018;207 538;0,0029;
сентябрь 2018;259 216;0,0032;
октябрь 2018;257 232;0,0027;
ноябрь 2018;157 756;0,0018;
декабрь 2018;130 029;0,0015;
январь 2019;172 733;0,0019;
февраль 2019;210 654;0,0025;
март 2019;332 345;0,0037;
апрель 2019;614 658;0,0074;
май 2019;742 312;0,0093;
июнь 2019;259 631;0,0035;
июль 2019;161 795;0,0022;
август 2019;177 160;0,0024;
сентябрь 2019;235 502;0,0029;
октябрь 2019;227 533;0,0025;
ноябрь 2019;149 808;0,0016;
декабрь 2019;148 878;0,0016;
январь 2020;189 287;0,0019;
февраль 2020;222 089;0,0024;
март 2020;358 115;0,0036;
апрель 2020;732 725;0,0061;
май 2020;1 067 971;0,0099;
июнь 2020;401 894;0,0045;
июль 2020;212 222;0,0025;
август 2020;244 384;0,0029;
сентябрь 2020;323 393;0,0034;
октябрь 2020;319 722;0,0029;
ноябрь 2020;224 386;0,0019;
декабрь 2020;186 550;0,0016;
январь 2021;215 929;0,0020;
февраль 2021;254 576;0,0025;
март 2021;369 099;0,0033;
апрель 2021;647 569;0,0060;
май 2021;1 032 110;0,0100;
июнь 2021;433 213;0,0043;
июль 2021;230 419;0,0023;
август 2021;263 032;0,0026;
сентябрь 2021;343 833;0,0032;
октябрь 2021;320 076;0,0028;
ноябрь 2021;228 502;0,0019;
декабрь 2021;201 545;0,0017;
январь 2022;241 661;0,0020;
февраль 2022;282 342;0,0023;
март 2022;437 528;0,0034;
апрель 2022;692 674;0,0057;
май 2022;1 167 042;0,0097;
июнь 2022;491 148;0,0045;
июль 2022;262 519;0,0025;
август 2022;278 704;0,0025;
сентябрь 2022;322 526;0,0027;
октябрь 2022;284 595;0,0023;
ноябрь 2022;213 736;0,0016;
декабрь 2022;184 604;0,0014;
январь 2023;218 230;0,0017;
февраль 2023;238 940;0,0020;
март 2023;371 322;0,0029;
апрель 2023;690 659;0,0059;
май 2023;903 194;0,0079;
июнь 2023;355 030;0,0034;
июль 2023;214 219;0,0021;
август 2023;224 419;0,0022;
сентябрь 2023;317 583;0,0029;
октябрь 2023;295 461;0,0024;
ноябрь 2023;193 232;0,0016;
декабрь 2023;162 322;0,0013;
январь 2024;198 367;0,0016;
февраль 2024;232 383;0,0020;
март 2024;320 912;0,0027;
апрель 2024;604 855;0,0055;
май 2024;849 436;0,0079;
июнь 2024;376 594;0,0040;
июль 2024;199 767;0,0021;
август 2024;208 376;0,0022;
сентябрь 2024;302 945;0,0030;
октябрь 2024;300 065;0,0026;
ноябрь 2024;188 464;0,0016;
декабрь 2024;163 612;0,0013;
январь 2025;191 850;0,0016;
февраль 2025;217 378;0,0019;
март 2025;354 703;0,0029;
апрель 2025;572 502;0,0050;
май 2025;902 809;0,0084;
июнь 2025;423 409;0,0040;
