Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Аэраторы и Скарификаторы для газона», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;71;0,000000936;
май 2018;61;0,000000811;
июнь 2018;25;0,000000360;
июль 2018;17;0,000000243;
август 2018;9;0,000000127;
сентябрь 2018;13;0,000000164;
октябрь 2018;17;0,000000184;
ноябрь 2018;12;0,000000141;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;23;0,000000261;
апрель 2019;91;0,000001101;
май 2019;53;0,000000670;
июнь 2019;41;0,000000565;
июль 2019;29;0,000000394;
август 2019;22;0,000000302;
сентябрь 2019;18;0,000000228;
октябрь 2019;15;0,000000169;
ноябрь 2019;8;0,000000090;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;21;0,000000228;
март 2020;96;0,000000976;
апрель 2020;114;0,000000954;
май 2020;123;0,000001146;
июнь 2020;77;0,000000863;
июль 2020;53;0,000000629;
август 2020;34;0,000000405;
сентябрь 2020;69;0,000000726;
октябрь 2020;60;0,000000557;
ноябрь 2020;28;0,000000244;
декабрь 2020;17;0,000000153;
январь 2021;22;0,000000210;
февраль 2021;30;0,000000300;
март 2021;68;0,000000624;
апрель 2021;376;0,000003488;
май 2021;198;0,000001919;
июнь 2021;89;0,000000897;
июль 2021;71;0,000000731;
август 2021;76;0,000000758;
сентябрь 2021;62;0,000000578;
октябрь 2021;65;0,000000571;
ноябрь 2021;34;0,000000293;
декабрь 2021;27;0,000000227;
январь 2022;32;0,000000268;
февраль 2022;50;0,000000423;
март 2022;76;0,000000596;
апрель 2022;309;0,000002585;
май 2022;178;0,000001491;
июнь 2022;133;0,000001240;
июль 2022;88;0,000000843;
август 2022;127;0,000001178;
сентябрь 2022;43;0,000000367;
октябрь 2022;45;0,000000363;
ноябрь 2022;38;0,000000301;
декабрь 2022;20;0,000000158;
январь 2023;19;0,000000154;
февраль 2023;33;0,000000289;
март 2023;122;0,000000980;
апрель 2023;390;0,000003378;
май 2023;237;0,000002095;
июнь 2023;125;0,000001219;
июль 2023;134;0,000001328;
август 2023;117;0,000001164;
сентябрь 2023;98;0,000000911;
октябрь 2023;82;0,000000687;
ноябрь 2023;36;0,000000306;
декабрь 2023;35;0,000000293;
январь 2024;41;0,000000340;
февраль 2024;75;0,000000667;
март 2024;171;0,000001482;
апрель 2024;520;0,000004793;
май 2024;243;0,000002281;
июнь 2024;159;0,000001702;
июль 2024;130;0,000001396;
август 2024;105;0,000001123;
сентябрь 2024;91;0,000000916;
октябрь 2024;84;0,000000748;
ноябрь 2024;28;0,000000240;
декабрь 2024;13;0,000000108;
январь 2025;37;0,000000311;
февраль 2025;49;0,000000429;
март 2025;332;0,000002770;
апрель 2025;455;0,000003993;
май 2025;218;0,000002042;
июнь 2025;163;0,000001544;
