Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Электрические кусторезы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 708;0,000034;
февраль 2018;2 023;0,000026;
март 2018;3 697;0,000043;
апрель 2018;4 363;0,000057;
май 2018;6 183;0,000082;
июнь 2018;6 707;0,000096;
июль 2018;6 916;0,000098;
август 2018;7 523;0,000106;
сентябрь 2018;4 852;0,000061;
октябрь 2018;4 276;0,000046;
ноябрь 2018;2 142;0,000025;
декабрь 2018;1 502;0,000017;
январь 2019;1 531;0,000017;
февраль 2019;2 236;0,000026;
март 2019;2 781;0,000031;
апрель 2019;4 131;0,000049;
май 2019;6 597;0,000083;
июнь 2019;9 012;0,000124;
июль 2019;7 295;0,000099;
август 2019;6 569;0,000090;
сентябрь 2019;4 895;0,000062;
октябрь 2019;3 984;0,000045;
ноябрь 2019;2 406;0,000027;
декабрь 2019;2 083;0,000022;
январь 2020;2 733;0,000028;
февраль 2020;3 199;0,000034;
март 2020;5 032;0,000051;
апрель 2020;5 290;0,000044;
май 2020;9 281;0,000086;
июнь 2020;13 815;0,000154;
июль 2020;12 917;0,000153;
август 2020;10 570;0,000126;
сентябрь 2020;8 362;0,000088;
октябрь 2020;7 089;0,000065;
ноябрь 2020;5 238;0,000045;
декабрь 2020;3 062;0,000027;
январь 2021;3 081;0,000029;
февраль 2021;3 624;0,000036;
март 2021;5 605;0,000051;
апрель 2021;8 705;0,000080;
май 2021;12 135;0,000117;
июнь 2021;17 494;0,000176;
июль 2021;17 424;0,000179;
август 2021;14 598;0,000145;
сентябрь 2021;11 117;0,000103;
октябрь 2021;8 602;0,000075;
ноябрь 2021;6 190;0,000053;
декабрь 2021;4 330;0,000036;
январь 2022;4 707;0,000039;
февраль 2022;6 022;0,000050;
март 2022;8 524;0,000066;
апрель 2022;9 594;0,000080;
май 2022;14 575;0,000122;
июнь 2022;19 620;0,000183;
июль 2022;20 458;0,000196;
август 2022;17 853;0,000165;
сентябрь 2022;12 040;0,000102;
октябрь 2022;9 861;0,000079;
ноябрь 2022;6 920;0,000054;
декабрь 2022;4 793;0,000038;
январь 2023;4 557;0,000036;
февраль 2023;5 488;0,000048;
март 2023;8 301;0,000066;
апрель 2023;11 476;0,000099;
май 2023;15 407;0,000136;
июнь 2023;18 741;0,000182;
июль 2023;17 102;0,000169;
август 2023;15 340;0,000152;
сентябрь 2023;12 736;0,000118;
октябрь 2023;10 499;0,000088;
ноябрь 2023;7 038;0,000059;
декабрь 2023;4 515;0,000037;
январь 2024;5 060;0,000041;
февраль 2024;5 666;0,000050;
март 2024;7 320;0,000063;
апрель 2024;11 057;0,000101;
май 2024;12 518;0,000117;
июнь 2024;15 663;0,000167;
июль 2024;14 973;0,000160;
август 2024;10 920;0,000116;
сентябрь 2024;8 262;0,000083;
октябрь 2024;6 091;0,000054;
ноябрь 2024;3 835;0,000032;
декабрь 2024;2 593;0,000021;
январь 2025;3 128;0,000026;
февраль 2025;3 346;0,000029;
март 2025;6 047;0,000050;
апрель 2025;6 363;0,000055;
май 2025;9 474;0,000088;
июнь 2025;13 109;0,000124;
