Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Триммеры, бензокосы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;327 049;0,0042;
февраль 2018;395 746;0,0051;
март 2018;389 020;0,0046;
апрель 2018;460 657;0,0060;
май 2018;1 675 162;0,0222;
июнь 2018;1 842 838;0,0265;
июль 2018;1 526 622;0,0218;
август 2018;1 067 667;0,0151;
сентябрь 2018;549 967;0,0069;
октябрь 2018;397 326;0,0043;
ноябрь 2018;314 411;0,0036;
декабрь 2018;382 610;0,0044;
январь 2019;351 886;0,0039;
февраль 2019;462 355;0,0055;
март 2019;410 700;0,0046;
апрель 2019;527 077;0,0063;
май 2019;1 966 366;0,0248;
июнь 2019;2 243 565;0,0309;
июль 2019;1 475 928;0,0200;
август 2019;1 070 306;0,0147;
сентябрь 2019;624 816;0,0079;
октябрь 2019;386 963;0,0043;
ноябрь 2019;341 088;0,0038;
декабрь 2019;431 529;0,0046;
январь 2020;462 414;0,0047;
февраль 2020;549 718;0,0059;
март 2020;460 249;0,0046;
апрель 2020;626 596;0,0052;
май 2020;3 003 065;0,0280;
июнь 2020;3 845 174;0,0431;
июль 2020;2 405 817;0,0285;
август 2020;1 551 030;0,0184;
сентябрь 2020;868 794;0,0091;
октябрь 2020;571 873;0,0053;
ноябрь 2020;497 041;0,0043;
декабрь 2020;549 043;0,0049;
январь 2021;498 974;0,0047;
февраль 2021;668 454;0,0066;
март 2021;619 364;0,0056;
апрель 2021;834 072;0,0077;
май 2021;3 378 765;0,0327;
июнь 2021;4 144 752;0,0417;
июль 2021;2 830 084;0,0291;
август 2021;1 924 080;0,0191;
сентябрь 2021;1 022 445;0,0095;
октябрь 2021;656 236;0,0057;
ноябрь 2021;567 793;0,0048;
декабрь 2021;628 396;0,0053;
январь 2022;637 898;0,0053;
февраль 2022;798 801;0,0067;
март 2022;792 192;0,0062;
апрель 2022;996 873;0,0083;
май 2022;3 324 112;0,0278;
июнь 2022;5 533 528;0,0516;
июль 2022;3 462 809;0,0332;
август 2022;2 287 657;0,0212;
сентябрь 2022;893 410;0,0076;
октябрь 2022;631 769;0,0051;
ноябрь 2022;570 952;0,0045;
декабрь 2022;587 605;0,0046;
январь 2023;569 214;0,0046;
февраль 2023;658 473;0,0057;
март 2023;720 230;0,0057;
апрель 2023;1 172 234;0,0101;
май 2023;4 223 874;0,0373;
июнь 2023;4 249 452;0,0414;
июль 2023;3 357 305;0,0332;
август 2023;2 568 906;0,0255;
сентябрь 2023;1 386 896;0,0128;
октябрь 2023;852 314;0,0071;
ноябрь 2023;633 326;0,0053;
декабрь 2023;631 656;0,0052;
январь 2024;625 391;0,0051;
февраль 2024;742 553;0,0066;
март 2024;723 644;0,0062;
апрель 2024;1 334 017;0,0122;
май 2024;3 760 837;0,0353;
июнь 2024;5 087 439;0,0544;
июль 2024;3 584 002;0,0385;
август 2024;2 355 221;0,0251;
сентябрь 2024;1 321 034;0,0132;
октябрь 2024;677 654;0,0060;
ноябрь 2024;533 056;0,0045;
декабрь 2024;554 150;0,0046;
январь 2025;560 767;0,0047;
февраль 2025;643 731;0,0056;
март 2025;726 667;0,0060;
апрель 2025;1 265 349;0,0111;
май 2025;4 786 975;0,0448;
июнь 2025;5 614 907;0,0531;
