Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шпатели», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;59 399;0,00076;
февраль 2018;64 990;0,00083;
март 2018;71 728;0,00085;
апрель 2018;96 703;0,00127;
май 2018;62 173;0,00082;
июнь 2018;63 925;0,00092;
июль 2018;67 312;0,00096;
август 2018;68 926;0,00097;
сентябрь 2018;73 342;0,00092;
октябрь 2018;83 789;0,00090;
ноябрь 2018;76 089;0,00089;
декабрь 2018;71 941;0,00084;
январь 2019;73 899;0,00083;
февраль 2019;81 432;0,00097;
март 2019;84 525;0,00096;
апрель 2019;79 588;0,00096;
май 2019;74 580;0,00094;
июнь 2019;73 184;0,00100;
июль 2019;81 514;0,00110;
август 2019;80 181;0,00110;
сентябрь 2019;83 560;0,00106;
октябрь 2019;89 648;0,00101;
ноябрь 2019;90 273;0,00101;
декабрь 2019;87 600;0,00094;
январь 2020;90 976;0,00093;
февраль 2020;99 233;0,00107;
март 2020;96 567;0,00098;
апрель 2020;100 927;0,00084;
май 2020;114 177;0,00106;
июнь 2020;107 360;0,00120;
июль 2020;102 209;0,00121;
август 2020;101 934;0,00121;
сентябрь 2020;112 729;0,00118;
октябрь 2020;118 809;0,00110;
ноябрь 2020;124 601;0,00108;
декабрь 2020;120 270;0,00108;
январь 2021;110 179;0,00105;
февраль 2021;114 824;0,00114;
март 2021;129 066;0,00118;
апрель 2021;126 563;0,00117;
май 2021;118 035;0,00114;
июнь 2021;122 529;0,00123;
июль 2021;125 282;0,00129;
август 2021;135 872;0,00135;
сентябрь 2021;145 150;0,00135;
октябрь 2021;139 648;0,00122;
ноябрь 2021;149 851;0,00129;
декабрь 2021;147 083;0,00124;
январь 2022;143 676;0,00120;
февраль 2022;146 029;0,00123;
март 2022;156 310;0,00122;
апрель 2022;153 791;0,00128;
май 2022;150 319;0,00125;
июнь 2022;154 418;0,00144;
июль 2022;143 729;0,00137;
август 2022;147 560;0,00136;
сентябрь 2022;142 228;0,00121;
октябрь 2022;139 001;0,00112;
ноябрь 2022;147 735;0,00117;
декабрь 2022;133 526;0,00106;
январь 2023;132 789;0,00107;
февраль 2023;134 963;0,00118;
март 2023;159 591;0,00128;
апрель 2023;140 660;0,00121;
май 2023;139 712;0,00123;
июнь 2023;137 834;0,00134;
июль 2023;143 587;0,00142;
август 2023;141 774;0,00141;
сентябрь 2023;150 316;0,00139;
октябрь 2023;157 946;0,00132;
ноябрь 2023;156 080;0,00132;
декабрь 2023;139 883;0,00117;
январь 2024;138 798;0,00115;
февраль 2024;151 251;0,00134;
март 2024;154 456;0,00133;
апрель 2024;152 573;0,00140;
май 2024;149 635;0,00140;
июнь 2024;135 607;0,00145;
июль 2024;140 184;0,00150;
август 2024;138 691;0,00148;
сентябрь 2024;149 343;0,00150;
октябрь 2024;156 835;0,00139;
ноябрь 2024;159 097;0,00136;
декабрь 2024;152 186;0,00126;
январь 2025;147 746;0,00124;
февраль 2025;159 420;0,00139;
март 2025;169 630;0,00141;
апрель 2025;155 099;0,00136;
май 2025;148 472;0,00139;
июнь 2025;155 849;0,00147;
