Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мастерки, кельмы и расшивки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;31 586;0,00040;
февраль 2018;31 701;0,00040;
март 2018;35 340;0,00042;
апрель 2018;34 082;0,00044;
май 2018;35 353;0,00047;
июнь 2018;36 242;0,00052;
июль 2018;37 225;0,00053;
август 2018;39 047;0,00055;
сентябрь 2018;39 211;0,00049;
октябрь 2018;40 828;0,00044;
ноябрь 2018;34 563;0,00040;
декабрь 2018;33 064;0,00038;
январь 2019;34 703;0,00039;
февраль 2019;36 129;0,00043;
март 2019;41 454;0,00047;
апрель 2019;38 580;0,00046;
май 2019;38 641;0,00048;
июнь 2019;36 807;0,00050;
июль 2019;37 939;0,00051;
август 2019;44 108;0,00060;
сентябрь 2019;37 088;0,00047;
октябрь 2019;38 620;0,00043;
ноябрь 2019;39 418;0,00044;
декабрь 2019;35 360;0,00038;
январь 2020;41 242;0,00042;
февраль 2020;38 582;0,00041;
март 2020;53 798;0,00054;
апрель 2020;55 739;0,00046;
май 2020;56 760;0,00052;
июнь 2020;53 304;0,00059;
июль 2020;46 877;0,00055;
август 2020;46 756;0,00055;
сентябрь 2020;47 405;0,00049;
октябрь 2020;49 097;0,00045;
ноябрь 2020;45 226;0,00039;
декабрь 2020;44 590;0,00040;
январь 2021;42 450;0,00040;
февраль 2021;40 781;0,00040;
март 2021;46 294;0,00042;
апрель 2021;52 105;0,00048;
май 2021;68 505;0,00066;
июнь 2021;52 998;0,00053;
июль 2021;50 759;0,00052;
август 2021;54 624;0,00054;
сентябрь 2021;52 957;0,00049;
октябрь 2021;51 302;0,00045;
ноябрь 2021;53 250;0,00045;
декабрь 2021;45 997;0,00038;
январь 2022;45 803;0,00038;
февраль 2022;44 909;0,00038;
март 2022;52 810;0,00041;
апрель 2022;56 066;0,00046;
май 2022;63 805;0,00053;
июнь 2022;58 644;0,00054;
июль 2022;56 288;0,00053;
август 2022;58 725;0,00054;
сентябрь 2022;53 977;0,00046;
октябрь 2022;53 361;0,00043;
ноябрь 2022;52 474;0,00041;
декабрь 2022;44 886;0,00035;
январь 2023;45 723;0,00037;
февраль 2023;45 296;0,00039;
март 2023;56 475;0,00045;
апрель 2023;55 369;0,00047;
май 2023;63 471;0,00056;
июнь 2023;55 581;0,00054;
июль 2023;56 482;0,00055;
август 2023;56 608;0,00056;
сентябрь 2023;54 252;0,00050;
октябрь 2023;54 394;0,00045;
ноябрь 2023;49 501;0,00042;
декабрь 2023;46 074;0,00038;
январь 2024;46 913;0,00038;
февраль 2024;46 732;0,00041;
март 2024;50 962;0,00044;
апрель 2024;57 575;0,00053;
май 2024;57 663;0,00054;
июнь 2024;50 701;0,00054;
июль 2024;50 066;0,00053;
август 2024;52 051;0,00055;
сентябрь 2024;49 728;0,00050;
октябрь 2024;49 253;0,00043;
ноябрь 2024;46 070;0,00039;
декабрь 2024;46 836;0,00039;
январь 2025;43 971;0,00037;
февраль 2025;45 609;0,00039;
март 2025;48 696;0,00040;
апрель 2025;52 292;0,00045;
май 2025;55 411;0,00051;
июнь 2025;54 646;0,00051;
