Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Правила строительные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;13 754;0,00017;
февраль 2018;15 025;0,00019;
март 2018;16 843;0,00020;
апрель 2018;17 262;0,00022;
май 2018;17 856;0,00023;
июнь 2018;16 534;0,00023;
июль 2018;14 538;0,00020;
август 2018;14 514;0,00020;
сентябрь 2018;15 878;0,00020;
октябрь 2018;19 265;0,00020;
ноябрь 2018;17 018;0,00020;
декабрь 2018;15 908;0,00018;
январь 2019;14 428;0,00016;
февраль 2019;16 446;0,00019;
март 2019;17 407;0,00019;
апрель 2019;18 390;0,00022;
май 2019;17 003;0,00021;
июнь 2019;16 680;0,00023;
июль 2019;14 863;0,00020;
август 2019;14 030;0,00019;
сентябрь 2019;14 891;0,00018;
октябрь 2019;17 288;0,00019;
ноябрь 2019;17 493;0,00019;
декабрь 2019;16 132;0,00017;
январь 2020;14 964;0,00015;
февраль 2020;17 050;0,00018;
март 2020;18 280;0,00018;
апрель 2020;21 420;0,00017;
май 2020;23 570;0,00021;
июнь 2020;23 449;0,00026;
июль 2020;17 045;0,00020;
август 2020;14 897;0,00017;
сентябрь 2020;17 931;0,00018;
октябрь 2020;20 611;0,00019;
ноябрь 2020;22 432;0,00019;
декабрь 2020;23 539;0,00021;
январь 2021;20 048;0,00019;
февраль 2021;21 956;0,00021;
март 2021;27 886;0,00025;
апрель 2021;29 805;0,00027;
май 2021;26 515;0,00025;
июнь 2021;30 028;0,00030;
июль 2021;21 279;0,00021;
август 2021;21 348;0,00021;
сентябрь 2021;24 667;0,00023;
октябрь 2021;23 616;0,00020;
ноябрь 2021;26 009;0,00022;
декабрь 2021;25 814;0,00021;
январь 2022;22 449;0,00018;
февраль 2022;23 852;0,00020;
март 2022;25 855;0,00020;
апрель 2022;26 959;0,00022;
май 2022;25 394;0,00021;
июнь 2022;25 849;0,00024;
июль 2022;20 262;0,00019;
август 2022;20 332;0,00018;
сентябрь 2022;20 273;0,00017;
октябрь 2022;20 617;0,00016;
ноябрь 2022;22 474;0,00017;
декабрь 2022;21 657;0,00017;
январь 2023;18 559;0,00015;
февраль 2023;19 294;0,00016;
март 2023;23 518;0,00018;
апрель 2023;23 306;0,00020;
май 2023;24 458;0,00021;
июнь 2023;23 973;0,00023;
июль 2023;19 187;0,00019;
август 2023;19 328;0,00019;
сентябрь 2023;21 398;0,00019;
октябрь 2023;22 592;0,00018;
ноябрь 2023;22 570;0,00019;
декабрь 2023;20 672;0,00017;
январь 2024;18 846;0,00015;
февраль 2024;20 855;0,00018;
март 2024;22 649;0,00019;
апрель 2024;24 773;0,00022;
май 2024;24 991;0,00023;
июнь 2024;21 651;0,00023;
июль 2024;20 011;0,00021;
август 2024;18 133;0,00019;
сентябрь 2024;20 638;0,00020;
октябрь 2024;23 574;0,00021;
ноябрь 2024;24 732;0,00021;
декабрь 2024;25 890;0,00021;
январь 2025;22 226;0,00018;
февраль 2025;26 152;0,00022;
март 2025;26 418;0,00022;
апрель 2025;27 523;0,00024;
май 2025;24 802;0,00023;
июнь 2025;25 167;0,00023;
