Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Генераторы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 679 147;0,034;
февраль 2018;2 696 344;0,034;
март 2018;2 906 016;0,034;
апрель 2018;2 626 170;0,034;
май 2018;2 636 974;0,035;
июнь 2018;2 502 338;0,036;
июль 2018;2 632 626;0,037;
август 2018;2 659 026;0,037;
сентябрь 2018;2 586 482;0,032;
октябрь 2018;3 284 822;0,035;
ноябрь 2018;3 235 647;0,038;
декабрь 2018;3 235 531;0,037;
январь 2019;3 227 436;0,036;
февраль 2019;3 037 285;0,036;
март 2019;3 251 689;0,037;
апрель 2019;3 012 274;0,036;
май 2019;2 886 370;0,036;
июнь 2019;2 793 705;0,038;
июль 2019;2 822 520;0,038;
август 2019;2 736 448;0,037;
сентябрь 2019;2 800 639;0,035;
октябрь 2019;3 269 313;0,036;
ноябрь 2019;3 427 173;0,038;
декабрь 2019;3 694 938;0,039;
январь 2020;3 613 606;0,037;
февраль 2020;3 453 408;0,037;
март 2020;3 757 520;0,038;
апрель 2020;4 052 096;0,033;
май 2020;4 110 575;0,038;
июнь 2020;3 871 540;0,043;
июль 2020;3 557 694;0,042;
август 2020;3 294 901;0,039;
сентябрь 2020;3 380 479;0,035;
октябрь 2020;3 855 315;0,035;
ноябрь 2020;4 457 454;0,038;
декабрь 2020;4 644 718;0,042;
январь 2021;4 462 724;0,042;
февраль 2021;4 269 337;0,042;
март 2021;4 631 758;0,042;
апрель 2021;4 342 711;0,040;
май 2021;4 467 462;0,043;
июнь 2021;4 364 335;0,043;
июль 2021;4 167 918;0,042;
август 2021;4 239 530;0,042;
сентябрь 2021;4 063 730;0,037;
октябрь 2021;4 388 683;0,038;
ноябрь 2021;5 088 168;0,043;
декабрь 2021;5 443 467;0,045;
январь 2022;5 040 750;0,042;
февраль 2022;4 729 269;0,040;
март 2022;5 195 302;0,040;
апрель 2022;4 839 811;0,040;
май 2022;4 861 310;0,040;
июнь 2022;4 639 370;0,043;
июль 2022;4 576 868;0,043;
август 2022;4 885 295;0,045;
сентябрь 2022;4 632 897;0,039;
октябрь 2022;5 388 150;0,043;
ноябрь 2022;6 245 710;0,049;
декабрь 2022;6 698 250;0,053;
январь 2023;6 113 925;0,049;
февраль 2023;5 489 232;0,048;
март 2023;5 959 307;0,047;
апрель 2023;5 426 155;0,047;
май 2023;5 414 611;0,047;
июнь 2023;5 091 004;0,049;
июль 2023;5 089 867;0,050;
август 2023;5 075 205;0,050;
сентябрь 2023;4 792 689;0,044;
октябрь 2023;5 847 855;0,049;
ноябрь 2023;6 390 910;0,054;
декабрь 2023;6 780 905;0,056;
январь 2024;6 680 612;0,055;
февраль 2024;6 170 357;0,054;
март 2024;5 861 430;0,050;
апрель 2024;5 527 109;0,050;
май 2024;5 353 664;0,050;
июнь 2024;5 087 055;0,054;
июль 2024;5 463 541;0,058;
август 2024;5 136 459;0,054;
сентябрь 2024;4 976 585;0,050;
октябрь 2024;5 834 016;0,051;
ноябрь 2024;6 752 078;0,058;
декабрь 2024;6 836 446;0,056;
январь 2025;6 247 618;0,052;
февраль 2025;6 031 877;0,052;
март 2025;6 162 019;0,051;
апрель 2025;5 797 482;0,050;
май 2025;5 714 785;0,053;
июнь 2025;5 847 906;0,055;
