Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Запчасти для мотопомп», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;801;0,0000103;
февраль 2018;689;0,0000088;
март 2018;722;0,0000085;
апрель 2018;1 028;0,0000135;
май 2018;1 155;0,0000153;
июнь 2018;1 344;0,0000193;
июль 2018;1 036;0,0000148;
август 2018;902;0,0000127;
сентябрь 2018;735;0,0000092;
октябрь 2018;737;0,0000079;
ноябрь 2018;596;0,0000070;
декабрь 2018;565;0,0000066;
январь 2019;534;0,0000060;
февраль 2019;533;0,0000063;
март 2019;673;0,0000076;
апрель 2019;863;0,0000104;
май 2019;999;0,0000126;
июнь 2019;1 068;0,0000147;
июль 2019;843;0,0000114;
август 2019;630;0,0000086;
сентябрь 2019;505;0,0000064;
октябрь 2019;629;0,0000071;
ноябрь 2019;495;0,0000055;
декабрь 2019;453;0,0000048;
январь 2020;493;0,0000050;
февраль 2020;620;0,0000067;
март 2020;724;0,0000073;
апрель 2020;750;0,0000062;
май 2020;1 151;0,0000107;
июнь 2020;1 256;0,0000140;
июль 2020;1 126;0,0000133;
август 2020;783;0,0000093;
сентябрь 2020;531;0,0000055;
октябрь 2020;685;0,0000063;
ноябрь 2020;525;0,0000045;
декабрь 2020;497;0,0000044;
январь 2021;440;0,0000042;
февраль 2021;495;0,0000049;
март 2021;712;0,0000065;
апрель 2021;1 105;0,0000102;
май 2021;1 248;0,0000120;
июнь 2021;1 431;0,0000144;
июль 2021;1 219;0,0000125;
август 2021;928;0,0000092;
сентябрь 2021;705;0,0000065;
октябрь 2021;672;0,0000059;
ноябрь 2021;587;0,0000050;
декабрь 2021;489;0,0000041;
январь 2022;590;0,0000049;
февраль 2022;651;0,0000055;
март 2022;810;0,0000063;
апрель 2022;1 151;0,0000096;
май 2022;1 337;0,0000112;
июнь 2022;1 144;0,0000106;
июль 2022;1 165;0,0000111;
август 2022;813;0,0000075;
сентябрь 2022;605;0,0000051;
октябрь 2022;514;0,0000041;
ноябрь 2022;469;0,0000037;
декабрь 2022;385;0,0000030;
январь 2023;458;0,0000037;
февраль 2023;471;0,0000041;
март 2023;851;0,0000068;
апрель 2023;918;0,0000079;
май 2023;1 103;0,0000097;
июнь 2023;1 196;0,0000116;
июль 2023;818;0,0000081;
август 2023;553;0,0000055;
сентябрь 2023;512;0,0000047;
октябрь 2023;515;0,0000043;
ноябрь 2023;531;0,0000045;
декабрь 2023;342;0,0000028;
январь 2024;451;0,0000037;
февраль 2024;512;0,0000045;
март 2024;669;0,0000058;
апрель 2024;875;0,0000080;
май 2024;880;0,0000082;
июнь 2024;830;0,0000088;
июль 2024;787;0,0000084;
август 2024;495;0,0000052;
сентябрь 2024;487;0,0000049;
октябрь 2024;422;0,0000037;
ноябрь 2024;419;0,0000036;
декабрь 2024;377;0,0000031;
январь 2025;363;0,0000030;
февраль 2025;369;0,0000032;
март 2025;510;0,0000042;
апрель 2025;532;0,0000046;
май 2025;705;0,0000066;
июнь 2025;635;0,0000060;
