Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Запчасти на культиватор», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;767;0,0000098;
февраль 2018;1 080;0,0000139;
март 2018;1 422;0,0000169;
апрель 2018;2 651;0,0000349;
май 2018;5 050;0,0000672;
июнь 2018;2 065;0,0000297;
июль 2018;895;0,0000128;
август 2018;1 196;0,0000169;
сентябрь 2018;1 707;0,0000215;
октябрь 2018;1 552;0,0000168;
ноябрь 2018;885;0,0000104;
декабрь 2018;632;0,0000073;
январь 2019;1 001;0,0000113;
февраль 2019;1 124;0,0000134;
март 2019;1 742;0,0000198;
апрель 2019;3 291;0,0000398;
май 2019;4 722;0,0000597;
июнь 2019;1 667;0,0000230;
июль 2019;773;0,0000105;
август 2019;944;0,0000129;
сентябрь 2019;1 235;0,0000156;
октябрь 2019;1 303;0,0000147;
ноябрь 2019;875;0,0000098;
декабрь 2019;613;0,0000066;
январь 2020;747;0,0000076;
февраль 2020;1 092;0,0000118;
март 2020;1 786;0,0000181;
апрель 2020;3 105;0,0000259;
май 2020;5 978;0,0000557;
июнь 2020;1 922;0,0000215;
июль 2020;1 066;0,0000126;
август 2020;1 172;0,0000139;
сентябрь 2020;1 649;0,0000173;
октябрь 2020;1 573;0,0000146;
ноябрь 2020;961;0,0000083;
декабрь 2020;670;0,0000060;
январь 2021;848;0,0000081;
февраль 2021;917;0,0000091;
март 2021;1 830;0,0000168;
апрель 2021;3 357;0,0000311;
май 2021;6 159;0,0000596;
июнь 2021;2 317;0,0000233;
июль 2021;1 070;0,0000110;
август 2021;1 367;0,0000136;
сентябрь 2021;2 053;0,0000191;
октябрь 2021;1 783;0,0000156;
ноябрь 2021;1 110;0,0000095;
декабрь 2021;780;0,0000065;
январь 2022;1 008;0,0000084;
февраль 2022;1 027;0,0000086;
март 2022;1 830;0,0000143;
апрель 2022;3 606;0,0000301;
май 2022;6 884;0,0000576;
июнь 2022;2 373;0,0000221;
июль 2022;1 146;0,0000109;
август 2022;1 140;0,0000105;
сентябрь 2022;1 527;0,0000130;
октябрь 2022;1 282;0,0000103;
ноябрь 2022;825;0,0000065;
декабрь 2022;622;0,0000049;
январь 2023;867;0,0000070;
февраль 2023;1 090;0,0000095;
март 2023;1 736;0,0000139;
апрель 2023;3 114;0,0000269;
май 2023;5 400;0,0000477;
июнь 2023;1 797;0,0000175;
июль 2023;985;0,0000097;
август 2023;960;0,0000095;
сентябрь 2023;1 356;0,0000126;
октябрь 2023;1 297;0,0000108;
ноябрь 2023;801;0,0000068;
декабрь 2023;526;0,0000044;
январь 2024;744;0,0000061;
февраль 2024;936;0,0000083;
март 2024;1 287;0,0000111;
апрель 2024;2 336;0,0000215;
май 2024;3 783;0,0000355;
июнь 2024;1 570;0,0000168;
июль 2024;797;0,0000085;
август 2024;782;0,0000083;
сентябрь 2024;1 219;0,0000122;
октябрь 2024;1 183;0,0000105;
ноябрь 2024;1 037;0,0000089;
декабрь 2024;809;0,0000067;
январь 2025;937;0,0000078;
февраль 2025;861;0,0000075;
март 2025;1 410;0,0000117;
апрель 2025;2 231;0,0000195;
май 2025;3 473;0,0000325;
июнь 2025;1 488;0,0000140;
