Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Умные розетки и выключатели», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;212;0,0000027;
февраль 2018;134;0,0000017;
март 2018;140;0,0000016;
апрель 2018;138;0,0000018;
май 2018;108;0,0000014;
июнь 2018;112;0,0000016;
июль 2018;156;0,0000022;
август 2018;154;0,0000021;
сентябрь 2018;194;0,0000024;
октябрь 2018;242;0,0000026;
ноябрь 2018;208;0,0000024;
декабрь 2018;188;0,0000021;
январь 2019;214;0,0000024;
февраль 2019;121;0,0000014;
март 2019;148;0,0000016;
апрель 2019;143;0,0000017;
май 2019;130;0,0000016;
июнь 2019;155;0,0000021;
июль 2019;185;0,0000025;
август 2019;169;0,0000023;
сентябрь 2019;374;0,0000047;
октябрь 2019;368;0,0000041;
ноябрь 2019;384;0,0000043;
декабрь 2019;618;0,0000066;
январь 2020;588;0,0000060;
февраль 2020;458;0,0000049;
март 2020;304;0,0000030;
апрель 2020;270;0,0000022;
май 2020;321;0,0000029;
июнь 2020;305;0,0000034;
июль 2020;288;0,0000034;
август 2020;277;0,0000033;
сентябрь 2020;392;0,0000041;
октябрь 2020;520;0,0000048;
ноябрь 2020;587;0,0000051;
декабрь 2020;741;0,0000067;
январь 2021;719;0,0000068;
февраль 2021;564;0,0000056;
март 2021;495;0,0000045;
апрель 2021;390;0,0000036;
май 2021;316;0,0000030;
июнь 2021;371;0,0000037;
июль 2021;374;0,0000038;
август 2021;448;0,0000044;
сентябрь 2021;575;0,0000053;
октябрь 2021;593;0,0000052;
ноябрь 2021;617;0,0000053;
декабрь 2021;693;0,0000058;
январь 2022;780;0,0000065;
февраль 2022;423;0,0000035;
март 2022;300;0,0000023;
апрель 2022;301;0,0000025;
май 2022;289;0,0000024;
июнь 2022;291;0,0000027;
июль 2022;317;0,0000030;
август 2022;444;0,0000041;
сентябрь 2022;373;0,0000031;
октябрь 2022;491;0,0000039;
ноябрь 2022;714;0,0000056;
декабрь 2022;974;0,0000077;
январь 2023;830;0,0000067;
февраль 2023;629;0,0000055;
март 2023;504;0,0000040;
апрель 2023;434;0,0000037;
май 2023;432;0,0000038;
июнь 2023;466;0,0000045;
июль 2023;417;0,0000041;
август 2023;498;0,0000049;
сентябрь 2023;541;0,0000050;
октябрь 2023;1 049;0,0000087;
ноябрь 2023;750;0,0000063;
декабрь 2023;903;0,0000075;
январь 2024;877;0,0000072;
февраль 2024;662;0,0000058;
март 2024;528;0,0000045;
апрель 2024;337;0,0000031;
май 2024;411;0,0000038;
июнь 2024;402;0,0000043;
июль 2024;399;0,0000042;
август 2024;374;0,0000040;
сентябрь 2024;482;0,0000048;
октябрь 2024;559;0,0000049;
ноябрь 2024;648;0,0000055;
декабрь 2024;733;0,0000061;
январь 2025;745;0,0000062;
февраль 2025;554;0,0000048;
март 2025;542;0,0000045;
апрель 2025;456;0,0000040;
май 2025;457;0,0000042;
июнь 2025;410;0,0000038;
