Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Дифференциальные автоматы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;11 233;0,00014;
февраль 2018;13 455;0,00017;
март 2018;13 006;0,00015;
апрель 2018;12 920;0,00017;
май 2018;12 783;0,00017;
июнь 2018;13 240;0,00019;
июль 2018;15 554;0,00022;
август 2018;16 283;0,00023;
сентябрь 2018;13 419;0,00016;
октябрь 2018;17 918;0,00019;
ноябрь 2018;14 524;0,00017;
декабрь 2018;13 369;0,00015;
январь 2019;14 100;0,00016;
февраль 2019;14 622;0,00017;
март 2019;15 044;0,00017;
апрель 2019;13 877;0,00016;
май 2019;12 902;0,00016;
июнь 2019;12 756;0,00017;
июль 2019;14 062;0,00019;
август 2019;13 309;0,00018;
сентябрь 2019;12 759;0,00016;
октябрь 2019;14 703;0,00016;
ноябрь 2019;14 484;0,00016;
декабрь 2019;14 361;0,00015;
январь 2020;14 281;0,00014;
февраль 2020;14 816;0,00016;
март 2020;15 015;0,00015;
апрель 2020;13 242;0,00011;
май 2020;14 806;0,00013;
июнь 2020;15 345;0,00017;
июль 2020;15 513;0,00018;
август 2020;14 514;0,00017;
сентябрь 2020;16 292;0,00017;
октябрь 2020;16 196;0,00015;
ноябрь 2020;17 480;0,00015;
декабрь 2020;18 196;0,00016;
январь 2021;15 382;0,00014;
февраль 2021;16 462;0,00016;
март 2021;20 088;0,00018;
апрель 2021;20 312;0,00018;
май 2021;18 064;0,00017;
июнь 2021;19 733;0,00019;
июль 2021;19 118;0,00019;
август 2021;19 880;0,00019;
сентябрь 2021;20 625;0,00019;
октябрь 2021;20 654;0,00018;
ноябрь 2021;22 381;0,00019;
декабрь 2021;22 168;0,00018;
январь 2022;19 825;0,00016;
февраль 2022;19 899;0,00016;
март 2022;26 480;0,00020;
апрель 2022;23 755;0,00019;
май 2022;23 009;0,00019;
июнь 2022;22 546;0,00021;
июль 2022;21 175;0,00020;
август 2022;21 717;0,00020;
сентябрь 2022;19 995;0,00017;
октябрь 2022;18 887;0,00015;
ноябрь 2022;22 221;0,00017;
декабрь 2022;19 751;0,00015;
январь 2023;18 556;0,00015;
февраль 2023;18 932;0,00016;
март 2023;22 421;0,00018;
апрель 2023;20 135;0,00017;
май 2023;20 892;0,00018;
июнь 2023;19 998;0,00019;
июль 2023;21 837;0,00021;
август 2023;20 562;0,00020;
сентябрь 2023;19 812;0,00018;
октябрь 2023;22 671;0,00019;
ноябрь 2023;23 506;0,00020;
декабрь 2023;19 343;0,00016;
январь 2024;20 842;0,00017;
февраль 2024;21 420;0,00019;
март 2024;21 501;0,00018;
апрель 2024;21 312;0,00019;
май 2024;22 119;0,00020;
июнь 2024;20 587;0,00022;
июль 2024;21 243;0,00022;
август 2024;19 597;0,00020;
сентябрь 2024;19 149;0,00019;
октябрь 2024;22 921;0,00020;
ноябрь 2024;23 864;0,00020;
декабрь 2024;21 837;0,00018;
январь 2025;21 093;0,00017;
февраль 2025;22 138;0,00019;
март 2025;21 616;0,00018;
апрель 2025;20 029;0,00017;
май 2025;18 875;0,00017;
июнь 2025;20 321;0,00019;
