Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Стабилизаторы напряжения», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;220 528;0,0028;
февраль 2018;194 507;0,0025;
март 2018;199 979;0,0023;
апрель 2018;174 108;0,0022;
май 2018;188 251;0,0025;
июнь 2018;187 452;0,0027;
июль 2018;210 990;0,0030;
август 2018;207 106;0,0029;
сентябрь 2018;201 830;0,0025;
октябрь 2018;270 762;0,0029;
ноябрь 2018;255 287;0,0030;
декабрь 2018;232 160;0,0027;
январь 2019;216 818;0,0024;
февраль 2019;188 750;0,0022;
март 2019;185 124;0,0021;
апрель 2019;180 345;0,0021;
май 2019;183 001;0,0023;
июнь 2019;184 262;0,0025;
июль 2019;193 679;0,0026;
август 2019;240 759;0,0033;
сентябрь 2019;297 492;0,0037;
октябрь 2019;342 087;0,0038;
ноябрь 2019;270 404;0,0030;
декабрь 2019;242 987;0,0026;
январь 2020;236 515;0,0024;
февраль 2020;211 377;0,0022;
март 2020;205 610;0,0020;
апрель 2020;198 091;0,0016;
май 2020;260 254;0,0024;
июнь 2020;230 891;0,0025;
июль 2020;275 840;0,0032;
август 2020;192 972;0,0023;
сентябрь 2020;210 528;0,0022;
октябрь 2020;257 561;0,0023;
ноябрь 2020;312 725;0,0027;
декабрь 2020;404 355;0,0036;
январь 2021;366 592;0,0035;
февраль 2021;293 954;0,0029;
март 2021;275 074;0,0025;
апрель 2021;224 379;0,0020;
май 2021;244 903;0,0023;
июнь 2021;252 988;0,0025;
июль 2021;317 842;0,0032;
август 2021;278 508;0,0027;
сентябрь 2021;295 675;0,0027;
октябрь 2021;310 048;0,0027;
ноябрь 2021;339 997;0,0029;
декабрь 2021;384 822;0,0032;
январь 2022;376 556;0,0031;
февраль 2022;263 179;0,0022;
март 2022;288 860;0,0022;
апрель 2022;253 715;0,0021;
май 2022;279 605;0,0023;
июнь 2022;251 235;0,0023;
июль 2022;254 250;0,0024;
август 2022;273 679;0,0025;
сентябрь 2022;269 703;0,0023;
октябрь 2022;286 456;0,0023;
ноябрь 2022;355 699;0,0028;
декабрь 2022;347 181;0,0027;
январь 2023;303 587;0,0024;
февраль 2023;248 944;0,0021;
март 2023;249 880;0,0020;
апрель 2023;224 086;0,0019;
май 2023;252 542;0,0022;
июнь 2023;242 909;0,0023;
июль 2023;258 624;0,0025;
август 2023;312 993;0,0031;
сентябрь 2023;260 645;0,0024;
октябрь 2023;374 687;0,0031;
ноябрь 2023;382 249;0,0032;
декабрь 2023;381 844;0,0031;
январь 2024;373 775;0,0031;
февраль 2024;279 470;0,0024;
март 2024;244 444;0,0021;
апрель 2024;228 048;0,0021;
май 2024;250 490;0,0023;
июнь 2024;259 205;0,0027;
июль 2024;371 381;0,0039;
август 2024;231 009;0,0024;
сентябрь 2024;235 222;0,0023;
октябрь 2024;306 706;0,0027;
ноябрь 2024;351 657;0,0030;
декабрь 2024;341 145;0,0028;
январь 2025;283 722;0,0023;
февраль 2025;262 439;0,0022;
март 2025;236 753;0,0019;
апрель 2025;219 380;0,0019;
май 2025;235 127;0,0022;
июнь 2025;250 933;0,0023;
