Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Изолента», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;41 524;0,00053;
февраль 2018;44 825;0,00057;
март 2018;45 798;0,00054;
апрель 2018;43 279;0,00057;
май 2018;43 381;0,00057;
июнь 2018;39 757;0,00057;
июль 2018;48 144;0,00068;
август 2018;44 726;0,00063;
сентябрь 2018;47 538;0,00059;
октябрь 2018;57 246;0,00062;
ноябрь 2018;51 787;0,00060;
декабрь 2018;48 731;0,00056;
январь 2019;51 381;0,00058;
февраль 2019;57 494;0,00068;
март 2019;58 439;0,00066;
апрель 2019;54 775;0,00066;
май 2019;50 732;0,00064;
июнь 2019;49 909;0,00068;
июль 2019;52 731;0,00071;
август 2019;51 981;0,00071;
сентябрь 2019;51 054;0,00064;
октябрь 2019;55 943;0,00063;
ноябрь 2019;55 992;0,00063;
декабрь 2019;59 669;0,00064;
январь 2020;58 428;0,00060;
февраль 2020;60 964;0,00066;
март 2020;62 610;0,00063;
апрель 2020;63 663;0,00053;
май 2020;64 142;0,00059;
июнь 2020;62 410;0,00069;
июль 2020;63 310;0,00075;
август 2020;67 622;0,00080;
сентябрь 2020;69 698;0,00073;
октябрь 2020;74 207;0,00068;
ноябрь 2020;76 341;0,00066;
декабрь 2020;75 595;0,00068;
январь 2021;76 492;0,00073;
февраль 2021;81 984;0,00082;
март 2021;87 582;0,00080;
апрель 2021;89 193;0,00082;
май 2021;81 184;0,00078;
июнь 2021;81 919;0,00082;
июль 2021;82 761;0,00085;
август 2021;92 443;0,00092;
сентябрь 2021;86 769;0,00081;
октябрь 2021;85 000;0,00074;
ноябрь 2021;88 223;0,00076;
декабрь 2021;89 493;0,00075;
январь 2022;92 180;0,00077;
февраль 2022;96 050;0,00081;
март 2022;138 663;0,00108;
апрель 2022;157 503;0,00131;
май 2022;127 245;0,00106;
июнь 2022;112 796;0,00105;
июль 2022;107 356;0,00102;
август 2022;108 339;0,00100;
сентябрь 2022;112 802;0,00096;
октябрь 2022;119 097;0,00096;
ноябрь 2022;118 344;0,00093;
декабрь 2022;106 964;0,00085;
январь 2023;109 328;0,00088;
февраль 2023;107 894;0,00094;
март 2023;121 048;0,00097;
апрель 2023;112 720;0,00097;
май 2023;110 122;0,00097;
июнь 2023;107 703;0,00105;
июль 2023;106 084;0,00105;
август 2023;105 878;0,00105;
сентябрь 2023;101 226;0,00094;
октябрь 2023;117 755;0,00098;
ноябрь 2023;113 772;0,00096;
декабрь 2023;111 424;0,00093;
январь 2024;113 773;0,00094;
февраль 2024;116 984;0,00104;
март 2024;123 081;0,00106;
апрель 2024;119 722;0,00110;
май 2024;110 058;0,00103;
июнь 2024;98 808;0,00105;
июль 2024;100 588;0,00108;
август 2024;107 271;0,00114;
сентябрь 2024;103 118;0,00103;
октябрь 2024;119 130;0,00106;
ноябрь 2024;119 917;0,00103;
декабрь 2024;121 290;0,00101;
январь 2025;119 207;0,00100;
февраль 2025;119 213;0,00104;
март 2025;123 614;0,00103;
апрель 2025;112 346;0,00098;
май 2025;105 420;0,00098;
июнь 2025;114 254;0,00108;
