Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Монтажные коробки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;13 124;0,00016;
февраль 2018;14 261;0,00018;
март 2018;15 617;0,00018;
апрель 2018;15 710;0,00020;
май 2018;15 702;0,00020;
июнь 2018;14 199;0,00020;
июль 2018;15 442;0,00022;
август 2018;16 357;0,00023;
сентябрь 2018;16 140;0,00020;
октябрь 2018;20 616;0,00022;
ноябрь 2018;17 119;0,00020;
декабрь 2018;14 688;0,00017;
январь 2019;14 410;0,00016;
февраль 2019;17 225;0,00020;
март 2019;17 707;0,00020;
апрель 2019;18 366;0,00022;
май 2019;15 402;0,00019;
июнь 2019;15 771;0,00021;
июль 2019;17 435;0,00023;
август 2019;17 303;0,00023;
сентябрь 2019;16 471;0,00020;
октябрь 2019;19 734;0,00022;
ноябрь 2019;18 260;0,00020;
декабрь 2019;17 353;0,00018;
январь 2020;17 346;0,00017;
февраль 2020;19 505;0,00021;
март 2020;19 645;0,00019;
апрель 2020;18 018;0,00015;
май 2020;19 319;0,00018;
июнь 2020;20 501;0,00022;
июль 2020;20 586;0,00024;
август 2020;19 496;0,00023;
сентябрь 2020;21 177;0,00022;
октябрь 2020;23 203;0,00021;
ноябрь 2020;23 421;0,00020;
декабрь 2020;21 654;0,00019;
январь 2021;17 742;0,00016;
февраль 2021;21 432;0,00021;
март 2021;25 456;0,00023;
апрель 2021;26 562;0,00024;
май 2021;22 575;0,00021;
июнь 2021;26 402;0,00026;
июль 2021;25 549;0,00026;
август 2021;27 011;0,00026;
сентябрь 2021;28 438;0,00026;
октябрь 2021;27 241;0,00023;
ноябрь 2021;28 429;0,00024;
декабрь 2021;26 696;0,00022;
январь 2022;23 141;0,00019;
февраль 2022;27 456;0,00023;
март 2022;29 422;0,00023;
апрель 2022;29 673;0,00024;
май 2022;26 658;0,00022;
июнь 2022;29 041;0,00027;
июль 2022;27 517;0,00026;
август 2022;31 570;0,00029;
сентябрь 2022;29 248;0,00025;
октябрь 2022;28 248;0,00022;
ноябрь 2022;30 070;0,00023;
декабрь 2022;25 964;0,00020;
январь 2023;23 402;0,00018;
февраль 2023;26 937;0,00023;
март 2023;32 540;0,00026;
апрель 2023;29 804;0,00025;
май 2023;29 922;0,00026;
июнь 2023;29 515;0,00028;
июль 2023;29 906;0,00029;
август 2023;31 032;0,00030;
сентябрь 2023;29 531;0,00027;
октябрь 2023;33 967;0,00028;
ноябрь 2023;32 813;0,00027;
декабрь 2023;27 239;0,00022;
январь 2024;26 324;0,00021;
февраль 2024;31 531;0,00028;
март 2024;32 659;0,00028;
апрель 2024;34 508;0,00031;
май 2024;31 636;0,00029;
июнь 2024;29 577;0,00031;
июль 2024;33 250;0,00035;
август 2024;32 329;0,00034;
сентябрь 2024;32 104;0,00032;
октябрь 2024;37 598;0,00033;
ноябрь 2024;37 832;0,00032;
декабрь 2024;35 122;0,00029;
январь 2025;31 219;0,00026;
февраль 2025;38 399;0,00033;
март 2025;38 909;0,00032;
апрель 2025;38 827;0,00034;
май 2025;32 397;0,00030;
июнь 2025;35 899;0,00034;
