Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Провода», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 937 152;0,024;
февраль 2018;2 155 087;0,027;
март 2018;2 148 729;0,025;
апрель 2018;1 962 412;0,025;
май 2018;1 983 096;0,026;
июнь 2018;1 903 845;0,027;
июль 2018;1 872 042;0,026;
август 2018;1 898 896;0,026;
сентябрь 2018;2 033 948;0,025;
октябрь 2018;2 484 032;0,026;
ноябрь 2018;2 412 055;0,028;
декабрь 2018;2 354 247;0,027;
январь 2019;2 313 193;0,026;
февраль 2019;2 386 471;0,028;
март 2019;2 673 410;0,030;
апрель 2019;2 319 664;0,028;
май 2019;2 204 447;0,027;
июнь 2019;2 168 984;0,029;
июль 2019;2 250 009;0,030;
август 2019;2 231 371;0,030;
сентябрь 2019;2 712 393;0,034;
октябрь 2019;2 963 851;0,033;
ноябрь 2019;2 904 200;0,032;
декабрь 2019;2 967 855;0,031;
январь 2020;2 902 338;0,029;
февраль 2020;3 017 643;0,032;
март 2020;2 913 395;0,029;
апрель 2020;3 239 786;0,027;
май 2020;3 214 164;0,029;
июнь 2020;2 966 119;0,033;
июль 2020;2 665 998;0,031;
август 2020;2 585 446;0,030;
сентябрь 2020;2 770 472;0,029;
октябрь 2020;3 178 491;0,029;
ноябрь 2020;3 496 188;0,030;
декабрь 2020;3 465 028;0,031;
январь 2021;3 155 005;0,030;
февраль 2021;3 205 550;0,032;
март 2021;3 591 946;0,032;
апрель 2021;3 290 985;0,030;
май 2021;3 089 293;0,029;
июнь 2021;3 116 663;0,031;
июль 2021;2 957 658;0,030;
август 2021;3 122 869;0,031;
сентябрь 2021;3 264 592;0,030;
октябрь 2021;3 461 443;0,030;
ноябрь 2021;3 687 337;0,031;
декабрь 2021;3 813 666;0,032;
январь 2022;3 547 298;0,029;
февраль 2022;3 563 131;0,030;
март 2022;3 742 490;0,029;
апрель 2022;3 594 894;0,030;
май 2022;3 603 718;0,030;
июнь 2022;3 469 295;0,032;
июль 2022;3 260 725;0,031;
август 2022;3 306 909;0,030;
сентябрь 2022;3 408 875;0,029;
октябрь 2022;3 733 099;0,030;
ноябрь 2022;3 982 301;0,031;
декабрь 2022;3 870 340;0,030;
январь 2023;3 759 211;0,030;
февраль 2023;3 797 512;0,033;
март 2023;3 981 343;0,032;
апрель 2023;3 691 908;0,031;
май 2023;3 662 011;0,032;
июнь 2023;3 527 421;0,034;
июль 2023;3 430 807;0,034;
август 2023;3 390 697;0,033;
сентябрь 2023;3 517 997;0,032;
октябрь 2023;3 994 725;0,033;
ноябрь 2023;4 083 472;0,034;
декабрь 2023;4 013 918;0,033;
январь 2024;3 924 803;0,032;
февраль 2024;3 912 947;0,034;
март 2024;4 198 978;0,036;
апрель 2024;3 870 484;0,035;
май 2024;3 805 256;0,035;
июнь 2024;3 440 910;0,036;
июль 2024;3 386 089;0,036;
август 2024;3 331 050;0,035;
сентябрь 2024;3 435 733;0,034;
октябрь 2024;4 045 198;0,036;
ноябрь 2024;4 304 591;0,037;
декабрь 2024;4 332 922;0,036;
январь 2025;4 172 552;0,035;
февраль 2025;4 287 235;0,037;
март 2025;4 455 441;0,037;
апрель 2025;4 194 846;0,036;
май 2025;3 978 589;0,037;
июнь 2025;4 181 454;0,039;
