Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Комплектующие для кабель», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;300;0,0000038;
февраль 2018;330;0,0000042;
март 2018;317;0,0000037;
апрель 2018;308;0,0000040;
май 2018;312;0,0000041;
июнь 2018;309;0,0000044;
июль 2018;392;0,0000056;
август 2018;395;0,0000055;
сентябрь 2018;356;0,0000044;
октябрь 2018;435;0,0000047;
ноябрь 2018;361;0,0000042;
декабрь 2018;321;0,0000037;
январь 2019;347;0,0000039;
февраль 2019;399;0,0000047;
март 2019;316;0,0000035;
апрель 2019;351;0,0000042;
май 2019;407;0,0000051;
июнь 2019;403;0,0000055;
июль 2019;390;0,0000053;
август 2019;357;0,0000049;
сентябрь 2019;421;0,0000053;
октябрь 2019;440;0,0000049;
ноябрь 2019;410;0,0000046;
декабрь 2019;419;0,0000045;
январь 2020;432;0,0000044;
февраль 2020;365;0,0000039;
март 2020;392;0,0000039;
апрель 2020;328;0,0000027;
май 2020;438;0,0000040;
июнь 2020;422;0,0000047;
июль 2020;454;0,0000053;
август 2020;401;0,0000047;
сентябрь 2020;389;0,0000040;
октябрь 2020;452;0,0000042;
ноябрь 2020;400;0,0000034;
декабрь 2020;501;0,0000045;
январь 2021;397;0,0000038;
февраль 2021;365;0,0000036;
март 2021;379;0,0000034;
апрель 2021;425;0,0000039;
май 2021;405;0,0000039;
июнь 2021;402;0,0000040;
июль 2021;435;0,0000044;
август 2021;442;0,0000044;
сентябрь 2021;506;0,0000047;
октябрь 2021;537;0,0000047;
ноябрь 2021;543;0,0000046;
декабрь 2021;515;0,0000043;
январь 2022;488;0,0000040;
февраль 2022;469;0,0000039;
март 2022;445;0,0000034;
апрель 2022;469;0,0000039;
май 2022;418;0,0000035;
июнь 2022;528;0,0000049;
июль 2022;511;0,0000049;
август 2022;446;0,0000041;
сентябрь 2022;465;0,0000039;
октябрь 2022;478;0,0000038;
ноябрь 2022;527;0,0000041;
декабрь 2022;391;0,0000031;
январь 2023;388;0,0000031;
февраль 2023;415;0,0000036;
март 2023;442;0,0000035;
апрель 2023;407;0,0000035;
май 2023;414;0,0000036;
июнь 2023;458;0,0000044;
июль 2023;461;0,0000045;
август 2023;463;0,0000046;
сентябрь 2023;522;0,0000048;
октябрь 2023;701;0,0000058;
ноябрь 2023;586;0,0000049;
декабрь 2023;469;0,0000039;
январь 2024;370;0,0000030;
февраль 2024;426;0,0000037;
март 2024;397;0,0000034;
апрель 2024;497;0,0000045;
май 2024;454;0,0000042;
июнь 2024;426;0,0000045;
июль 2024;492;0,0000052;
август 2024;462;0,0000049;
сентябрь 2024;488;0,0000049;
октябрь 2024;628;0,0000055;
ноябрь 2024;492;0,0000042;
декабрь 2024;486;0,0000040;
январь 2025;392;0,0000033;
февраль 2025;391;0,0000034;
март 2025;396;0,0000033;
апрель 2025;422;0,0000037;
май 2025;360;0,0000033;
июнь 2025;463;0,0000043;
