Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шнуры для электроприборов», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;47;0,00000060;
февраль 2018;56;0,00000072;
март 2018;38;0,00000045;
апрель 2018;66;0,00000087;
май 2018;68;0,00000090;
июнь 2018;44;0,00000063;
июль 2018;30;0,00000042;
август 2018;42;0,00000059;
сентябрь 2018;58;0,00000073;
октябрь 2018;67;0,00000072;
ноябрь 2018;83;0,00000097;
декабрь 2018;87;0,00000101;
январь 2019;58;0,00000065;
февраль 2019;82;0,00000097;
март 2019;81;0,00000092;
апрель 2019;42;0,00000050;
май 2019;59;0,00000074;
июнь 2019;47;0,00000064;
июль 2019;27;0,00000036;
август 2019;58;0,00000079;
сентябрь 2019;60;0,00000076;
октябрь 2019;88;0,00000099;
ноябрь 2019;79;0,00000089;
декабрь 2019;95;0,00000102;
январь 2020;93;0,00000095;
февраль 2020;97;0,00000105;
март 2020;88;0,00000089;
апрель 2020;205;0,00000171;
май 2020;92;0,00000085;
июнь 2020;92;0,00000103;
июль 2020;78;0,00000092;
август 2020;72;0,00000085;
сентябрь 2020;77;0,00000081;
октябрь 2020;150;0,00000139;
ноябрь 2020;160;0,00000139;
декабрь 2020;155;0,00000140;
январь 2021;118;0,00000113;
февраль 2021;113;0,00000113;
март 2021;97;0,00000089;
апрель 2021;91;0,00000084;
май 2021;114;0,00000110;
июнь 2021;89;0,00000089;
июль 2021;67;0,00000069;
август 2021;90;0,00000089;
сентябрь 2021;103;0,00000096;
октябрь 2021;92;0,00000080;
ноябрь 2021;107;0,00000092;
декабрь 2021;131;0,00000110;
январь 2022;136;0,00000114;
февраль 2022;138;0,00000116;
март 2022;108;0,00000084;
апрель 2022;98;0,00000081;
май 2022;88;0,00000073;
июнь 2022;41;0,00000038;
июль 2022;42;0,00000040;
август 2022;86;0,00000079;
сентябрь 2022;78;0,00000066;
октябрь 2022;87;0,00000070;
ноябрь 2022;93;0,00000073;
декабрь 2022;93;0,00000073;
январь 2023;89;0,00000072;
февраль 2023;76;0,00000066;
март 2023;103;0,00000082;
апрель 2023;71;0,00000061;
май 2023;85;0,00000075;
июнь 2023;41;0,00000039;
июль 2023;49;0,00000048;
август 2023;46;0,00000045;
сентябрь 2023;63;0,00000058;
октябрь 2023;72;0,00000060;
ноябрь 2023;69;0,00000058;
декабрь 2023;48;0,00000040;
январь 2024;77;0,00000063;
февраль 2024;47;0,00000041;
март 2024;87;0,00000075;
апрель 2024;72;0,00000066;
май 2024;57;0,00000053;
июнь 2024;53;0,00000056;
июль 2024;58;0,00000062;
август 2024;27;0,00000028;
сентябрь 2024;66;0,00000066;
октябрь 2024;75;0,00000066;
ноябрь 2024;77;0,00000066;
декабрь 2024;82;0,00000068;
январь 2025;78;0,00000065;
февраль 2025;65;0,00000056;
март 2025;100;0,00000083;
апрель 2025;99;0,00000086;
май 2025;63;0,00000059;
июнь 2025;50;0,00000047;
