Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Колодки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;749 222;0,0096;
февраль 2018;749 359;0,0096;
март 2018;929 890;0,0110;
апрель 2018;1 398 106;0,0184;
май 2018;1 342 337;0,0178;
июнь 2018;1 172 693;0,0169;
июль 2018;1 225 961;0,0175;
август 2018;1 228 037;0,0173;
сентябрь 2018;1 147 897;0,0144;
октябрь 2018;1 342 286;0,0145;
ноябрь 2018;1 060 082;0,0124;
декабрь 2018;776 432;0,0090;
январь 2019;766 222;0,0087;
февраль 2019;883 036;0,0105;
март 2019;1 284 348;0,0146;
апрель 2019;1 794 647;0,0217;
май 2019;1 655 422;0,0209;
июнь 2019;1 370 627;0,0189;
июль 2019;1 343 090;0,0182;
август 2019;1 234 146;0,0169;
сентябрь 2019;1 162 708;0,0147;
октябрь 2019;1 290 603;0,0145;
ноябрь 2019;1 091 024;0,0122;
декабрь 2019;964 711;0,0104;
январь 2020;1 062 553;0,0109;
февраль 2020;1 107 564;0,0120;
март 2020;1 427 432;0,0145;
апрель 2020;1 412 533;0,0118;
май 2020;1 554 965;0,0144;
июнь 2020;1 613 501;0,0180;
июль 2020;1 611 890;0,0191;
август 2020;1 542 041;0,0183;
сентябрь 2020;1 509 666;0,0159;
октябрь 2020;1 539 253;0,0143;
ноябрь 2020;1 398 324;0,0121;
декабрь 2020;1 043 124;0,0094;
январь 2021;1 042 376;0,0099;
февраль 2021;1 017 145;0,0101;
март 2021;1 469 381;0,0134;
апрель 2021;2 201 716;0,0204;
май 2021;1 932 497;0,0187;
июнь 2021;1 852 479;0,0186;
июль 2021;1 803 685;0,0185;
август 2021;1 844 380;0,0183;
сентябрь 2021;1 612 187;0,0150;
октябрь 2021;1 626 303;0,0143;
ноябрь 2021;1 522 732;0,0131;
декабрь 2021;1 158 514;0,0097;
январь 2022;1 102 589;0,0092;
февраль 2022;1 272 523;0,0107;
март 2022;2 597 175;0,0203;
апрель 2022;2 731 112;0,0228;
май 2022;2 400 661;0,0201;
июнь 2022;2 262 172;0,0211;
июль 2022;2 251 011;0,0215;
август 2022;2 205 741;0,0204;
сентябрь 2022;1 756 672;0,0150;
октябрь 2022;1 930 055;0,0156;
ноябрь 2022;1 765 439;0,0139;
декабрь 2022;1 226 066;0,0097;
январь 2023;1 296 687;0,0105;
февраль 2023;1 266 187;0,0110;
март 2023;1 910 726;0,0153;
апрель 2023;2 447 786;0,0212;
май 2023;2 124 931;0,0187;
июнь 2023;1 938 073;0,0189;
июль 2023;1 972 235;0,0195;
август 2023;1 951 584;0,0194;
сентябрь 2023;1 848 094;0,0171;
октябрь 2023;2 023 958;0,0169;
ноябрь 2023;1 656 062;0,0141;
декабрь 2023;1 205 858;0,0101;
январь 2024;1 210 870;0,0100;
февраль 2024;1 348 708;0,0120;
март 2024;1 774 919;0,0153;
апрель 2024;2 337 996;0,0215;
май 2024;2 064 894;0,0193;
июнь 2024;1 877 764;0,0201;
июль 2024;1 956 581;0,0210;
август 2024;1 875 309;0,0200;
сентябрь 2024;1 734 889;0,0174;
октябрь 2024;1 865 128;0,0166;
ноябрь 2024;1 625 877;0,0139;
декабрь 2024;1 314 975;0,0109;
январь 2025;1 447 702;0,0121;
февраль 2025;1 405 318;0,0123;
март 2025;2 002 012;0,0167;
апрель 2025;2 249 010;0,0197;
май 2025;2 084 946;0,0195;
июнь 2025;2 171 483;0,0205;
