Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Батарейки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 087 585;0,014;
февраль 2018;981 091;0,012;
март 2018;1 056 621;0,012;
апрель 2018;931 594;0,012;
май 2018;931 074;0,012;
июнь 2018;839 795;0,012;
июль 2018;863 265;0,012;
август 2018;917 558;0,012;
сентябрь 2018;984 170;0,012;
октябрь 2018;1 164 339;0,012;
ноябрь 2018;1 173 368;0,013;
декабрь 2018;1 289 707;0,015;
январь 2019;1 264 492;0,014;
февраль 2019;1 141 876;0,013;
март 2019;1 211 894;0,013;
апрель 2019;1 080 469;0,013;
май 2019;1 030 190;0,013;
июнь 2019;973 635;0,013;
июль 2019;1 018 417;0,013;
август 2019;1 032 637;0,014;
сентябрь 2019;1 072 006;0,013;
октябрь 2019;1 206 034;0,013;
ноябрь 2019;1 317 479;0,014;
декабрь 2019;1 494 677;0,016;
январь 2020;1 469 314;0,015;
февраль 2020;1 344 544;0,014;
март 2020;1 257 635;0,012;
апрель 2020;1 330 904;0,011;
май 2020;1 384 253;0,012;
июнь 2020;1 282 093;0,014;
июль 2020;1 275 729;0,015;
август 2020;1 302 963;0,015;
сентябрь 2020;1 337 303;0,014;
октябрь 2020;1 486 198;0,013;
ноябрь 2020;1 650 936;0,014;
декабрь 2020;1 780 327;0,016;
январь 2021;1 656 254;0,015;
февраль 2021;1 534 699;0,015;
март 2021;1 560 366;0,014;
апрель 2021;1 521 879;0,014;
май 2021;1 403 936;0,013;
июнь 2021;1 396 027;0,014;
июль 2021;1 407 673;0,014;
август 2021;1 523 095;0,015;
сентябрь 2021;1 612 927;0,015;
октябрь 2021;1 668 648;0,014;
ноябрь 2021;1 801 826;0,015;
декабрь 2021;2 048 598;0,017;
январь 2022;1 924 146;0,016;
февраль 2022;1 676 313;0,014;
март 2022;1 806 988;0,014;
апрель 2022;1 695 444;0,014;
май 2022;1 725 736;0,014;
июнь 2022;1 581 105;0,014;
июль 2022;1 588 273;0,015;
август 2022;1 639 179;0,015;
сентябрь 2022;1 732 537;0,014;
октябрь 2022;1 928 262;0,015;
ноябрь 2022;2 079 673;0,016;
декабрь 2022;2 154 319;0,017;
январь 2023;2 027 469;0,016;
февраль 2023;1 822 315;0,015;
март 2023;1 861 162;0,014;
апрель 2023;1 715 574;0,014;
май 2023;1 641 800;0,014;
июнь 2023;1 573 132;0,015;
июль 2023;1 581 579;0,015;
август 2023;1 609 769;0,016;
сентябрь 2023;1 649 243;0,015;
октябрь 2023;1 995 175;0,016;
ноябрь 2023;2 025 822;0,017;
декабрь 2023;2 186 544;0,018;
январь 2024;2 139 295;0,017;
февраль 2024;1 871 064;0,016;
март 2024;1 821 088;0,015;
апрель 2024;1 745 319;0,016;
май 2024;1 727 811;0,016;
июнь 2024;1 432 689;0,015;
июль 2024;1 490 386;0,016;
август 2024;1 522 987;0,016;
сентябрь 2024;1 560 480;0,015;
октябрь 2024;1 871 064;0,016;
ноябрь 2024;2 017 774;0,017;
декабрь 2024;2 305 805;0,019;
январь 2025;2 092 640;0,017;
февраль 2025;1 981 790;0,017;
март 2025;1 995 546;0,016;
апрель 2025;1 815 545;0,015;
май 2025;1 713 412;0,016;
июнь 2025;1 720 460;0,016;
