Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Телевизионные провода», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;759;0,0000097;
февраль 2018;745;0,0000096;
март 2018;793;0,0000094;
апрель 2018;735;0,0000096;
май 2018;798;0,0000106;
июнь 2018;831;0,0000119;
июль 2018;818;0,0000117;
август 2018;800;0,0000113;
сентябрь 2018;762;0,0000096;
октябрь 2018;964;0,0000104;
ноябрь 2018;1 013;0,0000119;
декабрь 2018;1 113;0,0000130;
январь 2019;1 021;0,0000115;
февраль 2019;1 028;0,0000122;
март 2019;974;0,0000110;
апрель 2019;883;0,0000106;
май 2019;914;0,0000115;
июнь 2019;921;0,0000127;
июль 2019;893;0,0000121;
август 2019;800;0,0000110;
сентябрь 2019;834;0,0000106;
октябрь 2019;962;0,0000108;
ноябрь 2019;944;0,0000106;
декабрь 2019;1 104;0,0000119;
январь 2020;1 095;0,0000112;
февраль 2020;911;0,0000099;
март 2020;994;0,0000101;
апрель 2020;1 238;0,0000103;
май 2020;1 245;0,0000116;
июнь 2020;1 122;0,0000125;
июль 2020;1 130;0,0000134;
август 2020;1 032;0,0000123;
сентябрь 2020;890;0,0000093;
октябрь 2020;1 151;0,0000106;
ноябрь 2020;1 167;0,0000101;
декабрь 2020;1 274;0,0000115;
январь 2021;1 064;0,0000101;
февраль 2021;981;0,0000098;
март 2021;966;0,0000088;
апрель 2021;916;0,0000084;
май 2021;995;0,0000096;
июнь 2021;951;0,0000095;
июль 2021;977;0,0000100;
август 2021;1 057;0,0000105;
сентябрь 2021;1 041;0,0000097;
октябрь 2021;1 112;0,0000097;
ноябрь 2021;1 126;0,0000097;
декабрь 2021;1 183;0,0000099;
январь 2022;1 192;0,0000099;
февраль 2022;1 036;0,0000087;
март 2022;1 063;0,0000083;
апрель 2022;1 114;0,0000093;
май 2022;1 175;0,0000098;
июнь 2022;1 112;0,0000103;
июль 2022;1 117;0,0000107;
август 2022;1 140;0,0000105;
сентябрь 2022;1 083;0,0000092;
октябрь 2022;1 268;0,0000102;
ноябрь 2022;1 322;0,0000104;
декабрь 2022;1 321;0,0000105;
январь 2023;1 152;0,0000093;
февраль 2023;1 059;0,0000092;
март 2023;1 132;0,0000091;
апрель 2023;1 016;0,0000088;
май 2023;1 003;0,0000088;
июнь 2023;1 246;0,0000121;
июль 2023;1 237;0,0000122;
август 2023;1 200;0,0000119;
сентябрь 2023;1 128;0,0000104;
октябрь 2023;1 507;0,0000126;
ноябрь 2023;1 406;0,0000119;
декабрь 2023;1 509;0,0000126;
январь 2024;1 267;0,0000105;
февраль 2024;1 134;0,0000100;
март 2024;1 149;0,0000099;
апрель 2024;961;0,0000088;
май 2024;1 185;0,0000111;
июнь 2024;959;0,0000102;
июль 2024;1 026;0,0000110;
август 2024;924;0,0000098;
сентябрь 2024;866;0,0000087;
октябрь 2024;1 112;0,0000099;
ноябрь 2024;1 145;0,0000098;
декабрь 2024;1 410;0,0000117;
январь 2025;1 144;0,0000096;
февраль 2025;1 037;0,0000090;
март 2025;1 043;0,0000087;
апрель 2025;948;0,0000083;
май 2025;976;0,0000091;
июнь 2025;1 074;0,0000101;
