Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Гильзы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;183 723;0,0023;
февраль 2018;190 273;0,0024;
март 2018;213 066;0,0025;
апрель 2018;193 364;0,0025;
май 2018;184 972;0,0024;
июнь 2018;172 615;0,0024;
июль 2018;170 864;0,0024;
август 2018;185 445;0,0026;
сентябрь 2018;205 089;0,0025;
октябрь 2018;254 479;0,0027;
ноябрь 2018;225 570;0,0026;
декабрь 2018;227 877;0,0026;
январь 2019;216 235;0,0024;
февраль 2019;226 128;0,0026;
март 2019;244 673;0,0027;
апрель 2019;232 788;0,0028;
май 2019;207 253;0,0026;
июнь 2019;190 667;0,0026;
июль 2019;199 049;0,0027;
август 2019;198 862;0,0027;
сентябрь 2019;209 413;0,0026;
октябрь 2019;244 947;0,0027;
ноябрь 2019;245 266;0,0027;
декабрь 2019;266 717;0,0028;
январь 2020;257 138;0,0026;
февраль 2020;268 580;0,0029;
март 2020;275 939;0,0028;
апрель 2020;282 570;0,0023;
май 2020;288 984;0,0026;
июнь 2020;254 771;0,0028;
июль 2020;240 702;0,0028;
август 2020;245 646;0,0029;
сентябрь 2020;283 692;0,0029;
октябрь 2020;339 265;0,0031;
ноябрь 2020;346 623;0,0030;
декабрь 2020;445 178;0,0040;
январь 2021;290 389;0,0027;
февраль 2021;314 363;0,0031;
март 2021;335 351;0,0030;
апрель 2021;335 525;0,0031;
май 2021;298 444;0,0028;
июнь 2021;284 571;0,0028;
июль 2021;273 465;0,0028;
август 2021;301 636;0,0030;
сентябрь 2021;318 018;0,0029;
октябрь 2021;341 761;0,0030;
ноябрь 2021;362 325;0,0031;
декабрь 2021;383 848;0,0032;
январь 2022;342 235;0,0028;
февраль 2022;339 974;0,0028;
март 2022;411 615;0,0032;
апрель 2022;383 169;0,0032;
май 2022;361 513;0,0030;
июнь 2022;334 969;0,0031;
июль 2022;318 480;0,0030;
август 2022;339 972;0,0031;
сентябрь 2022;333 655;0,0028;
октябрь 2022;360 910;0,0029;
ноябрь 2022;392 596;0,0031;
декабрь 2022;400 137;0,0031;
январь 2023;355 331;0,0028;
февраль 2023;359 327;0,0031;
март 2023;408 197;0,0032;
апрель 2023;368 565;0,0031;
май 2023;360 116;0,0031;
июнь 2023;328 556;0,0032;
июль 2023;326 640;0,0032;
август 2023;330 996;0,0032;
сентябрь 2023;345 376;0,0032;
октябрь 2023;387 736;0,0032;
ноябрь 2023;399 289;0,0034;
декабрь 2023;389 841;0,0032;
январь 2024;382 434;0,0031;
февраль 2024;380 756;0,0033;
март 2024;387 974;0,0033;
апрель 2024;372 077;0,0034;
май 2024;364 240;0,0034;
июнь 2024;307 512;0,0032;
июль 2024;312 824;0,0033;
август 2024;311 753;0,0033;
сентябрь 2024;323 584;0,0032;
октябрь 2024;390 772;0,0034;
ноябрь 2024;410 379;0,0035;
декабрь 2024;429 140;0,0035;
январь 2025;420 103;0,0035;
февраль 2025;412 539;0,0036;
март 2025;419 967;0,0035;
апрель 2025;402 792;0,0035;
май 2025;376 947;0,0035;
июнь 2025;364 190;0,0034;
