Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Дин рейки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;36 039;0,00046;
февраль 2018;39 834;0,00051;
март 2018;41 248;0,00049;
апрель 2018;39 034;0,00051;
май 2018;39 105;0,00052;
июнь 2018;40 093;0,00057;
июль 2018;44 737;0,00063;
август 2018;45 409;0,00064;
сентябрь 2018;46 668;0,00058;
октябрь 2018;61 474;0,00066;
ноябрь 2018;49 832;0,00058;
декабрь 2018;43 118;0,00050;
январь 2019;41 126;0,00046;
февраль 2019;46 235;0,00055;
март 2019;46 352;0,00052;
апрель 2019;46 529;0,00056;
май 2019;39 299;0,00049;
июнь 2019;39 005;0,00053;
июль 2019;44 815;0,00060;
август 2019;43 820;0,00060;
сентябрь 2019;46 008;0,00058;
октябрь 2019;54 436;0,00061;
ноябрь 2019;52 995;0,00059;
декабрь 2019;50 137;0,00054;
январь 2020;50 089;0,00051;
февраль 2020;52 835;0,00057;
март 2020;50 629;0,00051;
апрель 2020;43 125;0,00036;
май 2020;49 871;0,00046;
июнь 2020;51 889;0,00058;
июль 2020;51 529;0,00061;
август 2020;50 780;0,00060;
сентябрь 2020;56 133;0,00059;
октябрь 2020;61 158;0,00056;
ноябрь 2020;64 105;0,00055;
декабрь 2020;60 066;0,00054;
январь 2021;52 408;0,00050;
февраль 2021;57 875;0,00057;
март 2021;66 028;0,00060;
апрель 2021;65 597;0,00060;
май 2021;57 763;0,00055;
июнь 2021;61 075;0,00061;
июль 2021;60 347;0,00062;
август 2021;67 096;0,00066;
сентябрь 2021;72 707;0,00067;
октябрь 2021;73 841;0,00064;
ноябрь 2021;78 304;0,00067;
декабрь 2021;75 939;0,00064;
январь 2022;66 691;0,00055;
февраль 2022;66 495;0,00056;
март 2022;73 456;0,00057;
апрель 2022;72 962;0,00061;
май 2022;69 451;0,00058;
июнь 2022;69 785;0,00065;
июль 2022;65 309;0,00062;
август 2022;71 311;0,00066;
сентябрь 2022;70 274;0,00060;
октябрь 2022;76 254;0,00061;
ноябрь 2022;85 578;0,00067;
декабрь 2022;74 531;0,00059;
январь 2023;69 059;0,00056;
февраль 2023;71 558;0,00062;
март 2023;83 603;0,00067;
апрель 2023;73 040;0,00063;
май 2023;73 558;0,00065;
июнь 2023;72 110;0,00070;
июль 2023;71 161;0,00070;
август 2023;74 801;0,00074;
сентябрь 2023;76 025;0,00070;
октябрь 2023;91 186;0,00076;
ноябрь 2023;91 252;0,00077;
декабрь 2023;80 435;0,00067;
январь 2024;77 841;0,00064;
февраль 2024;82 874;0,00073;
март 2024;82 867;0,00071;
апрель 2024;80 884;0,00074;
май 2024;79 955;0,00075;
июнь 2024;73 801;0,00079;
июль 2024;80 602;0,00086;
август 2024;78 181;0,00083;
сентябрь 2024;81 472;0,00082;
октябрь 2024;100 204;0,00089;
ноябрь 2024;103 621;0,00089;
декабрь 2024;102 773;0,00085;
январь 2025;85 317;0,00071;
февраль 2025;106 415;0,00093;
март 2025;98 734;0,00082;
апрель 2025;88 314;0,00077;
май 2025;76 966;0,00072;
июнь 2025;82 902;0,00078;
