Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Заглушки электрические», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;188;0,0000024;
февраль 2018;190;0,0000024;
март 2018;255;0,0000030;
апрель 2018;227;0,0000029;
май 2018;199;0,0000026;
июнь 2018;208;0,0000029;
июль 2018;209;0,0000029;
август 2018;217;0,0000030;
сентябрь 2018;206;0,0000025;
октябрь 2018;369;0,0000040;
ноябрь 2018;256;0,0000030;
декабрь 2018;261;0,0000030;
январь 2019;235;0,0000026;
февраль 2019;274;0,0000032;
март 2019;231;0,0000026;
апрель 2019;290;0,0000035;
май 2019;255;0,0000032;
июнь 2019;302;0,0000041;
июль 2019;302;0,0000041;
август 2019;280;0,0000038;
сентябрь 2019;253;0,0000032;
октябрь 2019;354;0,0000040;
ноябрь 2019;377;0,0000042;
декабрь 2019;348;0,0000037;
январь 2020;381;0,0000039;
февраль 2020;384;0,0000041;
март 2020;434;0,0000044;
апрель 2020;290;0,0000024;
май 2020;385;0,0000035;
июнь 2020;349;0,0000039;
июль 2020;458;0,0000054;
август 2020;392;0,0000046;
сентябрь 2020;437;0,0000046;
октябрь 2020;378;0,0000035;
ноябрь 2020;434;0,0000037;
декабрь 2020;422;0,0000038;
январь 2021;380;0,0000036;
февраль 2021;382;0,0000038;
март 2021;459;0,0000042;
апрель 2021;455;0,0000042;
май 2021;471;0,0000045;
июнь 2021;515;0,0000051;
июль 2021;523;0,0000053;
август 2021;470;0,0000046;
сентябрь 2021;624;0,0000058;
октябрь 2021;621;0,0000054;
ноябрь 2021;582;0,0000050;
декабрь 2021;581;0,0000049;
январь 2022;578;0,0000048;
февраль 2022;523;0,0000044;
март 2022;579;0,0000045;
апрель 2022;595;0,0000049;
май 2022;602;0,0000050;
июнь 2022;607;0,0000056;
июль 2022;583;0,0000055;
август 2022;693;0,0000064;
сентябрь 2022;556;0,0000047;
октябрь 2022;686;0,0000055;
ноябрь 2022;626;0,0000049;
декабрь 2022;687;0,0000054;
январь 2023;551;0,0000044;
февраль 2023;602;0,0000052;
март 2023;711;0,0000057;
апрель 2023;598;0,0000051;
май 2023;659;0,0000058;
июнь 2023;625;0,0000060;
июль 2023;671;0,0000066;
август 2023;808;0,0000080;
сентябрь 2023;655;0,0000060;
октябрь 2023;759;0,0000063;
ноябрь 2023;769;0,0000065;
декабрь 2023;721;0,0000060;
январь 2024;713;0,0000059;
февраль 2024;747;0,0000066;
март 2024;698;0,0000060;
апрель 2024;770;0,0000070;
май 2024;685;0,0000064;
июнь 2024;694;0,0000074;
июль 2024;743;0,0000079;
август 2024;723;0,0000077;
сентябрь 2024;780;0,0000078;
октябрь 2024;909;0,0000080;
ноябрь 2024;944;0,0000081;
декабрь 2024;972;0,0000081;
январь 2025;791;0,0000066;
февраль 2025;856;0,0000075;
март 2025;818;0,0000068;
апрель 2025;808;0,0000070;
май 2025;869;0,0000081;
июнь 2025;865;0,0000081;
