Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Переходники электрические», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;816;0,0000105;
февраль 2018;736;0,0000094;
март 2018;770;0,0000091;
апрель 2018;893;0,0000117;
май 2018;744;0,0000099;
июнь 2018;810;0,0000116;
июль 2018;763;0,0000109;
август 2018;868;0,0000122;
сентябрь 2018;787;0,0000099;
октябрь 2018;877;0,0000095;
ноябрь 2018;874;0,0000102;
декабрь 2018;902;0,0000105;
январь 2019;852;0,0000096;
февраль 2019;873;0,0000104;
март 2019;1 041;0,0000118;
апрель 2019;870;0,0000105;
май 2019;799;0,0000101;
июнь 2019;845;0,0000116;
июль 2019;866;0,0000117;
август 2019;801;0,0000110;
сентябрь 2019;928;0,0000117;
октябрь 2019;1 072;0,0000121;
ноябрь 2019;949;0,0000106;
декабрь 2019;1 229;0,0000132;
январь 2020;1 030;0,0000105;
февраль 2020;964;0,0000104;
март 2020;867;0,0000088;
апрель 2020;780;0,0000065;
май 2020;883;0,0000082;
июнь 2020;1 097;0,0000123;
июль 2020;932;0,0000110;
август 2020;978;0,0000116;
сентябрь 2020;962;0,0000101;
октябрь 2020;1 042;0,0000096;
ноябрь 2020;1 208;0,0000105;
декабрь 2020;1 361;0,0000123;
январь 2021;1 146;0,0000109;
февраль 2021;1 010;0,0000101;
март 2021;1 220;0,0000112;
апрель 2021;1 076;0,0000099;
май 2021;1 197;0,0000116;
июнь 2021;1 409;0,0000142;
июль 2021;1 311;0,0000135;
август 2021;1 530;0,0000152;
сентябрь 2021;1 386;0,0000129;
октябрь 2021;1 381;0,0000121;
ноябрь 2021;1 530;0,0000132;
декабрь 2021;1 745;0,0000147;
январь 2022;1 474;0,0000123;
февраль 2022;1 786;0,0000151;
март 2022;1 483;0,0000116;
апрель 2022;1 394;0,0000116;
май 2022;1 538;0,0000128;
июнь 2022;1 571;0,0000146;
июль 2022;1 514;0,0000145;
август 2022;1 571;0,0000145;
сентябрь 2022;1 375;0,0000117;
октябрь 2022;1 618;0,0000130;
ноябрь 2022;1 780;0,0000141;
декабрь 2022;1 858;0,0000147;
январь 2023;1 592;0,0000129;
февраль 2023;1 405;0,0000123;
март 2023;1 661;0,0000133;
апрель 2023;1 442;0,0000124;
май 2023;1 587;0,0000140;
июнь 2023;1 686;0,0000164;
июль 2023;1 682;0,0000166;
август 2023;2 129;0,0000211;
сентябрь 2023;1 707;0,0000158;
октябрь 2023;1 793;0,0000150;
ноябрь 2023;1 857;0,0000158;
декабрь 2023;1 911;0,0000160;
январь 2024;1 738;0,0000144;
февраль 2024;1 505;0,0000134;
март 2024;1 722;0,0000149;
апрель 2024;1 547;0,0000142;
май 2024;1 575;0,0000147;
июнь 2024;1 649;0,0000176;
июль 2024;1 744;0,0000187;
август 2024;1 616;0,0000172;
сентябрь 2024;1 419;0,0000142;
октябрь 2024;1 648;0,0000146;
ноябрь 2024;1 775;0,0000152;
декабрь 2024;1 858;0,0000154;
январь 2025;1 768;0,0000148;
февраль 2025;1 697;0,0000148;
март 2025;2 031;0,0000169;
апрель 2025;1 693;0,0000148;
май 2025;1 706;0,0000159;
июнь 2025;1 982;0,0000187;
