Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Средства по уходу за плиткой», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;53;0,00000068;
февраль 2018;42;0,00000054;
март 2018;37;0,00000044;
апрель 2018;43;0,00000056;
май 2018;57;0,00000075;
июнь 2018;31;0,00000044;
июль 2018;68;0,00000097;
август 2018;56;0,00000079;
сентябрь 2018;49;0,00000061;
октябрь 2018;39;0,00000042;
ноябрь 2018;49;0,00000057;
декабрь 2018;52;0,00000060;
январь 2019;24;0,00000027;
февраль 2019;31;0,00000036;
март 2019;45;0,00000051;
апрель 2019;37;0,00000044;
май 2019;59;0,00000074;
июнь 2019;38;0,00000052;
июль 2019;55;0,00000074;
август 2019;50;0,00000068;
сентябрь 2019;33;0,00000041;
октябрь 2019;55;0,00000062;
ноябрь 2019;46;0,00000051;
декабрь 2019;59;0,00000063;
январь 2020;35;0,00000035;
февраль 2020;47;0,00000051;
март 2020;44;0,00000044;
апрель 2020;32;0,00000026;
май 2020;53;0,00000049;
июнь 2020;41;0,00000045;
июль 2020;38;0,00000045;
август 2020;60;0,00000071;
сентябрь 2020;38;0,00000040;
октябрь 2020;39;0,00000036;
ноябрь 2020;47;0,00000041;
декабрь 2020;47;0,00000042;
январь 2021;28;0,00000026;
февраль 2021;33;0,00000033;
март 2021;39;0,00000035;
апрель 2021;26;0,00000024;
май 2021;37;0,00000035;
июнь 2021;39;0,00000039;
июль 2021;36;0,00000037;
август 2021;36;0,00000035;
сентябрь 2021;44;0,00000041;
октябрь 2021;41;0,00000036;
ноябрь 2021;38;0,00000032;
декабрь 2021;37;0,00000031;
январь 2022;26;0,00000021;
февраль 2022;27;0,00000022;
март 2022;43;0,00000033;
апрель 2022;54;0,00000045;
май 2022;39;0,00000032;
июнь 2022;14;0,00000013;
июль 2022;45;0,00000043;
август 2022;58;0,00000053;
сентябрь 2022;30;0,00000025;
октябрь 2022;34;0,00000027;
ноябрь 2022;14;0,00000011;
декабрь 2022;24;0,00000019;
январь 2023;42;0,00000034;
февраль 2023;44;0,00000038;
март 2023;40;0,00000032;
апрель 2023;21;0,00000018;
май 2023;27;0,00000023;
июнь 2023;46;0,00000044;
июль 2023;26;0,00000025;
август 2023;26;0,00000025;
сентябрь 2023;25;0,00000023;
октябрь 2023;36;0,00000030;
ноябрь 2023;28;0,00000023;
декабрь 2023;24;0,00000020;
январь 2024;26;0,00000021;
февраль 2024;13;0,00000011;
март 2024;35;0,00000030;
апрель 2024;34;0,00000031;
май 2024;21;0,00000019;
июнь 2024;13;0,00000013;
июль 2024;24;0,00000025;
август 2024;22;0,00000023;
сентябрь 2024;17;0,00000017;
октябрь 2024;22;0,00000019;
ноябрь 2024;27;0,00000023;
декабрь 2024;21;0,00000017;
январь 2025;16;0,00000013;
февраль 2025;20;0,00000017;
март 2025;23;0,00000019;
апрель 2025;22;0,00000019;
май 2025;18;0,00000016;
июнь 2025;27;0,00000025;
