Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Люки под плитку», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;30 957;0,00039;
февраль 2018;31 943;0,00041;
март 2018;37 004;0,00044;
апрель 2018;32 501;0,00042;
май 2018;31 264;0,00041;
июнь 2018;31 166;0,00044;
июль 2018;40 358;0,00057;
август 2018;47 285;0,00066;
сентябрь 2018;38 892;0,00049;
октябрь 2018;44 436;0,00048;
ноябрь 2018;37 218;0,00043;
декабрь 2018;32 140;0,00037;
январь 2019;36 041;0,00040;
февраль 2019;46 073;0,00054;
март 2019;43 116;0,00049;
апрель 2019;38 289;0,00046;
май 2019;32 002;0,00040;
июнь 2019;33 414;0,00046;
июль 2019;42 160;0,00057;
август 2019;39 972;0,00054;
сентябрь 2019;38 472;0,00048;
октябрь 2019;41 748;0,00047;
ноябрь 2019;37 392;0,00042;
декабрь 2019;40 911;0,00044;
январь 2020;39 233;0,00040;
февраль 2020;38 354;0,00041;
март 2020;36 142;0,00036;
апрель 2020;32 131;0,00026;
май 2020;35 531;0,00033;
июнь 2020;36 202;0,00040;
июль 2020;40 255;0,00047;
август 2020;40 121;0,00047;
сентябрь 2020;38 490;0,00040;
октябрь 2020;41 378;0,00038;
ноябрь 2020;45 736;0,00039;
декабрь 2020;42 345;0,00038;
январь 2021;42 815;0,00041;
февраль 2021;43 691;0,00043;
март 2021;49 606;0,00045;
апрель 2021;46 843;0,00043;
май 2021;41 125;0,00039;
июнь 2021;43 499;0,00043;
июль 2021;46 882;0,00048;
август 2021;50 035;0,00049;
сентябрь 2021;45 884;0,00042;
октябрь 2021;46 043;0,00040;
ноябрь 2021;50 843;0,00043;
декабрь 2021;46 753;0,00039;
январь 2022;48 243;0,00040;
февраль 2022;48 508;0,00041;
март 2022;53 940;0,00042;
апрель 2022;50 233;0,00042;
май 2022;43 075;0,00036;
июнь 2022;41 528;0,00038;
июль 2022;43 351;0,00041;
август 2022;43 316;0,00040;
сентябрь 2022;38 290;0,00032;
октябрь 2022;37 692;0,00030;
ноябрь 2022;39 531;0,00031;
декабрь 2022;36 088;0,00028;
январь 2023;36 707;0,00029;
февраль 2023;38 227;0,00033;
март 2023;43 373;0,00034;
апрель 2023;34 820;0,00030;
май 2023;34 843;0,00030;
июнь 2023;35 810;0,00034;
июль 2023;38 298;0,00037;
август 2023;37 324;0,00037;
сентябрь 2023;35 038;0,00032;
октябрь 2023;39 462;0,00033;
ноябрь 2023;39 033;0,00033;
декабрь 2023;33 877;0,00028;
январь 2024;35 119;0,00029;
февраль 2024;36 125;0,00032;
март 2024;37 939;0,00032;
апрель 2024;34 400;0,00031;
май 2024;32 791;0,00030;
июнь 2024;29 683;0,00031;
июль 2024;33 039;0,00035;
август 2024;32 260;0,00034;
сентябрь 2024;28 891;0,00029;
октябрь 2024;33 914;0,00030;
ноябрь 2024;35 204;0,00030;
декабрь 2024;31 536;0,00026;
январь 2025;32 815;0,00027;
февраль 2025;35 021;0,00030;
март 2025;34 705;0,00028;
апрель 2025;31 160;0,00027;
май 2025;29 760;0,00027;
июнь 2025;32 749;0,00031;
