Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Навесные шкафы для ванной», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;4 046;0,000052;
февраль 2018;3 547;0,000045;
март 2018;3 587;0,000042;
апрель 2018;2 843;0,000037;
май 2018;2 769;0,000036;
июнь 2018;2 969;0,000042;
июль 2018;3 700;0,000052;
август 2018;3 844;0,000054;
сентябрь 2018;3 671;0,000046;
октябрь 2018;4 195;0,000045;
ноябрь 2018;3 962;0,000046;
декабрь 2018;3 513;0,000041;
январь 2019;4 693;0,000053;
февраль 2019;4 778;0,000056;
март 2019;5 430;0,000061;
апрель 2019;5 082;0,000061;
май 2019;4 099;0,000051;
июнь 2019;4 591;0,000063;
июль 2019;5 259;0,000071;
август 2019;5 772;0,000079;
сентябрь 2019;6 155;0,000078;
октябрь 2019;8 126;0,000091;
ноябрь 2019;7 452;0,000083;
декабрь 2019;11 729;0,000126;
январь 2020;10 373;0,000106;
февраль 2020;5 006;0,000054;
март 2020;4 456;0,000045;
апрель 2020;3 591;0,000030;
май 2020;4 409;0,000041;
июнь 2020;4 364;0,000048;
июль 2020;4 727;0,000056;
август 2020;4 724;0,000056;
сентябрь 2020;5 141;0,000054;
октябрь 2020;7 483;0,000069;
ноябрь 2020;7 625;0,000066;
декабрь 2020;8 835;0,000079;
январь 2021;7 791;0,000074;
февраль 2021;7 747;0,000077;
март 2021;7 909;0,000072;
апрель 2021;5 892;0,000054;
май 2021;5 510;0,000053;
июнь 2021;6 314;0,000063;
июль 2021;7 101;0,000073;
август 2021;7 101;0,000070;
сентябрь 2021;6 766;0,000063;
октябрь 2021;6 983;0,000061;
ноябрь 2021;7 417;0,000064;
декабрь 2021;6 605;0,000055;
январь 2022;7 757;0,000065;
февраль 2022;6 231;0,000052;
март 2022;7 238;0,000056;
апрель 2022;5 993;0,000050;
май 2022;4 910;0,000041;
июнь 2022;4 830;0,000045;
июль 2022;5 352;0,000051;
август 2022;5 666;0,000052;
сентябрь 2022;5 364;0,000045;
октябрь 2022;5 064;0,000040;
ноябрь 2022;5 357;0,000042;
декабрь 2022;4 660;0,000037;
январь 2023;5 385;0,000043;
февраль 2023;4 829;0,000042;
март 2023;5 131;0,000041;
апрель 2023;3 959;0,000034;
май 2023;3 595;0,000031;
июнь 2023;4 232;0,000041;
июль 2023;4 898;0,000048;
август 2023;4 703;0,000046;
сентябрь 2023;4 979;0,000046;
октябрь 2023;6 458;0,000054;
ноябрь 2023;6 189;0,000052;
декабрь 2023;4 944;0,000041;
январь 2024;5 598;0,000046;
февраль 2024;5 433;0,000048;
март 2024;5 017;0,000043;
апрель 2024;4 080;0,000037;
май 2024;3 633;0,000034;
июнь 2024;3 487;0,000037;
июль 2024;3 892;0,000041;
август 2024;4 018;0,000042;
сентябрь 2024;3 885;0,000039;
октябрь 2024;3 939;0,000035;
ноябрь 2024;4 412;0,000037;
декабрь 2024;3 940;0,000032;
январь 2025;4 421;0,000037;
февраль 2025;3 585;0,000031;
март 2025;3 292;0,000027;
апрель 2025;2 680;0,000023;
май 2025;2 668;0,000024;
июнь 2025;2 798;0,000026;
