Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Смесители с термостатом», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;7 526;0,000096;
февраль 2018;6 660;0,000085;
март 2018;7 578;0,000090;
апрель 2018;6 118;0,000080;
май 2018;6 362;0,000084;
июнь 2018;6 095;0,000087;
июль 2018;5 997;0,000085;
август 2018;5 399;0,000076;
сентябрь 2018;4 824;0,000060;
октябрь 2018;6 932;0,000075;
ноябрь 2018;6 714;0,000079;
декабрь 2018;6 778;0,000079;
январь 2019;8 129;0,000092;
февраль 2019;8 134;0,000096;
март 2019;7 887;0,000089;
апрель 2019;5 846;0,000070;
май 2019;5 109;0,000064;
июнь 2019;5 186;0,000071;
июль 2019;5 632;0,000076;
август 2019;5 638;0,000077;
сентябрь 2019;6 042;0,000076;
октябрь 2019;6 942;0,000078;
ноябрь 2019;8 266;0,000093;
декабрь 2019;8 877;0,000095;
январь 2020;9 738;0,000100;
февраль 2020;9 571;0,000104;
март 2020;9 342;0,000095;
апрель 2020;7 034;0,000058;
май 2020;8 322;0,000077;
июнь 2020;7 895;0,000088;
июль 2020;9 516;0,000112;
август 2020;8 577;0,000102;
сентябрь 2020;8 890;0,000093;
октябрь 2020;11 421;0,000106;
ноябрь 2020;11 546;0,000100;
декабрь 2020;12 178;0,000110;
январь 2021;14 112;0,000135;
февраль 2021;12 836;0,000128;
март 2021;13 239;0,000121;
апрель 2021;9 937;0,000092;
май 2021;10 763;0,000104;
июнь 2021;9 690;0,000097;
июль 2021;10 446;0,000107;
август 2021;11 147;0,000111;
сентябрь 2021;11 215;0,000104;
октябрь 2021;10 803;0,000094;
ноябрь 2021;13 926;0,000120;
декабрь 2021;13 939;0,000117;
январь 2022;15 498;0,000129;
февраль 2022;14 289;0,000120;
март 2022;14 208;0,000111;
апрель 2022;11 100;0,000092;
май 2022;9 781;0,000081;
июнь 2022;8 943;0,000083;
июль 2022;8 948;0,000085;
август 2022;9 556;0,000088;
сентябрь 2022;8 568;0,000073;
октябрь 2022;9 160;0,000074;
ноябрь 2022;10 668;0,000084;
декабрь 2022;11 046;0,000087;
январь 2023;11 912;0,000096;
февраль 2023;11 253;0,000098;
март 2023;11 520;0,000092;
апрель 2023;9 571;0,000082;
май 2023;9 913;0,000087;
июнь 2023;10 054;0,000098;
июль 2023;9 393;0,000093;
август 2023;10 348;0,000103;
сентябрь 2023;10 384;0,000096;
октябрь 2023;13 145;0,000110;
ноябрь 2023;14 410;0,000122;
декабрь 2023;11 734;0,000098;
январь 2024;13 952;0,000115;
февраль 2024;13 059;0,000116;
март 2024;11 764;0,000102;
апрель 2024;10 555;0,000097;
май 2024;10 466;0,000098;
июнь 2024;8 741;0,000093;
июль 2024;9 331;0,000100;
август 2024;8 754;0,000093;
сентябрь 2024;8 644;0,000087;
октябрь 2024;11 393;0,000101;
ноябрь 2024;12 381;0,000106;
декабрь 2024;12 743;0,000106;
январь 2025;14 031;0,000118;
февраль 2025;13 640;0,000119;
март 2025;13 153;0,000109;
апрель 2025;11 627;0,000102;
май 2025;10 309;0,000096;
июнь 2025;10 430;0,000098;
