Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Смесители для кухни», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;100 064;0,0012;
февраль 2018;98 104;0,0012;
март 2018;108 081;0,0012;
апрель 2018;88 501;0,0011;
май 2018;89 285;0,0011;
июнь 2018;87 167;0,0012;
июль 2018;105 154;0,0015;
август 2018;108 177;0,0015;
сентябрь 2018;101 071;0,0012;
октябрь 2018;131 909;0,0014;
ноябрь 2018;116 472;0,0013;
декабрь 2018;116 324;0,0013;
январь 2019;116 527;0,0013;
февраль 2019;125 305;0,0014;
март 2019;125 657;0,0014;
апрель 2019;112 420;0,0013;
май 2019;103 008;0,0013;
июнь 2019;96 297;0,0013;
июль 2019;108 789;0,0014;
август 2019;114 617;0,0015;
сентябрь 2019;111 723;0,0014;
октябрь 2019;124 925;0,0014;
ноябрь 2019;137 132;0,0015;
декабрь 2019;158 135;0,0017;
январь 2020;162 722;0,0016;
февраль 2020;133 931;0,0014;
март 2020;133 504;0,0013;
апрель 2020;130 051;0,0010;
май 2020;150 518;0,0014;
июнь 2020;149 752;0,0016;
июль 2020;160 425;0,0019;
август 2020;156 178;0,0018;
сентябрь 2020;155 811;0,0016;
октябрь 2020;184 566;0,0017;
ноябрь 2020;198 689;0,0017;
декабрь 2020;200 229;0,0018;
январь 2021;197 713;0,0018;
февраль 2021;195 469;0,0019;
март 2021;207 670;0,0019;
апрель 2021;178 728;0,0016;
май 2021;170 675;0,0016;
июнь 2021;174 756;0,0017;
июль 2021;188 648;0,0019;
август 2021;210 793;0,0021;
сентябрь 2021;208 263;0,0019;
октябрь 2021;209 054;0,0018;
ноябрь 2021;237 722;0,0020;
декабрь 2021;232 979;0,0019;
январь 2022;241 342;0,0020;
февраль 2022;229 227;0,0019;
март 2022;316 471;0,0024;
апрель 2022;232 293;0,0019;
май 2022;198 947;0,0016;
июнь 2022;175 470;0,0016;
июль 2022;185 029;0,0017;
август 2022;191 703;0,0017;
сентябрь 2022;179 682;0,0015;
октябрь 2022;185 523;0,0015;
ноябрь 2022;201 256;0,0015;
декабрь 2022;185 242;0,0014;
январь 2023;190 601;0,0015;
февраль 2023;180 805;0,0015;
март 2023;189 816;0,0015;
апрель 2023;160 498;0,0013;
май 2023;157 372;0,0013;
июнь 2023;161 864;0,0015;
июль 2023;161 266;0,0015;
август 2023;174 421;0,0017;
сентябрь 2023;172 527;0,0016;
октябрь 2023;206 286;0,0017;
ноябрь 2023;200 403;0,0017;
декабрь 2023;176 778;0,0014;
январь 2024;193 278;0,0016;
февраль 2024;193 112;0,0017;
март 2024;191 102;0,0016;
апрель 2024;160 930;0,0014;
май 2024;156 658;0,0014;
июнь 2024;139 803;0,0014;
июль 2024;152 996;0,0016;
август 2024;154 054;0,0016;
сентябрь 2024;142 276;0,0014;
октябрь 2024;163 733;0,0014;
ноябрь 2024;178 925;0,0015;
декабрь 2024;175 678;0,0014;
январь 2025;180 498;0,0015;
февраль 2025;173 186;0,0015;
март 2025;170 557;0,0014;
апрель 2025;147 022;0,0012;
май 2025;140 560;0,0013;
июнь 2025;148 078;0,0014;
