Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Наборы смесителей», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 176;0,000028;
февраль 2018;2 010;0,000025;
март 2018;2 429;0,000028;
апрель 2018;2 094;0,000027;
май 2018;2 227;0,000029;
июнь 2018;2 297;0,000033;
июль 2018;2 632;0,000037;
август 2018;2 894;0,000040;
сентябрь 2018;2 515;0,000031;
октябрь 2018;2 915;0,000031;
ноябрь 2018;3 017;0,000035;
декабрь 2018;2 832;0,000033;
январь 2019;2 805;0,000031;
февраль 2019;3 161;0,000037;
март 2019;3 179;0,000036;
апрель 2019;2 756;0,000033;
май 2019;2 472;0,000031;
июнь 2019;2 527;0,000034;
июль 2019;2 539;0,000034;
август 2019;2 653;0,000036;
сентябрь 2019;2 609;0,000033;
октябрь 2019;2 717;0,000030;
ноябрь 2019;2 539;0,000028;
декабрь 2019;2 632;0,000028;
январь 2020;2 740;0,000028;
февраль 2020;2 838;0,000030;
март 2020;3 208;0,000032;
апрель 2020;2 735;0,000022;
май 2020;2 952;0,000027;
июнь 2020;3 158;0,000035;
июль 2020;3 451;0,000040;
август 2020;3 387;0,000040;
сентябрь 2020;3 229;0,000034;
октябрь 2020;3 517;0,000032;
ноябрь 2020;4 289;0,000037;
декабрь 2020;4 255;0,000038;
январь 2021;3 945;0,000037;
февраль 2021;4 178;0,000041;
март 2021;4 175;0,000038;
апрель 2021;3 835;0,000035;
май 2021;3 265;0,000031;
июнь 2021;3 429;0,000034;
июль 2021;3 848;0,000039;
август 2021;4 095;0,000040;
сентябрь 2021;4 241;0,000039;
октябрь 2021;3 766;0,000033;
ноябрь 2021;4 645;0,000040;
декабрь 2021;4 406;0,000037;
январь 2022;4 281;0,000035;
февраль 2022;5 236;0,000044;
март 2022;6 288;0,000049;
апрель 2022;4 254;0,000035;
май 2022;3 853;0,000032;
июнь 2022;3 781;0,000035;
июль 2022;3 650;0,000035;
август 2022;3 592;0,000033;
сентябрь 2022;3 354;0,000028;
октябрь 2022;3 510;0,000028;
ноябрь 2022;3 677;0,000029;
декабрь 2022;3 256;0,000025;
январь 2023;3 320;0,000026;
февраль 2023;3 351;0,000029;
март 2023;3 629;0,000029;
апрель 2023;3 050;0,000026;
май 2023;3 144;0,000027;
июнь 2023;3 221;0,000031;
июль 2023;3 029;0,000030;
август 2023;2 996;0,000029;
сентябрь 2023;3 039;0,000028;
октябрь 2023;3 574;0,000029;
ноябрь 2023;4 655;0,000039;
декабрь 2023;3 188;0,000026;
январь 2024;3 589;0,000029;
февраль 2024;3 599;0,000032;
март 2024;3 685;0,000031;
апрель 2024;3 474;0,000032;
май 2024;3 517;0,000033;
июнь 2024;3 090;0,000033;
июль 2024;3 098;0,000033;
август 2024;2 841;0,000030;
сентябрь 2024;2 711;0,000027;
октябрь 2024;3 176;0,000028;
ноябрь 2024;3 379;0,000029;
декабрь 2024;3 390;0,000028;
январь 2025;3 428;0,000028;
февраль 2025;3 682;0,000032;
март 2025;3 605;0,000030;
апрель 2025;3 151;0,000027;
май 2025;2 937;0,000027;
июнь 2025;2 941;0,000027;
