Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Каркасы для ванн», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;4 850;0,000062;
февраль 2018;4 530;0,000058;
март 2018;5 057;0,000060;
апрель 2018;3 993;0,000052;
май 2018;4 186;0,000055;
июнь 2018;4 956;0,000071;
июль 2018;5 523;0,000079;
август 2018;5 886;0,000083;
сентябрь 2018;5 583;0,000070;
октябрь 2018;6 162;0,000066;
ноябрь 2018;6 012;0,000070;
декабрь 2018;5 938;0,000069;
январь 2019;6 198;0,000070;
февраль 2019;5 794;0,000069;
март 2019;5 693;0,000064;
апрель 2019;4 969;0,000060;
май 2019;4 798;0,000060;
июнь 2019;5 034;0,000069;
июль 2019;6 262;0,000085;
август 2019;6 037;0,000083;
сентябрь 2019;5 722;0,000072;
октябрь 2019;6 673;0,000075;
ноябрь 2019;6 569;0,000074;
декабрь 2019;6 585;0,000070;
январь 2020;7 083;0,000072;
февраль 2020;6 700;0,000072;
март 2020;6 751;0,000068;
апрель 2020;5 944;0,000049;
май 2020;6 489;0,000060;
июнь 2020;7 626;0,000085;
июль 2020;8 443;0,000100;
август 2020;7 973;0,000095;
сентябрь 2020;7 095;0,000074;
октябрь 2020;8 322;0,000077;
ноябрь 2020;8 449;0,000073;
декабрь 2020;8 182;0,000074;
январь 2021;8 590;0,000082;
февраль 2021;7 633;0,000076;
март 2021;7 650;0,000070;
апрель 2021;7 493;0,000069;
май 2021;6 883;0,000066;
июнь 2021;7 658;0,000077;
июль 2021;8 864;0,000091;
август 2021;9 748;0,000097;
сентябрь 2021;9 019;0,000084;
октябрь 2021;9 373;0,000082;
ноябрь 2021;10 500;0,000090;
декабрь 2021;9 495;0,000080;
январь 2022;9 135;0,000076;
февраль 2022;8 843;0,000074;
март 2022;12 850;0,000100;
апрель 2022;10 048;0,000084;
май 2022;8 739;0,000073;
июнь 2022;8 387;0,000078;
июль 2022;8 974;0,000086;
август 2022;9 129;0,000084;
сентябрь 2022;8 013;0,000068;
октябрь 2022;8 572;0,000069;
ноябрь 2022;9 711;0,000076;
декабрь 2022;8 291;0,000065;
январь 2023;8 482;0,000068;
февраль 2023;8 439;0,000073;
март 2023;9 290;0,000074;
апрель 2023;7 702;0,000066;
май 2023;7 936;0,000070;
июнь 2023;7 919;0,000077;
июль 2023;9 581;0,000094;
август 2023;9 730;0,000096;
сентябрь 2023;8 673;0,000080;
октябрь 2023;10 416;0,000087;
ноябрь 2023;11 050;0,000094;
декабрь 2023;9 552;0,000080;
январь 2024;9 470;0,000078;
февраль 2024;9 233;0,000082;
март 2024;9 364;0,000081;
апрель 2024;8 015;0,000073;
май 2024;8 178;0,000076;
июнь 2024;7 833;0,000083;
июль 2024;8 792;0,000094;
август 2024;8 601;0,000091;
сентябрь 2024;8 032;0,000080;
октябрь 2024;9 380;0,000083;
ноябрь 2024;9 870;0,000084;
декабрь 2024;9 607;0,000080;
январь 2025;9 918;0,000083;
февраль 2025;9 573;0,000083;
март 2025;9 553;0,000079;
апрель 2025;8 003;0,000070;
май 2025;7 705;0,000072;
июнь 2025;8 624;0,000081;
