Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пробки для ванны», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 517;0,000032;
февраль 2018;2 432;0,000031;
март 2018;2 496;0,000029;
апрель 2018;2 127;0,000028;
май 2018;2 256;0,000030;
июнь 2018;2 195;0,000031;
июль 2018;2 225;0,000031;
август 2018;2 628;0,000037;
сентябрь 2018;2 420;0,000030;
октябрь 2018;3 674;0,000039;
ноябрь 2018;2 705;0,000031;
декабрь 2018;2 717;0,000031;
январь 2019;3 270;0,000037;
февраль 2019;2 983;0,000035;
март 2019;2 999;0,000034;
апрель 2019;2 592;0,000031;
май 2019;2 656;0,000033;
июнь 2019;2 622;0,000036;
июль 2019;2 851;0,000038;
август 2019;2 921;0,000040;
сентябрь 2019;3 007;0,000038;
октябрь 2019;3 196;0,000036;
ноябрь 2019;3 487;0,000039;
декабрь 2019;3 454;0,000037;
январь 2020;3 993;0,000041;
февраль 2020;3 355;0,000036;
март 2020;3 297;0,000033;
апрель 2020;3 566;0,000029;
май 2020;4 336;0,000040;
июнь 2020;3 754;0,000042;
июль 2020;3 486;0,000041;
август 2020;3 999;0,000047;
сентябрь 2020;4 097;0,000043;
октябрь 2020;4 183;0,000038;
ноябрь 2020;4 669;0,000040;
декабрь 2020;4 464;0,000040;
январь 2021;5 149;0,000049;
февраль 2021;4 560;0,000045;
март 2021;4 741;0,000043;
апрель 2021;4 587;0,000042;
май 2021;4 705;0,000045;
июнь 2021;4 840;0,000048;
июль 2021;4 853;0,000050;
август 2021;5 434;0,000054;
сентябрь 2021;5 582;0,000052;
октябрь 2021;5 755;0,000050;
ноябрь 2021;6 061;0,000052;
декабрь 2021;5 681;0,000047;
январь 2022;7 081;0,000059;
февраль 2022;5 861;0,000049;
март 2022;6 186;0,000048;
апрель 2022;6 184;0,000051;
май 2022;7 080;0,000059;
июнь 2022;6 115;0,000057;
июль 2022;6 116;0,000058;
август 2022;6 151;0,000057;
сентябрь 2022;6 138;0,000052;
октябрь 2022;6 587;0,000053;
ноябрь 2022;6 648;0,000052;
декабрь 2022;6 337;0,000050;
январь 2023;6 816;0,000055;
февраль 2023;6 483;0,000056;
март 2023;6 493;0,000052;
апрель 2023;6 448;0,000055;
май 2023;6 115;0,000054;
июнь 2023;6 064;0,000059;
июль 2023;6 537;0,000064;
август 2023;6 300;0,000062;
сентябрь 2023;5 929;0,000055;
октябрь 2023;6 841;0,000057;
ноябрь 2023;6 763;0,000057;
декабрь 2023;6 233;0,000052;
январь 2024;7 421;0,000061;
февраль 2024;6 446;0,000057;
март 2024;6 394;0,000055;
апрель 2024;5 998;0,000055;
май 2024;7 030;0,000066;
июнь 2024;5 875;0,000062;
июль 2024;5 787;0,000062;
август 2024;6 144;0,000065;
сентябрь 2024;6 492;0,000065;
октябрь 2024;6 796;0,000060;
ноябрь 2024;7 298;0,000062;
декабрь 2024;6 969;0,000058;
январь 2025;8 324;0,000070;
февраль 2025;6 598;0,000057;
март 2025;7 035;0,000058;
апрель 2025;6 086;0,000053;
май 2025;6 912;0,000064;
июнь 2025;6 479;0,000061;
