Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Ленты бордюрные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;11 614;0,00014;
февраль 2018;11 833;0,00015;
март 2018;15 182;0,00018;
апрель 2018;26 300;0,00034;
май 2018;34 210;0,00045;
июнь 2018;22 190;0,00031;
июль 2018;18 337;0,00026;
август 2018;18 905;0,00026;
сентябрь 2018;18 118;0,00022;
октябрь 2018;18 104;0,00019;
ноябрь 2018;12 776;0,00015;
декабрь 2018;11 406;0,00013;
январь 2019;13 939;0,00015;
февраль 2019;14 702;0,00017;
март 2019;19 375;0,00022;
апрель 2019;31 070;0,00037;
май 2019;39 288;0,00049;
июнь 2019;24 941;0,00034;
июль 2019;22 926;0,00031;
август 2019;22 417;0,00030;
сентябрь 2019;19 446;0,00024;
октябрь 2019;18 074;0,00020;
ноябрь 2019;16 944;0,00019;
декабрь 2019;14 210;0,00015;
январь 2020;16 661;0,00017;
февраль 2020;17 976;0,00019;
март 2020;23 764;0,00024;
апрель 2020;42 783;0,00035;
май 2020;69 645;0,00064;
июнь 2020;43 628;0,00048;
июль 2020;33 719;0,00040;
август 2020;32 432;0,00038;
сентябрь 2020;28 714;0,00030;
октябрь 2020;27 309;0,00025;
ноябрь 2020;22 410;0,00019;
декабрь 2020;18 425;0,00016;
январь 2021;20 064;0,00019;
февраль 2021;20 743;0,00020;
март 2021;25 955;0,00023;
апрель 2021;48 958;0,00045;
май 2021;68 423;0,00066;
июнь 2021;45 701;0,00046;
июль 2021;35 941;0,00037;
август 2021;38 332;0,00038;
сентябрь 2021;32 077;0,00029;
октябрь 2021;30 030;0,00026;
ноябрь 2021;27 403;0,00023;
декабрь 2021;22 022;0,00018;
январь 2022;24 726;0,00020;
февраль 2022;25 494;0,00021;
март 2022;29 684;0,00023;
апрель 2022;53 147;0,00044;
май 2022;84 833;0,00071;
июнь 2022;51 526;0,00048;
июль 2022;40 565;0,00038;
август 2022;38 500;0,00035;
сентябрь 2022;30 918;0,00026;
октябрь 2022;29 853;0,00024;
ноябрь 2022;25 592;0,00020;
декабрь 2022;22 829;0,00018;
январь 2023;25 133;0,00020;
февраль 2023;25 779;0,00022;
март 2023;34 428;0,00027;
апрель 2023;57 896;0,00050;
май 2023;72 902;0,00064;
июнь 2023;48 481;0,00047;
июль 2023;43 387;0,00043;
август 2023;41 997;0,00041;
сентябрь 2023;40 906;0,00038;
октябрь 2023;36 650;0,00030;
ноябрь 2023;33 946;0,00028;
декабрь 2023;28 460;0,00023;
январь 2024;31 791;0,00026;
февраль 2024;32 249;0,00028;
март 2024;36 907;0,00032;
апрель 2024;65 458;0,00060;
май 2024;82 921;0,00077;
июнь 2024;62 347;0,00066;
июль 2024;49 018;0,00052;
август 2024;48 601;0,00051;
сентябрь 2024;43 603;0,00043;
октябрь 2024;40 741;0,00036;
ноябрь 2024;34 697;0,00029;
декабрь 2024;32 360;0,00026;
январь 2025;36 110;0,00030;
февраль 2025;33 931;0,00029;
март 2025;39 926;0,00033;
апрель 2025;57 038;0,00050;
май 2025;79 110;0,00074;
июнь 2025;61 274;0,00058;
