Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Унитазы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 204 056;0,015;
февраль 2018;1 177 001;0,015;
март 2018;1 290 877;0,015;
апрель 2018;1 108 463;0,014;
май 2018;1 118 030;0,014;
июнь 2018;1 165 159;0,016;
июль 2018;1 329 376;0,019;
август 2018;1 364 477;0,019;
сентябрь 2018;1 294 862;0,016;
октябрь 2018;1 617 222;0,017;
ноябрь 2018;1 445 032;0,017;
декабрь 2018;1 412 398;0,016;
январь 2019;1 501 076;0,017;
февраль 2019;1 487 756;0,017;
март 2019;1 540 691;0,017;
апрель 2019;1 304 657;0,015;
май 2019;1 266 209;0,016;
июнь 2019;1 267 793;0,017;
июль 2019;1 434 451;0,019;
август 2019;1 418 764;0,019;
сентябрь 2019;1 389 051;0,017;
октябрь 2019;1 551 209;0,017;
ноябрь 2019;1 639 979;0,018;
декабрь 2019;1 748 131;0,018;
январь 2020;1 849 883;0,019;
февраль 2020;1 595 478;0,017;
март 2020;1 609 136;0,016;
апрель 2020;1 517 091;0,012;
май 2020;1 661 751;0,015;
июнь 2020;1 661 206;0,018;
июль 2020;1 754 257;0,020;
август 2020;1 737 280;0,020;
сентябрь 2020;1 659 223;0,017;
октябрь 2020;1 894 694;0,017;
ноябрь 2020;2 035 028;0,017;
декабрь 2020;1 961 080;0,017;
январь 2021;2 055 026;0,019;
февраль 2021;1 937 435;0,019;
март 2021;2 056 810;0,018;
апрель 2021;1 909 081;0,017;
май 2021;1 803 375;0,017;
июнь 2021;1 861 211;0,018;
июль 2021;2 061 922;0,021;
август 2021;2 228 635;0,022;
сентябрь 2021;2 095 658;0,019;
октябрь 2021;2 078 827;0,018;
ноябрь 2021;2 241 699;0,019;
декабрь 2021;2 183 811;0,018;
январь 2022;2 356 766;0,019;
февраль 2022;2 136 418;0,018;
март 2022;2 600 044;0,020;
апрель 2022;2 229 431;0,018;
май 2022;2 139 030;0,017;
июнь 2022;1 986 760;0,018;
июль 2022;2 089 709;0,020;
август 2022;2 138 164;0,019;
сентябрь 2022;1 969 578;0,016;
октябрь 2022;2 105 966;0,017;
ноябрь 2022;2 241 801;0,017;
декабрь 2022;2 049 781;0,016;
январь 2023;2 212 898;0,017;
февраль 2023;2 064 999;0,018;
март 2023;2 197 039;0,017;
апрель 2023;1 926 794;0,016;
май 2023;1 998 053;0,017;
июнь 2023;2 070 961;0,020;
июль 2023;2 156 240;0,021;
август 2023;2 243 857;0,022;
сентябрь 2023;2 132 591;0,019;
октябрь 2023;2 530 239;0,021;
ноябрь 2023;2 433 292;0,020;
декабрь 2023;2 155 449;0,018;
январь 2024;2 372 324;0,019;
февраль 2024;2 184 458;0,019;
март 2024;2 150 329;0,018;
апрель 2024;1 991 559;0,018;
май 2024;2 022 041;0,018;
июнь 2024;1 877 335;0,020;
июль 2024;2 011 919;0,021;
август 2024;2 003 865;0,021;
сентябрь 2024;1 867 125;0,018;
октябрь 2024;2 121 748;0,018;
ноябрь 2024;2 242 608;0,019;
декабрь 2024;2 189 119;0,018;
январь 2025;2 312 128;0,019;
февраль 2025;2 153 431;0,018;
март 2025;2 152 275;0,017;
апрель 2025;1 953 153;0,017;
май 2025;1 923 837;0,018;
июнь 2025;2 104 260;0,019;
