Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Крепления для сантехники», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;51;0,00000065;
февраль 2018;84;0,00000108;
март 2018;90;0,00000107;
апрель 2018;48;0,00000063;
май 2018;64;0,00000085;
июнь 2018;71;0,00000102;
июль 2018;78;0,00000111;
август 2018;51;0,00000072;
сентябрь 2018;96;0,00000121;
октябрь 2018;79;0,00000085;
ноябрь 2018;64;0,00000075;
декабрь 2018;81;0,00000094;
январь 2019;80;0,00000090;
февраль 2019;61;0,00000072;
март 2019;84;0,00000095;
апрель 2019;81;0,00000098;
май 2019;83;0,00000104;
июнь 2019;71;0,00000097;
июль 2019;89;0,00000121;
август 2019;72;0,00000099;
сентябрь 2019;95;0,00000120;
октябрь 2019;74;0,00000083;
ноябрь 2019;70;0,00000078;
декабрь 2019;110;0,00000118;
январь 2020;101;0,00000103;
февраль 2020;87;0,00000094;
март 2020;87;0,00000088;
апрель 2020;102;0,00000085;
май 2020;89;0,00000082;
июнь 2020;110;0,00000123;
июль 2020;108;0,00000128;
август 2020;116;0,00000138;
сентябрь 2020;122;0,00000128;
октябрь 2020;118;0,00000109;
ноябрь 2020;114;0,00000099;
декабрь 2020;101;0,00000091;
январь 2021;123;0,00000117;
февраль 2021;111;0,00000111;
март 2021;135;0,00000124;
апрель 2021;119;0,00000110;
май 2021;107;0,00000103;
июнь 2021;107;0,00000107;
июль 2021;109;0,00000112;
август 2021;119;0,00000118;
сентябрь 2021;136;0,00000126;
октябрь 2021;103;0,00000090;
ноябрь 2021;114;0,00000098;
декабрь 2021;122;0,00000102;
январь 2022;136;0,00000114;
февраль 2022;102;0,00000086;
март 2022;120;0,00000094;
апрель 2022;168;0,00000140;
май 2022;146;0,00000122;
июнь 2022;131;0,00000122;
июль 2022;78;0,00000074;
август 2022;116;0,00000107;
сентябрь 2022;154;0,00000131;
октябрь 2022;115;0,00000092;
ноябрь 2022;111;0,00000087;
декабрь 2022;121;0,00000096;
январь 2023;120;0,00000097;
февраль 2023;148;0,00000129;
март 2023;133;0,00000106;
апрель 2023;134;0,00000116;
май 2023;105;0,00000092;
июнь 2023;107;0,00000104;
июль 2023;142;0,00000140;
август 2023;132;0,00000131;
сентябрь 2023;108;0,00000100;
октябрь 2023;129;0,00000108;
ноябрь 2023;115;0,00000097;
декабрь 2023;119;0,00000099;
январь 2024;109;0,00000090;
февраль 2024;132;0,00000117;
март 2024;120;0,00000104;
апрель 2024;120;0,00000110;
май 2024;127;0,00000119;
июнь 2024;156;0,00000167;
июль 2024;111;0,00000119;
август 2024;133;0,00000142;
сентябрь 2024;110;0,00000110;
октябрь 2024;125;0,00000111;
ноябрь 2024;115;0,00000098;
декабрь 2024;140;0,00000116;
январь 2025;159;0,00000133;
февраль 2025;123;0,00000107;
март 2025;122;0,00000101;
апрель 2025;125;0,00000109;
май 2025;130;0,00000121;
июнь 2025;116;0,00000109;
