Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Душевые кабины», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;565 036;0,0072;
февраль 2018;538 314;0,0069;
март 2018;590 185;0,0070;
апрель 2018;526 952;0,0069;
май 2018;625 939;0,0083;
июнь 2018;670 266;0,0096;
июль 2018;774 783;0,0110;
август 2018;719 368;0,0101;
сентябрь 2018;635 251;0,0080;
октябрь 2018;708 731;0,0076;
ноябрь 2018;631 772;0,0074;
декабрь 2018;522 647;0,0061;
январь 2019;615 441;0,0069;
февраль 2019;660 282;0,0078;
март 2019;667 481;0,0076;
апрель 2019;594 257;0,0071;
май 2019;636 200;0,0080;
июнь 2019;679 800;0,0093;
июль 2019;710 549;0,0096;
август 2019;651 533;0,0089;
сентябрь 2019;616 390;0,0078;
октябрь 2019;670 337;0,0075;
ноябрь 2019;697 700;0,0078;
декабрь 2019;784 082;0,0084;
январь 2020;863 177;0,0088;
февраль 2020;626 697;0,0068;
март 2020;618 713;0,0062;
апрель 2020;626 247;0,0052;
май 2020;822 124;0,0076;
июнь 2020;906 221;0,0101;
июль 2020;891 307;0,0105;
август 2020;832 675;0,0099;
сентябрь 2020;745 361;0,0078;
октябрь 2020;824 021;0,0076;
ноябрь 2020;835 473;0,0072;
декабрь 2020;706 503;0,0063;
январь 2021;766 245;0,0073;
февраль 2021;691 974;0,0069;
март 2021;764 008;0,0070;
апрель 2021;750 180;0,0069;
май 2021;817 271;0,0079;
июнь 2021;856 827;0,0086;
июль 2021;918 273;0,0094;
август 2021;961 132;0,0095;
сентябрь 2021;815 915;0,0076;
октябрь 2021;771 865;0,0067;
ноябрь 2021;806 611;0,0069;
декабрь 2021;711 696;0,0060;
январь 2022;773 038;0,0064;
февраль 2022;695 595;0,0058;
март 2022;824 368;0,0064;
апрель 2022;698 931;0,0058;
май 2022;753 511;0,0063;
июнь 2022;756 735;0,0070;
июль 2022;803 705;0,0077;
август 2022;786 468;0,0072;
сентябрь 2022;644 620;0,0055;
октябрь 2022;654 456;0,0052;
ноябрь 2022;680 713;0,0053;
декабрь 2022;569 669;0,0045;
январь 2023;651 200;0,0052;
февраль 2023;599 106;0,0052;
март 2023;643 182;0,0051;
апрель 2023;603 548;0,0052;
май 2023;674 626;0,0059;
июнь 2023;720 228;0,0070;
июль 2023;788 132;0,0078;
август 2023;762 755;0,0075;
сентябрь 2023;675 539;0,0062;
октябрь 2023;740 461;0,0062;
ноябрь 2023;737 078;0,0062;
декабрь 2023;600 127;0,0050;
январь 2024;646 597;0,0053;
февраль 2024;614 038;0,0054;
март 2024;615 192;0,0053;
апрель 2024;589 375;0,0054;
май 2024;662 927;0,0062;
июнь 2024;695 034;0,0074;
июль 2024;748 007;0,0080;
август 2024;674 752;0,0072;
сентябрь 2024;598 397;0,0060;
октябрь 2024;648 031;0,0057;
ноябрь 2024;656 857;0,0056;
декабрь 2024;592 143;0,0049;
январь 2025;657 631;0,0055;
февраль 2025;601 640;0,0052;
март 2025;596 751;0,0049;
апрель 2025;566 206;0,0049;
май 2025;604 669;0,0056;
июнь 2025;736 662;0,0069;
