Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Душевые поддоны», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;125 706;0,0016;
февраль 2018;116 136;0,0014;
март 2018;130 564;0,0015;
апрель 2018;114 263;0,0015;
май 2018;134 002;0,0017;
июнь 2018;141 574;0,0020;
июль 2018;167 737;0,0023;
август 2018;160 645;0,0022;
сентябрь 2018;138 586;0,0017;
октябрь 2018;164 571;0,0017;
ноябрь 2018;145 187;0,0017;
декабрь 2018;121 317;0,0014;
январь 2019;147 074;0,0016;
февраль 2019;159 583;0,0019;
март 2019;183 079;0,0020;
апрель 2019;163 814;0,0019;
май 2019;164 777;0,0020;
июнь 2019;169 727;0,0023;
июль 2019;176 830;0,0024;
август 2019;163 159;0,0022;
сентябрь 2019;153 746;0,0019;
октябрь 2019;172 207;0,0019;
ноябрь 2019;177 777;0,0020;
декабрь 2019;215 511;0,0023;
январь 2020;229 790;0,0023;
февраль 2020;163 253;0,0017;
март 2020;165 226;0,0016;
апрель 2020;157 649;0,0013;
май 2020;203 332;0,0018;
июнь 2020;225 533;0,0025;
июль 2020;235 967;0,0028;
август 2020;219 816;0,0026;
сентябрь 2020;205 247;0,0021;
октябрь 2020;222 934;0,0020;
ноябрь 2020;233 466;0,0020;
декабрь 2020;196 609;0,0017;
январь 2021;218 207;0,0020;
февраль 2021;208 665;0,0020;
март 2021;227 474;0,0020;
апрель 2021;221 280;0,0020;
май 2021;227 857;0,0022;
июнь 2021;244 915;0,0024;
июль 2021;267 270;0,0027;
август 2021;278 757;0,0027;
сентябрь 2021;245 431;0,0022;
октябрь 2021;227 079;0,0019;
ноябрь 2021;239 426;0,0020;
декабрь 2021;205 942;0,0017;
январь 2022;234 257;0,0019;
февраль 2022;213 873;0,0018;
март 2022;239 174;0,0018;
апрель 2022;210 188;0,0017;
май 2022;222 469;0,0018;
июнь 2022;228 442;0,0021;
июль 2022;245 945;0,0023;
август 2022;238 342;0,0022;
сентябрь 2022;196 122;0,0016;
октябрь 2022;198 087;0,0016;
ноябрь 2022;215 183;0,0017;
декабрь 2022;171 212;0,0013;
январь 2023;199 433;0,0016;
февраль 2023;194 117;0,0017;
март 2023;216 325;0,0017;
апрель 2023;197 340;0,0017;
май 2023;218 069;0,0019;
июнь 2023;234 722;0,0022;
июль 2023;258 938;0,0025;
август 2023;256 102;0,0025;
сентябрь 2023;228 578;0,0021;
октябрь 2023;256 899;0,0021;
ноябрь 2023;256 273;0,0021;
декабрь 2023;200 930;0,0016;
январь 2024;219 514;0,0018;
февраль 2024;218 845;0,0019;
март 2024;225 036;0,0019;
апрель 2024;212 842;0,0019;
май 2024;235 764;0,0022;
июнь 2024;243 056;0,0026;
июль 2024;266 039;0,0028;
август 2024;247 489;0,0026;
сентябрь 2024;220 152;0,0022;
октябрь 2024;235 620;0,0020;
ноябрь 2024;239 969;0,0020;
декабрь 2024;212 013;0,0017;
январь 2025;243 770;0,0020;
февраль 2025;228 759;0,0020;
март 2025;226 433;0,0018;
апрель 2025;214 962;0,0018;
май 2025;222 692;0,0020;
июнь 2025;265 306;0,0025;
