Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Двери душевые», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;31 395;0,00040;
февраль 2018;30 241;0,00039;
март 2018;34 359;0,00040;
апрель 2018;27 842;0,00036;
май 2018;31 023;0,00041;
июнь 2018;33 539;0,00048;
июль 2018;44 729;0,00063;
август 2018;45 917;0,00065;
сентябрь 2018;39 780;0,00050;
октябрь 2018;47 066;0,00051;
ноябрь 2018;48 246;0,00056;
декабрь 2018;32 459;0,00037;
январь 2019;37 680;0,00042;
февраль 2019;41 249;0,00049;
март 2019;50 765;0,00057;
апрель 2019;47 989;0,00058;
май 2019;39 820;0,00050;
июнь 2019;41 294;0,00056;
июль 2019;51 080;0,00069;
август 2019;44 818;0,00061;
сентябрь 2019;43 537;0,00055;
октябрь 2019;47 359;0,00053;
ноябрь 2019;47 860;0,00053;
декабрь 2019;76 151;0,00082;
январь 2020;77 617;0,00079;
февраль 2020;39 548;0,00043;
март 2020;40 489;0,00041;
апрель 2020;37 077;0,00031;
май 2020;42 157;0,00039;
июнь 2020;45 753;0,00051;
июль 2020;46 295;0,00054;
август 2020;44 685;0,00053;
сентябрь 2020;44 889;0,00047;
октябрь 2020;48 376;0,00044;
ноябрь 2020;53 284;0,00046;
декабрь 2020;45 874;0,00041;
январь 2021;47 505;0,00045;
февраль 2021;47 117;0,00047;
март 2021;50 212;0,00046;
апрель 2021;45 440;0,00042;
май 2021;45 290;0,00043;
июнь 2021;44 541;0,00044;
июль 2021;49 265;0,00050;
август 2021;53 113;0,00052;
сентябрь 2021;48 761;0,00045;
октябрь 2021;48 526;0,00042;
ноябрь 2021;53 979;0,00046;
декабрь 2021;47 191;0,00039;
январь 2022;50 713;0,00042;
февраль 2022;48 258;0,00040;
март 2022;57 628;0,00045;
апрель 2022;47 031;0,00039;
май 2022;45 053;0,00037;
июнь 2022;41 981;0,00039;
июль 2022;47 773;0,00045;
август 2022;48 701;0,00045;
сентябрь 2022;41 801;0,00035;
октябрь 2022;44 273;0,00035;
ноябрь 2022;49 112;0,00038;
декабрь 2022;42 287;0,00033;
январь 2023;44 528;0,00036;
февраль 2023;42 437;0,00037;
март 2023;45 441;0,00036;
апрель 2023;41 004;0,00035;
май 2023;41 457;0,00036;
июнь 2023;43 927;0,00042;
июль 2023;48 939;0,00048;
август 2023;48 974;0,00048;
сентябрь 2023;47 221;0,00043;
октябрь 2023;51 757;0,00043;
ноябрь 2023;53 434;0,00045;
декабрь 2023;44 925;0,00037;
январь 2024;49 267;0,00040;
февраль 2024;52 120;0,00046;
март 2024;52 854;0,00045;
апрель 2024;46 702;0,00043;
май 2024;47 648;0,00044;
июнь 2024;45 419;0,00048;
июль 2024;52 637;0,00056;
август 2024;50 686;0,00054;
сентябрь 2024;46 411;0,00046;
октябрь 2024;50 031;0,00044;
ноябрь 2024;54 565;0,00046;
декабрь 2024;49 176;0,00040;
январь 2025;53 501;0,00045;
февраль 2025;51 281;0,00044;
март 2025;49 329;0,00041;
апрель 2025;47 066;0,00041;
май 2025;45 476;0,00042;
июнь 2025;55 879;0,00052;
