Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Карнизы для душевых поддонов», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;124;0,0000015;
февраль 2018;144;0,0000018;
март 2018;158;0,0000018;
апрель 2018;123;0,0000016;
май 2018;148;0,0000019;
июнь 2018;165;0,0000023;
июль 2018;228;0,0000032;
август 2018;229;0,0000032;
сентябрь 2018;159;0,0000020;
октябрь 2018;209;0,0000022;
ноябрь 2018;197;0,0000023;
декабрь 2018;182;0,0000021;
январь 2019;156;0,0000017;
февраль 2019;154;0,0000018;
март 2019;330;0,0000037;
апрель 2019;182;0,0000022;
май 2019;214;0,0000027;
июнь 2019;192;0,0000026;
июль 2019;227;0,0000030;
август 2019;165;0,0000022;
сентябрь 2019;269;0,0000034;
октябрь 2019;167;0,0000018;
ноябрь 2019;171;0,0000019;
декабрь 2019;301;0,0000032;
январь 2020;206;0,0000021;
февраль 2020;170;0,0000018;
март 2020;137;0,0000013;
апрель 2020;167;0,0000013;
май 2020;178;0,0000016;
июнь 2020;244;0,0000027;
июль 2020;226;0,0000026;
август 2020;136;0,0000016;
сентябрь 2020;165;0,0000017;
октябрь 2020;152;0,0000014;
ноябрь 2020;211;0,0000018;
декабрь 2020;163;0,0000014;
январь 2021;209;0,0000020;
февраль 2021;160;0,0000016;
март 2021;142;0,0000013;
апрель 2021;199;0,0000018;
май 2021;278;0,0000026;
июнь 2021;253;0,0000025;
июль 2021;302;0,0000031;
август 2021;307;0,0000030;
сентябрь 2021;259;0,0000024;
октябрь 2021;217;0,0000019;
ноябрь 2021;248;0,0000021;
декабрь 2021;237;0,0000020;
январь 2022;162;0,0000013;
февраль 2022;336;0,0000028;
март 2022;306;0,0000024;
апрель 2022;271;0,0000022;
май 2022;247;0,0000020;
июнь 2022;332;0,0000030;
июль 2022;345;0,0000033;
август 2022;331;0,0000030;
сентябрь 2022;223;0,0000019;
октябрь 2022;189;0,0000015;
ноябрь 2022;239;0,0000018;
декабрь 2022;181;0,0000014;
январь 2023;188;0,0000015;
февраль 2023;217;0,0000019;
март 2023;180;0,0000014;
апрель 2023;210;0,0000018;
май 2023;227;0,0000020;
июнь 2023;223;0,0000021;
июль 2023;249;0,0000024;
август 2023;248;0,0000024;
сентябрь 2023;197;0,0000018;
октябрь 2023;210;0,0000017;
ноябрь 2023;191;0,0000016;
декабрь 2023;177;0,0000014;
январь 2024;184;0,0000015;
февраль 2024;218;0,0000019;
март 2024;204;0,0000017;
апрель 2024;187;0,0000017;
май 2024;201;0,0000018;
июнь 2024;303;0,0000032;
июль 2024;347;0,0000037;
август 2024;233;0,0000024;
сентябрь 2024;223;0,0000022;
октябрь 2024;217;0,0000019;
ноябрь 2024;188;0,0000016;
декабрь 2024;182;0,0000015;
январь 2025;172;0,0000014;
февраль 2025;212;0,0000018;
март 2025;175;0,0000014;
апрель 2025;177;0,0000015;
май 2025;200;0,0000018;
июнь 2025;220;0,0000020;
