Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Гарнитуры душевые», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;6 073;0,000078;
февраль 2018;6 625;0,000085;
март 2018;6 995;0,000083;
апрель 2018;6 051;0,000079;
май 2018;5 978;0,000079;
июнь 2018;6 458;0,000093;
июль 2018;7 115;0,000101;
август 2018;7 671;0,000108;
сентябрь 2018;6 895;0,000087;
октябрь 2018;8 311;0,000090;
ноябрь 2018;7 442;0,000087;
декабрь 2018;6 642;0,000077;
январь 2019;6 661;0,000075;
февраль 2019;7 194;0,000085;
март 2019;8 792;0,000100;
апрель 2019;7 762;0,000093;
май 2019;6 317;0,000079;
июнь 2019;6 349;0,000087;
июль 2019;6 726;0,000091;
август 2019;6 522;0,000089;
сентябрь 2019;6 161;0,000078;
октябрь 2019;6 712;0,000075;
ноябрь 2019;6 509;0,000073;
декабрь 2019;6 576;0,000070;
январь 2020;6 646;0,000068;
февраль 2020;7 840;0,000085;
март 2020;8 383;0,000085;
апрель 2020;6 861;0,000057;
май 2020;7 435;0,000069;
июнь 2020;7 811;0,000087;
июль 2020;8 606;0,000102;
август 2020;8 422;0,000100;
сентябрь 2020;7 654;0,000080;
октябрь 2020;8 873;0,000082;
ноябрь 2020;9 583;0,000083;
декабрь 2020;9 611;0,000086;
январь 2021;9 004;0,000086;
февраль 2021;10 304;0,000103;
март 2021;10 360;0,000095;
апрель 2021;8 733;0,000081;
май 2021;8 436;0,000081;
июнь 2021;8 520;0,000085;
июль 2021;10 606;0,000109;
август 2021;10 695;0,000106;
сентябрь 2021;10 058;0,000093;
октябрь 2021;10 130;0,000089;
ноябрь 2021;11 263;0,000097;
декабрь 2021;10 038;0,000084;
январь 2022;10 612;0,000089;
февраль 2022;10 695;0,000090;
март 2022;15 646;0,000122;
апрель 2022;10 928;0,000091;
май 2022;9 263;0,000077;
июнь 2022;8 629;0,000080;
июль 2022;8 920;0,000085;
август 2022;9 004;0,000083;
сентябрь 2022;8 261;0,000070;
октябрь 2022;8 116;0,000065;
ноябрь 2022;9 094;0,000072;
декабрь 2022;7 911;0,000062;
январь 2023;7 847;0,000063;
февраль 2023;8 128;0,000071;
март 2023;8 373;0,000067;
апрель 2023;7 714;0,000066;
май 2023;8 311;0,000073;
июнь 2023;8 797;0,000085;
июль 2023;7 880;0,000078;
август 2023;8 642;0,000086;
сентябрь 2023;8 197;0,000076;
октябрь 2023;11 349;0,000095;
ноябрь 2023;9 698;0,000082;
декабрь 2023;7 416;0,000062;
январь 2024;7 396;0,000061;
февраль 2024;8 376;0,000074;
март 2024;8 045;0,000069;
апрель 2024;7 958;0,000073;
май 2024;7 808;0,000073;
июнь 2024;6 463;0,000069;
июль 2024;7 044;0,000075;
август 2024;6 326;0,000067;
сентябрь 2024;5 415;0,000054;
октябрь 2024;6 534;0,000058;
ноябрь 2024;7 219;0,000062;
декабрь 2024;6 594;0,000054;
январь 2025;6 572;0,000055;
февраль 2025;6 756;0,000059;
март 2025;6 275;0,000052;
апрель 2025;5 449;0,000047;
май 2025;5 062;0,000047;
июнь 2025;5 633;0,000053;
