Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Душевые системы скрытого монтажа», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;450;0,0000057;
февраль 2018;547;0,0000070;
март 2018;754;0,0000089;
апрель 2018;505;0,0000066;
май 2018;438;0,0000058;
июнь 2018;581;0,0000083;
июль 2018;529;0,0000075;
август 2018;621;0,0000087;
сентябрь 2018;559;0,0000070;
октябрь 2018;814;0,0000088;
ноябрь 2018;578;0,0000068;
декабрь 2018;595;0,0000069;
январь 2019;671;0,0000076;
февраль 2019;659;0,0000078;
март 2019;906;0,0000103;
апрель 2019;809;0,0000097;
май 2019;1 052;0,0000133;
июнь 2019;849;0,0000117;
июль 2019;815;0,0000110;
август 2019;680;0,0000093;
сентябрь 2019;595;0,0000075;
октябрь 2019;911;0,0000102;
ноябрь 2019;808;0,0000091;
декабрь 2019;1 169;0,0000126;
январь 2020;1 277;0,0000131;
февраль 2020;987;0,0000107;
март 2020;1 072;0,0000109;
апрель 2020;1 073;0,0000089;
май 2020;1 190;0,0000110;
июнь 2020;1 284;0,0000143;
июль 2020;1 338;0,0000158;
август 2020;1 349;0,0000160;
сентябрь 2020;1 244;0,0000131;
октябрь 2020;1 583;0,0000147;
ноябрь 2020;1 788;0,0000155;
декабрь 2020;1 335;0,0000120;
январь 2021;1 749;0,0000167;
февраль 2021;1 924;0,0000192;
март 2021;1 912;0,0000175;
апрель 2021;1 761;0,0000163;
май 2021;1 703;0,0000165;
июнь 2021;1 578;0,0000159;
июль 2021;1 811;0,0000186;
август 2021;2 288;0,0000228;
сентябрь 2021;2 099;0,0000195;
октябрь 2021;2 317;0,0000203;
ноябрь 2021;2 235;0,0000192;
декабрь 2021;1 867;0,0000157;
январь 2022;2 514;0,0000210;
февраль 2022;2 533;0,0000214;
март 2022;2 685;0,0000210;
апрель 2022;2 030;0,0000169;
май 2022;1 669;0,0000139;
июнь 2022;1 665;0,0000155;
июль 2022;1 763;0,0000169;
август 2022;1 885;0,0000174;
сентябрь 2022;1 669;0,0000142;
октябрь 2022;1 613;0,0000130;
ноябрь 2022;1 853;0,0000146;
декабрь 2022;1 571;0,0000124;
январь 2023;2 085;0,0000169;
февраль 2023;1 788;0,0000156;
март 2023;2 400;0,0000192;
апрель 2023;2 156;0,0000186;
май 2023;2 096;0,0000185;
июнь 2023;2 123;0,0000207;
июль 2023;2 218;0,0000219;
август 2023;2 293;0,0000228;
сентябрь 2023;2 101;0,0000195;
октябрь 2023;2 602;0,0000218;
ноябрь 2023;2 763;0,0000235;
декабрь 2023;2 205;0,0000184;
январь 2024;2 577;0,0000213;
февраль 2024;3 039;0,0000270;
март 2024;3 296;0,0000285;
апрель 2024;2 676;0,0000246;
май 2024;2 746;0,0000257;
июнь 2024;2 536;0,0000271;
июль 2024;2 650;0,0000284;
август 2024;2 664;0,0000284;
сентябрь 2024;2 687;0,0000270;
октябрь 2024;2 866;0,0000255;
ноябрь 2024;3 109;0,0000267;
декабрь 2024;2 664;0,0000222;
январь 2025;3 175;0,0000267;
февраль 2025;3 213;0,0000281;
март 2025;3 188;0,0000265;
апрель 2025;3 100;0,0000272;
май 2025;2 521;0,0000236;
июнь 2025;2 950;0,0000279;
