Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Гигиенический душ», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;43 784;0,00056;
февраль 2018;46 126;0,00059;
март 2018;52 833;0,00062;
апрель 2018;42 744;0,00056;
май 2018;42 194;0,00056;
июнь 2018;46 210;0,00066;
июль 2018;49 680;0,00071;
август 2018;50 227;0,00071;
сентябрь 2018;46 704;0,00058;
октябрь 2018;56 090;0,00060;
ноябрь 2018;54 923;0,00064;
декабрь 2018;49 704;0,00058;
январь 2019;57 295;0,00065;
февраль 2019;60 989;0,00072;
март 2019;68 159;0,00077;
апрель 2019;56 352;0,00068;
май 2019;53 096;0,00067;
июнь 2019;54 180;0,00074;
июль 2019;60 725;0,00082;
август 2019;60 722;0,00083;
сентябрь 2019;53 908;0,00068;
октябрь 2019;60 907;0,00068;
ноябрь 2019;63 459;0,00071;
декабрь 2019;63 376;0,00068;
январь 2020;73 069;0,00075;
февраль 2020;73 395;0,00079;
март 2020;77 775;0,00079;
апрель 2020;66 058;0,00055;
май 2020;71 964;0,00067;
июнь 2020;76 920;0,00086;
июль 2020;80 902;0,00096;
август 2020;77 999;0,00093;
сентябрь 2020;74 115;0,00078;
октябрь 2020;88 465;0,00082;
ноябрь 2020;102 424;0,00089;
декабрь 2020;94 995;0,00085;
январь 2021;97 822;0,00093;
февраль 2021;100 412;0,00100;
март 2021;109 839;0,00100;
апрель 2021;96 447;0,00089;
май 2021;93 847;0,00090;
июнь 2021;101 855;0,00102;
июль 2021;109 000;0,00112;
август 2021;114 067;0,00113;
сентябрь 2021;101 529;0,00094;
октябрь 2021;102 805;0,00090;
ноябрь 2021;116 683;0,00100;
декабрь 2021;107 012;0,00090;
январь 2022;115 401;0,00096;
февраль 2022;114 286;0,00096;
март 2022;137 618;0,00107;
апрель 2022;109 312;0,00091;
май 2022;97 925;0,00082;
июнь 2022;91 301;0,00085;
июль 2022;91 960;0,00088;
август 2022;93 810;0,00087;
сентябрь 2022;84 529;0,00072;
октябрь 2022;88 645;0,00071;
ноябрь 2022;98 829;0,00078;
декабрь 2022;87 055;0,00069;
январь 2023;95 264;0,00077;
февраль 2023;93 371;0,00081;
март 2023;103 751;0,00083;
апрель 2023;90 837;0,00078;
май 2023;91 222;0,00080;
июнь 2023;97 381;0,00094;
июль 2023;98 643;0,00097;
август 2023;101 475;0,00101;
сентябрь 2023;100 112;0,00093;
октябрь 2023;124 229;0,00104;
ноябрь 2023;121 508;0,00103;
декабрь 2023;99 519;0,00083;
январь 2024;112 908;0,00093;
февраль 2024;113 949;0,00101;
март 2024;112 108;0,00097;
апрель 2024;100 175;0,00092;
май 2024;100 704;0,00094;
июнь 2024;93 256;0,00099;
июль 2024;99 824;0,00107;
август 2024;93 303;0,00099;
сентябрь 2024;87 530;0,00088;
октябрь 2024;100 452;0,00089;
ноябрь 2024;109 827;0,00094;
декабрь 2024;102 759;0,00085;
январь 2025;115 010;0,00096;
февраль 2025;114 277;0,00100;
март 2025;111 148;0,00092;
апрель 2025;100 319;0,00088;
май 2025;96 002;0,00089;
июнь 2025;104 882;0,00099;
