Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Зеркала с подсветкой», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;51 568;0,00066;
февраль 2018;52 176;0,00067;
март 2018;58 415;0,00069;
апрель 2018;39 745;0,00052;
май 2018;38 232;0,00050;
июнь 2018;37 932;0,00054;
июль 2018;46 994;0,00067;
август 2018;54 064;0,00076;
сентябрь 2018;55 712;0,00070;
октябрь 2018;70 463;0,00076;
ноябрь 2018;71 693;0,00084;
декабрь 2018;81 315;0,00095;
январь 2019;77 403;0,00087;
февраль 2019;80 306;0,00095;
март 2019;87 580;0,00099;
апрель 2019;68 391;0,00082;
май 2019;59 145;0,00074;
июнь 2019;60 705;0,00083;
июль 2019;70 036;0,00095;
август 2019;74 185;0,00102;
сентябрь 2019;73 962;0,00094;
октябрь 2019;100 052;0,00113;
ноябрь 2019;111 471;0,00125;
декабрь 2019;162 591;0,00175;
январь 2020;146 323;0,00150;
февраль 2020;112 392;0,00122;
март 2020;103 333;0,00105;
апрель 2020;76 455;0,00064;
май 2020;99 700;0,00092;
июнь 2020;94 225;0,00105;
июль 2020;103 240;0,00122;
август 2020;111 836;0,00133;
сентябрь 2020;112 612;0,00118;
октябрь 2020;140 103;0,00130;
ноябрь 2020;161 250;0,00140;
декабрь 2020;184 651;0,00167;
январь 2021;157 747;0,00151;
февраль 2021;153 941;0,00153;
март 2021;157 963;0,00145;
апрель 2021;114 449;0,00106;
май 2021;99 438;0,00096;
июнь 2021;102 943;0,00103;
июль 2021;116 192;0,00119;
август 2021;135 613;0,00135;
сентябрь 2021;141 684;0,00132;
октябрь 2021;139 104;0,00122;
ноябрь 2021;161 049;0,00138;
декабрь 2021;175 082;0,00147;
январь 2022;173 159;0,00145;
февраль 2022;156 724;0,00132;
март 2022;178 716;0,00140;
апрель 2022;134 676;0,00112;
май 2022;117 217;0,00098;
июнь 2022;102 861;0,00095;
июль 2022;111 610;0,00107;
август 2022;122 582;0,00113;
сентябрь 2022;120 384;0,00102;
октябрь 2022;127 969;0,00103;
ноябрь 2022;144 442;0,00114;
декабрь 2022;145 597;0,00115;
январь 2023;139 198;0,00112;
февраль 2023;132 200;0,00115;
март 2023;139 837;0,00112;
апрель 2023;103 636;0,00089;
май 2023;100 437;0,00088;
июнь 2023;104 344;0,00101;
июль 2023;111 501;0,00110;
август 2023;122 281;0,00121;
сентябрь 2023;127 618;0,00118;
октябрь 2023;162 625;0,00136;
ноябрь 2023;154 148;0,00131;
декабрь 2023;141 602;0,00118;
январь 2024;141 437;0,00117;
февраль 2024;138 332;0,00123;
март 2024;130 585;0,00113;
апрель 2024;105 095;0,00096;
май 2024;102 539;0,00096;
июнь 2024;88 276;0,00094;
июль 2024;100 090;0,00107;
август 2024;106 132;0,00113;
сентябрь 2024;98 271;0,00098;
октябрь 2024;112 591;0,00100;
ноябрь 2024;124 438;0,00107;
декабрь 2024;127 594;0,00106;
январь 2025;128 446;0,00108;
февраль 2025;116 419;0,00102;
март 2025;111 172;0,00092;
апрель 2025;90 862;0,00079;
май 2025;85 226;0,00079;
июнь 2025;97 511;0,00092;
