Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Щетки и ершики», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;146;0,0000018;
февраль 2018;147;0,0000018;
март 2018;148;0,0000017;
апрель 2018;130;0,0000017;
май 2018;101;0,0000013;
июнь 2018;86;0,0000012;
июль 2018;124;0,0000017;
август 2018;141;0,0000019;
сентябрь 2018;130;0,0000016;
октябрь 2018;146;0,0000015;
ноябрь 2018;159;0,0000018;
декабрь 2018;159;0,0000018;
январь 2019;147;0,0000016;
февраль 2019;174;0,0000020;
март 2019;178;0,0000020;
апрель 2019;171;0,0000020;
май 2019;182;0,0000023;
июнь 2019;199;0,0000027;
июль 2019;135;0,0000018;
август 2019;133;0,0000018;
сентябрь 2019;144;0,0000018;
октябрь 2019;231;0,0000026;
ноябрь 2019;160;0,0000018;
декабрь 2019;161;0,0000017;
январь 2020;197;0,0000020;
февраль 2020;215;0,0000023;
март 2020;179;0,0000018;
апрель 2020;241;0,0000020;
май 2020;242;0,0000022;
июнь 2020;243;0,0000027;
июль 2020;207;0,0000024;
август 2020;230;0,0000027;
сентябрь 2020;206;0,0000021;
октябрь 2020;265;0,0000024;
ноябрь 2020;276;0,0000024;
декабрь 2020;321;0,0000029;
январь 2021;255;0,0000024;
февраль 2021;263;0,0000026;
март 2021;291;0,0000026;
апрель 2021;286;0,0000026;
май 2021;235;0,0000022;
июнь 2021;221;0,0000022;
июль 2021;203;0,0000020;
август 2021;237;0,0000023;
сентябрь 2021;246;0,0000022;
октябрь 2021;263;0,0000023;
ноябрь 2021;325;0,0000028;
декабрь 2021;237;0,0000020;
январь 2022;238;0,0000019;
февраль 2022;225;0,0000019;
март 2022;251;0,0000019;
апрель 2022;314;0,0000026;
май 2022;212;0,0000017;
июнь 2022;211;0,0000019;
июль 2022;209;0,0000020;
август 2022;249;0,0000023;
сентябрь 2022;224;0,0000019;
октябрь 2022;313;0,0000025;
ноябрь 2022;255;0,0000020;
декабрь 2022;339;0,0000026;
январь 2023;266;0,0000021;
февраль 2023;245;0,0000021;
март 2023;222;0,0000017;
апрель 2023;237;0,0000020;
май 2023;238;0,0000021;
июнь 2023;231;0,0000022;
июль 2023;345;0,0000034;
август 2023;260;0,0000025;
сентябрь 2023;229;0,0000021;
октябрь 2023;337;0,0000028;
ноябрь 2023;289;0,0000024;
декабрь 2023;253;0,0000021;
январь 2024;241;0,0000019;
февраль 2024;284;0,0000025;
март 2024;243;0,0000021;
апрель 2024;303;0,0000027;
май 2024;341;0,0000032;
июнь 2024;251;0,0000026;
июль 2024;294;0,0000031;
август 2024;298;0,0000031;
сентябрь 2024;246;0,0000024;
октябрь 2024;301;0,0000026;
ноябрь 2024;383;0,0000032;
декабрь 2024;494;0,0000041;
январь 2025;354;0,0000029;
февраль 2025;351;0,0000030;
март 2025;468;0,0000039;
апрель 2025;382;0,0000033;
май 2025;522;0,0000048;
июнь 2025;353;0,0000033;
