Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Держатели для фена», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 255;0,000029;
февраль 2018;1 863;0,000024;
март 2018;2 042;0,000024;
апрель 2018;1 535;0,000020;
май 2018;1 206;0,000016;
июнь 2018;1 499;0,000021;
июль 2018;1 702;0,000024;
август 2018;1 848;0,000026;
сентябрь 2018;2 042;0,000025;
октябрь 2018;2 409;0,000026;
ноябрь 2018;2 250;0,000026;
декабрь 2018;1 960;0,000022;
январь 2019;2 430;0,000027;
февраль 2019;2 368;0,000028;
март 2019;2 410;0,000027;
апрель 2019;1 719;0,000020;
май 2019;1 550;0,000019;
июнь 2019;1 569;0,000021;
июль 2019;1 960;0,000026;
август 2019;2 041;0,000028;
сентябрь 2019;2 034;0,000025;
октябрь 2019;2 424;0,000027;
ноябрь 2019;2 502;0,000028;
декабрь 2019;2 314;0,000024;
январь 2020;2 651;0,000027;
февраль 2020;2 751;0,000029;
март 2020;2 737;0,000027;
апрель 2020;1 614;0,000013;
май 2020;2 170;0,000020;
июнь 2020;1 948;0,000021;
июль 2020;2 381;0,000028;
август 2020;2 364;0,000028;
сентябрь 2020;2 607;0,000027;
октябрь 2020;2 754;0,000025;
ноябрь 2020;2 893;0,000025;
декабрь 2020;2 564;0,000023;
январь 2021;3 067;0,000029;
февраль 2021;2 772;0,000027;
март 2021;2 886;0,000026;
апрель 2021;2 697;0,000025;
май 2021;2 772;0,000026;
июнь 2021;2 468;0,000024;
июль 2021;2 759;0,000028;
август 2021;3 225;0,000032;
сентябрь 2021;3 322;0,000031;
октябрь 2021;2 735;0,000024;
ноябрь 2021;2 983;0,000025;
декабрь 2021;3 026;0,000025;
январь 2022;3 169;0,000026;
февраль 2022;3 379;0,000028;
март 2022;3 242;0,000025;
апрель 2022;3 411;0,000028;
май 2022;3 627;0,000030;
июнь 2022;2 647;0,000024;
июль 2022;2 942;0,000028;
август 2022;3 047;0,000028;
сентябрь 2022;2 251;0,000019;
октябрь 2022;2 379;0,000019;
ноябрь 2022;2 655;0,000021;
декабрь 2022;2 437;0,000019;
январь 2023;2 818;0,000022;
февраль 2023;2 618;0,000022;
март 2023;2 975;0,000023;
апрель 2023;2 019;0,000017;
май 2023;2 267;0,000020;
июнь 2023;2 073;0,000020;
июль 2023;2 442;0,000024;
август 2023;2 343;0,000023;
сентябрь 2023;2 636;0,000024;
октябрь 2023;3 081;0,000025;
ноябрь 2023;2 936;0,000025;
декабрь 2023;2 796;0,000023;
январь 2024;3 325;0,000027;
февраль 2024;3 084;0,000027;
март 2024;2 986;0,000025;
апрель 2024;2 377;0,000021;
май 2024;2 370;0,000022;
июнь 2024;1 614;0,000017;
июль 2024;1 832;0,000019;
август 2024;1 930;0,000020;
сентябрь 2024;2 084;0,000020;
октябрь 2024;2 449;0,000021;
ноябрь 2024;2 732;0,000023;
декабрь 2024;2 570;0,000021;
январь 2025;2 755;0,000023;
февраль 2025;2 408;0,000021;
март 2025;2 368;0,000019;
апрель 2025;1 918;0,000016;
май 2025;1 782;0,000016;
июнь 2025;1 736;0,000016;
