Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Паркет керамический», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;539;0,0000069;
февраль 2018;530;0,0000068;
март 2018;626;0,0000074;
апрель 2018;495;0,0000065;
май 2018;521;0,0000069;
июнь 2018;590;0,0000085;
июль 2018;567;0,0000081;
август 2018;543;0,0000076;
сентябрь 2018;416;0,0000052;
октябрь 2018;560;0,0000060;
ноябрь 2018;459;0,0000054;
декабрь 2018;477;0,0000055;
январь 2019;489;0,0000055;
февраль 2019;585;0,0000069;
март 2019;546;0,0000062;
апрель 2019;460;0,0000055;
май 2019;359;0,0000045;
июнь 2019;477;0,0000065;
июль 2019;364;0,0000049;
август 2019;391;0,0000053;
сентябрь 2019;393;0,0000049;
октябрь 2019;498;0,0000056;
ноябрь 2019;455;0,0000051;
декабрь 2019;357;0,0000038;
январь 2020;471;0,0000048;
февраль 2020;616;0,0000066;
март 2020;528;0,0000053;
апрель 2020;563;0,0000047;
май 2020;524;0,0000048;
июнь 2020;468;0,0000052;
июль 2020;531;0,0000063;
август 2020;547;0,0000065;
сентябрь 2020;691;0,0000072;
октябрь 2020;749;0,0000069;
ноябрь 2020;855;0,0000074;
декабрь 2020;866;0,0000078;
январь 2021;828;0,0000079;
февраль 2021;798;0,0000079;
март 2021;896;0,0000082;
апрель 2021;882;0,0000081;
май 2021;770;0,0000074;
июнь 2021;571;0,0000057;
июль 2021;606;0,0000062;
август 2021;786;0,0000078;
сентябрь 2021;1 290;0,0000120;
октябрь 2021;1 240;0,0000109;
ноябрь 2021;1 011;0,0000087;
декабрь 2021;1 002;0,0000084;
январь 2022;1 157;0,0000097;
февраль 2022;723;0,0000061;
март 2022;699;0,0000054;
апрель 2022;540;0,0000045;
май 2022;500;0,0000041;
июнь 2022;521;0,0000048;
июль 2022;519;0,0000049;
август 2022;747;0,0000069;
сентябрь 2022;410;0,0000035;
октябрь 2022;296;0,0000023;
ноябрь 2022;332;0,0000026;
декабрь 2022;314;0,0000024;
январь 2023;380;0,0000030;
февраль 2023;371;0,0000032;
март 2023;368;0,0000029;
апрель 2023;382;0,0000033;
май 2023;424;0,0000037;
июнь 2023;427;0,0000041;
июль 2023;321;0,0000031;
август 2023;278;0,0000027;
сентябрь 2023;369;0,0000034;
октябрь 2023;400;0,0000033;
ноябрь 2023;316;0,0000026;
декабрь 2023;274;0,0000022;
январь 2024;284;0,0000023;
февраль 2024;330;0,0000029;
март 2024;360;0,0000031;
апрель 2024;367;0,0000033;
май 2024;390;0,0000036;
июнь 2024;301;0,0000032;
июль 2024;276;0,0000029;
август 2024;251;0,0000026;
сентябрь 2024;267;0,0000026;
октябрь 2024;362;0,0000032;
ноябрь 2024;460;0,0000039;
декабрь 2024;415;0,0000034;
январь 2025;360;0,0000030;
февраль 2025;307;0,0000026;
март 2025;405;0,0000033;
апрель 2025;300;0,0000026;
май 2025;278;0,0000026;
июнь 2025;264;0,0000025;
