Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Плитка для ванной», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;231 435;0,0029;
февраль 2018;219 846;0,0028;
март 2018;234 227;0,0027;
апрель 2018;190 828;0,0025;
май 2018;190 478;0,0025;
июнь 2018;207 226;0,0029;
июль 2018;227 790;0,0032;
август 2018;218 612;0,0030;
сентябрь 2018;198 173;0,0025;
октябрь 2018;233 077;0,0025;
ноябрь 2018;221 335;0,0026;
декабрь 2018;177 999;0,0020;
январь 2019;213 567;0,0024;
февраль 2019;214 757;0,0025;
март 2019;226 166;0,0025;
апрель 2019;190 116;0,0023;
май 2019;184 697;0,0023;
июнь 2019;184 808;0,0025;
июль 2019;207 192;0,0028;
август 2019;185 484;0,0025;
сентябрь 2019;173 088;0,0022;
октябрь 2019;194 482;0,0021;
ноябрь 2019;193 920;0,0021;
декабрь 2019;168 499;0,0018;
январь 2020;226 879;0,0023;
февраль 2020;215 126;0,0023;
март 2020;203 816;0,0020;
апрель 2020;189 252;0,0015;
май 2020;221 785;0,0020;
июнь 2020;233 263;0,0026;
июль 2020;249 434;0,0029;
август 2020;235 756;0,0028;
сентябрь 2020;222 665;0,0023;
октябрь 2020;258 153;0,0023;
ноябрь 2020;282 462;0,0024;
декабрь 2020;241 635;0,0021;
январь 2021;288 078;0,0027;
февраль 2021;264 565;0,0026;
март 2021;284 499;0,0026;
апрель 2021;251 581;0,0023;
май 2021;247 948;0,0024;
июнь 2021;255 687;0,0025;
июль 2021;278 296;0,0028;
август 2021;298 247;0,0029;
сентябрь 2021;278 587;0,0026;
октябрь 2021;269 345;0,0023;
ноябрь 2021;295 403;0,0025;
декабрь 2021;257 965;0,0021;
январь 2022;282 124;0,0023;
февраль 2022;268 586;0,0022;
март 2022;305 589;0,0023;
апрель 2022;226 092;0,0018;
май 2022;205 654;0,0017;
июнь 2022;196 953;0,0018;
июль 2022;211 964;0,0020;
август 2022;213 308;0,0019;
сентябрь 2022;173 055;0,0014;
октябрь 2022;182 699;0,0014;
ноябрь 2022;201 355;0,0015;
декабрь 2022;160 272;0,0012;
январь 2023;203 536;0,0016;
февраль 2023;193 962;0,0016;
март 2023;207 238;0,0016;
апрель 2023;171 558;0,0014;
май 2023;170 916;0,0015;
июнь 2023;183 609;0,0017;
июль 2023;201 722;0,0019;
август 2023;191 334;0,0019;
сентябрь 2023;185 139;0,0017;
октябрь 2023;211 967;0,0017;
ноябрь 2023;193 560;0,0016;
декабрь 2023;148 759;0,0012;
январь 2024;188 998;0,0015;
февраль 2024;181 542;0,0016;
март 2024;179 143;0,0015;
апрель 2024;158 227;0,0014;
май 2024;154 296;0,0014;
июнь 2024;140 289;0,0015;
июль 2024;156 648;0,0016;
август 2024;151 483;0,0016;
сентябрь 2024;135 436;0,0013;
октябрь 2024;155 426;0,0013;
ноябрь 2024;167 493;0,0014;
декабрь 2024;142 309;0,0011;
январь 2025;170 746;0,0014;
февраль 2025;154 212;0,0013;
март 2025;145 366;0,0012;
апрель 2025;131 055;0,0011;
май 2025;131 547;0,0012;
июнь 2025;152 707;0,0014;
