Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Бордюры», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;126 477;0,0016;
февраль 2018;137 044;0,0017;
март 2018;160 576;0,0019;
апрель 2018;231 289;0,0030;
май 2018;295 790;0,0039;
июнь 2018;242 267;0,0034;
июль 2018;238 495;0,0034;
август 2018;249 889;0,0035;
сентябрь 2018;215 552;0,0027;
октябрь 2018;225 468;0,0024;
ноябрь 2018;166 714;0,0019;
декабрь 2018;136 299;0,0015;
январь 2019;143 311;0,0016;
февраль 2019;151 994;0,0018;
март 2019;206 610;0,0023;
апрель 2019;275 555;0,0033;
май 2019;303 144;0,0038;
июнь 2019;257 705;0,0035;
июль 2019;271 402;0,0036;
август 2019;245 742;0,0033;
сентябрь 2019;229 368;0,0029;
октябрь 2019;209 115;0,0023;
ноябрь 2019;165 528;0,0018;
декабрь 2019;147 029;0,0015;
январь 2020;162 761;0,0016;
февраль 2020;167 633;0,0018;
март 2020;221 247;0,0022;
апрель 2020;390 810;0,0032;
май 2020;474 747;0,0044;
июнь 2020;369 489;0,0041;
июль 2020;326 069;0,0038;
август 2020;302 487;0,0036;
сентябрь 2020;281 754;0,0029;
октябрь 2020;260 460;0,0024;
ноябрь 2020;221 237;0,0019;
декабрь 2020;176 802;0,0015;
январь 2021;169 341;0,0016;
февраль 2021;170 272;0,0017;
март 2021;217 666;0,0019;
апрель 2021;372 560;0,0034;
май 2021;418 323;0,0040;
июнь 2021;377 593;0,0038;
июль 2021;351 574;0,0036;
август 2021;358 318;0,0035;
сентябрь 2021;308 404;0,0028;
октябрь 2021;268 805;0,0023;
ноябрь 2021;224 206;0,0019;
декабрь 2021;175 431;0,0014;
январь 2022;176 452;0,0014;
февраль 2022;183 398;0,0015;
март 2022;224 081;0,0017;
апрель 2022;383 951;0,0032;
май 2022;496 450;0,0041;
июнь 2022;418 366;0,0039;
июль 2022;384 782;0,0036;
август 2022;368 740;0,0034;
сентябрь 2022;285 226;0,0024;
октябрь 2022;251 303;0,0020;
ноябрь 2022;212 029;0,0016;
декабрь 2022;157 345;0,0012;
январь 2023;160 943;0,0013;
февраль 2023;169 790;0,0014;
март 2023;262 604;0,0021;
апрель 2023;417 988;0,0036;
май 2023;476 060;0,0042;
июнь 2023;403 333;0,0039;
июль 2023;372 290;0,0036;
август 2023;346 728;0,0034;
сентябрь 2023;322 702;0,0030;
октябрь 2023;284 047;0,0023;
ноябрь 2023;213 664;0,0018;
декабрь 2023;157 438;0,0013;
январь 2024;159 649;0,0013;
февраль 2024;180 985;0,0016;
март 2024;246 450;0,0021;
апрель 2024;437 686;0,0040;
май 2024;477 395;0,0044;
июнь 2024;398 863;0,0042;
июль 2024;374 759;0,0040;
август 2024;348 535;0,0037;
сентябрь 2024;316 501;0,0031;
октябрь 2024;275 378;0,0024;
ноябрь 2024;213 250;0,0018;
декабрь 2024;173 328;0,0014;
январь 2025;186 490;0,0015;
февраль 2025;198 644;0,0017;
март 2025;302 569;0,0025;
апрель 2025;427 292;0,0037;
май 2025;486 680;0,0045;
июнь 2025;473 877;0,0044;
