Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Плитка зеркальная», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;14 717;0,000189;
февраль 2018;14 230;0,000183;
март 2018;14 759;0,000175;
апрель 2018;12 009;0,000158;
май 2018;11 411;0,000151;
июнь 2018;12 097;0,000174;
июль 2018;12 749;0,000182;
август 2018;13 735;0,000194;
сентябрь 2018;13 840;0,000174;
октябрь 2018;17 099;0,000185;
ноябрь 2018;16 194;0,000190;
декабрь 2018;14 101;0,000164;
январь 2019;17 512;0,000198;
февраль 2019;16 540;0,000197;
март 2019;17 055;0,000194;
апрель 2019;14 310;0,000173;
май 2019;12 362;0,000156;
июнь 2019;11 808;0,000162;
июль 2019;14 614;0,000198;
август 2019;14 120;0,000194;
сентябрь 2019;13 547;0,000172;
октябрь 2019;16 320;0,000184;
ноябрь 2019;18 439;0,000207;
декабрь 2019;18 174;0,000195;
январь 2020;21 319;0,000219;
февраль 2020;18 963;0,000206;
март 2020;16 188;0,000164;
апрель 2020;15 307;0,000128;
май 2020;18 075;0,000168;
июнь 2020;16 971;0,000190;
июль 2020;16 532;0,000196;
август 2020;17 250;0,000205;
сентябрь 2020;15 606;0,000164;
октябрь 2020;18 848;0,000175;
ноябрь 2020;20 654;0,000180;
декабрь 2020;17 323;0,000156;
январь 2021;20 199;0,000193;
февраль 2021;17 565;0,000175;
март 2021;17 459;0,000160;
апрель 2021;15 463;0,000143;
май 2021;14 910;0,000144;
июнь 2021;13 287;0,000133;
июль 2021;14 261;0,000147;
август 2021;15 809;0,000157;
сентябрь 2021;16 112;0,000150;
октябрь 2021;26 401;0,000232;
ноябрь 2021;19 079;0,000164;
декабрь 2021;16 776;0,000141;
январь 2022;19 146;0,000160;
февраль 2022;15 586;0,000131;
март 2022;15 941;0,000125;
апрель 2022;14 240;0,000119;
май 2022;12 726;0,000106;
июнь 2022;10 959;0,000102;
июль 2022;11 615;0,000111;
август 2022;12 898;0,000119;
сентябрь 2022;11 042;0,000094;
октябрь 2022;12 792;0,000103;
ноябрь 2022;15 181;0,000120;
декабрь 2022;13 225;0,000105;
январь 2023;15 409;0,000125;
февраль 2023;12 866;0,000112;
март 2023;13 539;0,000108;
апрель 2023;9 959;0,000086;
май 2023;9 204;0,000081;
июнь 2023;8 822;0,000086;
июль 2023;9 681;0,000095;
август 2023;9 406;0,000093;
сентябрь 2023;9 642;0,000089;
октябрь 2023;11 078;0,000092;
ноябрь 2023;11 591;0,000098;
декабрь 2023;9 656;0,000080;
январь 2024;11 791;0,000097;
февраль 2024;10 566;0,000094;
март 2024;9 771;0,000084;
апрель 2024;7 877;0,000072;
май 2024;7 948;0,000074;
июнь 2024;6 200;0,000066;
июль 2024;6 866;0,000073;
август 2024;6 891;0,000073;
сентябрь 2024;6 917;0,000069;
октябрь 2024;8 004;0,000071;
ноябрь 2024;8 718;0,000074;
декабрь 2024;7 790;0,000064;
январь 2025;9 343;0,000078;
февраль 2025;7 824;0,000068;
март 2025;7 196;0,000060;
апрель 2025;6 186;0,000054;
май 2025;5 205;0,000048;
июнь 2025;5 506;0,000052;
